Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Maintenance of Blood-Brain Barrier (GO:0035633)	4/28	8.494201385031915E-6	0.007797676871459298	0	0	36.86631944444444	430.4558211190151	CDH5;IL6;GJB6;JAM2
Neutrophil Mediated Immunity (GO:0002446)	3/14	3.4911839844693436E-5	0.016024534488714288	0	0	59.741330834114336	613.1064320948409	IL6;ANXA3;PLA2G1B
DNA Replication Initiation (GO:0006270)	3/21	1.2456100780983354E-4	0.03475738996459347	0	0	36.49656357388316	328.1301993645761	CDC45;MCM10;CDC6
CENP-A Containing Chromatin Assembly (GO:0034080)	2/6	3.2155245841615157E-4	0.03475738996459347	0	0	108.4438775510204	872.1436034289337	HJURP;OIP5
Negative Regulation of Meiotic Nuclear Division (GO:0045835)	2/6	3.2155245841615157E-4	0.03475738996459347	0	0	108.4438775510204	872.1436034289337	RRAD;TRIP13
Chromatin Remodeling at Centromere (GO:0031055)	2/6	3.2155245841615157E-4	0.03475738996459347	0	0	108.4438775510204	872.1436034289337	HJURP;OIP5
Positive Regulation of Epithelial Cell Apoptotic Process (GO:1904037)	2/6	3.2155245841615157E-4	0.03475738996459347	0	0	108.4438775510204	872.1436034289337	IL6;PLA2G1B
DNA Metabolic Process (GO:0006259)	7/280	3.4970941962656E-4	0.03475738996459347	0	0	5.786049076371657	46.04773913021055	RMI2;CDC45;RRAD;UBE2T;HMGB3;MCM10;CDC6
Negative Regulation of Ossification (GO:0030279)	3/30	3.6879002193803453E-4	0.03475738996459347	0	0	24.320733104238258	192.26228092677266	GDF10;GREM1;SMAD6
Negative Regulation of Cell Differentiation (GO:0045596)	6/202	3.7862080571452584E-4	0.03475738996459347	0	0	6.859422492401216	54.04522084505254	SOX2;GREM1;IL6;ZBTB16;DSG2;SMAD6
Regulation of Endothelial Cell Differentiation (GO:0045601)	2/7	4.487993343090046E-4	0.037454344445060565	0	0	86.75102040816327	668.757950359355	ATOH8;DSG2
Regulation of Osteoblast Differentiation (GO:0045667)	4/85	6.849260136000274E-4	0.0523968400404021	0	0	10.8940329218107	79.37609978665482	GREM1;GDF10;IL6;SMAD6
Myeloid Leukocyte Mediated Immunity (GO:0002444)	2/9	7.646821470566599E-4	0.053998323922924134	0	0	61.95918367346939	444.6222188679895	IL6;PLA2G1B
Regulation of Ossification (GO:0030278)	3/42	0.0010012133462837189	0.06363699759506508	0	0	16.82791435368755	116.22270850069508	GDF10;ZBTB16;SMAD6
Regulation of MAPK Cascade (GO:0043408)	6/245	0.0010398202221415863	0.06363699759506508	0	0	5.613816433722069	38.55966272809995	SOX2;GREM1;IL6;CAV2;PLA2G1B;CD24
Negative Regulation of Bone Remodeling (GO:0046851)	2/11	0.0011611494389926324	0.06615310287985635	0	0	48.1859410430839	325.65720739651783	GREM1;IL6
DNA Integrity Checkpoint Signaling (GO:0031570)	3/45	0.0012250574607380804	0.06615310287985635	0	0	15.623711340206185	104.75335248191693	CDC45;RRAD;CDC6
Transforming Growth Factor Beta Receptor Superfamily Signaling Pathway (GO:0141091)	4/108	0.0016701769439059714	0.08512059295214969	0	0	8.475560897435898	54.19973468046499	GDF10;CDH5;SMAD9;SMAD6
Signal Transduction by P53 Class Mediator (GO:0072331)	3/51	0.0017617551918200915	0.08512059295214969	0	0	13.66688144329897	86.66777287765336	GREM1;ZNF385B;FOXM1
DNA-templated DNA Replication (GO:0006261)	3/53	0.001968444577070321	0.08740342155113451	0	0	13.118969072164948	81.73788902196628	CDC45;MCM10;CDC6
Sprouting Angiogenesis (GO:0002040)	3/54	0.0020772055181719146	0.08740342155113451	0	0	12.861127956337175	79.43973789614667	GREM1;CDH5;ADTRP
Negative Regulation of Cellular Process (GO:0048523)	8/489	0.0021080444636116078	0.08740342155113451	0	0	3.7563047997830608	23.146329725927906	IL6;HMGA2;CDC6;IRF6;SMAD6;FBP1;JAM2;CDKN3
Centromere Complex Assembly (GO:0034508)	2/15	0.002189846073721235	0.08740342155113451	0	0	33.35321821036107	204.25257426266776	HJURP;OIP5
Regulation of Angiogenesis (GO:0045765)	5/197	0.0023527322887041432	0.08907064306212134	0	0	5.774945175438597	34.95099585420754	CDH5;IL6;ANXA3;ECSCR;HMGA2
Regulation of SMAD Protein Signal Transduction (GO:0060390)	3/57	0.0024256711073562458	0.08907064306212134	0	0	12.144902634593356	73.13231709272212	GREM1;ATOH8;SMAD6
Positive Regulation of Angiogenesis (GO:0045766)	4/122	0.0026044636594421966	0.0919576015141514	0	0	7.4650423728813555	44.42094749703785	CDH5;ANXA3;HMGA2;DSG2
Response to Molecule of Bacterial Origin (GO:0002237)	3/60	0.002808278101385018	0.09516632921690335	0	0	11.504069451980467	67.58852200401273	IL6;SMAD6;CD24
SMAD Protein Signal Transduction (GO:0060395)	2/18	0.0031618730898769205	0.09516632921690335	0	0	27.095663265306122	155.97864254098198	SMAD9;SMAD6
Leukocyte Adhesion to Vascular Endothelial Cell (GO:0061756)	2/18	0.0031618730898769205	0.09516632921690335	0	0	27.095663265306122	155.97864254098198	SLC39A8;JAM2
Positive Regulation of T Cell Proliferation (GO:0042102)	3/63	0.0032260873709532077	0.09516632921690335	0	0	10.927319587628865	62.68440726794932	IL6;IGFBP2;CD24
DNA Replication Checkpoint Signaling (GO:0000076)	2/19	0.003523110358859332	0.09516632921690335	0	0	25.500600240096038	144.03787230179148	CDC45;CDC6
Regulation of Nuclear Division (GO:0051783)	2/19	0.003523110358859332	0.09516632921690335	0	0	25.500600240096038	144.03787230179148	CAV2;NEK2
Positive Regulation of Activated T Cell Proliferation (GO:0042104)	2/19	0.003523110358859332	0.09516632921690335	0	0	25.500600240096038	144.03787230179148	IGFBP2;CD24
Cell-Cell Junction Organization (GO:0045216)	3/65	0.003524678859885309	0.09516632921690335	0	0	10.573827735284336	59.72061901477513	CDH5;CLDN18;DSG2
Regulation of Protein Serine/Threonine Kinase Activity (GO:0071900)	3/66	0.0036800964454919856	0.09652367248461836	0	0	10.405498281786942	58.32090657844482	HMGA2;CDC6;CDKN3
Negative Regulation of Wnt Signaling Pathway (GO:0030178)	4/137	0.003948460857295211	0.09869331787913034	0	0	6.618421052631579	36.629184269606284	SOX2;GREM1;WIF1;IGFBP2
Regulation of BMP Signaling Pathway (GO:0030510)	3/69	0.004171241408162954	0.09869331787913034	0	0	9.9311152764761	54.41795916945473	GREM1;CDH5;SMAD6
Cell Migration Involved in Sprouting Angiogenesis (GO:0002042)	2/21	0.004300362434820494	0.09869331787913034	0	0	22.814178302900107	124.31573454290833	GREM1;CDH5
Focal Adhesion Assembly (GO:0048041)	2/21	0.004300362434820494	0.09869331787913034	0	0	22.814178302900107	124.31573454290833	SORBS1;ARHGAP6
Negative Regulation of SMAD Protein Signal Transduction (GO:0060392)	2/21	0.004300362434820494	0.09869331787913034	0	0	22.814178302900107	124.31573454290833	GREM1;SMAD6
Positive Regulation of Protein Serine/Threonine Kinase Activity (GO:0071902)	3/72	0.004700398736602629	0.10524307415124912	0	0	9.497982967279247	50.91021388165694	PLA2G1B;HMGA2;CD24
Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0007179)	3/74	0.005074694880753808	0.11091833096504751	0	0	9.22956294467838	48.76429316590752	GDF10;CDH5;SMAD9
Positive Regulation of MAPK Cascade (GO:0043410)	6/343	0.005530858627117206	0.11353585640552794	0	0	3.962750173622072	20.596046131186046	SOX2;IL6;GADD45B;CAV2;PLA2G1B;CD24
Endothelial Cell Development (GO:0001885)	2/24	0.0056005634656498	0.11353585640552794	0	0	19.700371057513916	102.14421882017994	CDH5;ROBO4
Blood Vessel Endothelial Cell Migration (GO:0043534)	2/25	0.006069092785868399	0.11353585640552794	0	0	18.842945874001774	96.18468669805522	GREM1;CDH5
Cell Surface Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0007178)	2/25	0.006069092785868399	0.11353585640552794	0	0	18.842945874001774	96.18468669805522	SMAD9;SMAD6
Regulation of Chondrocyte Differentiation (GO:0032330)	2/25	0.006069092785868399	0.11353585640552794	0	0	18.842945874001774	96.18468669805522	GREM1;ZBTB16
Regulation of Chromosome Segregation (GO:0051983)	2/25	0.006069092785868399	0.11353585640552794	0	0	18.842945874001774	96.18468669805522	RMI2;CDC6
Negative Regulation of Cell Population Proliferation (GO:0008285)	6/350	0.006088731428195198	0.11353585640552794	0	0	3.880813953488372	19.79725646292816	GREM1;IL6;CDC6;IRF6;SMAD6;CDKN3
Negative Regulation of Double-Strand Break Repair (GO:2000780)	2/26	0.006554902385068607	0.11353585640552794	0	0	18.056972789115648	90.78219005713437	RMI2;HMGA2
Spindle Assembly Checkpoint Signaling (GO:0071173)	2/26	0.006554902385068607	0.11353585640552794	0	0	18.056972789115648	90.78219005713437	CDC20;TRIP13
Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094)	2/26	0.006554902385068607	0.11353585640552794	0	0	18.056972789115648	90.78219005713437	CDC20;TRIP13
Mitotic Spindle Checkpoint Signaling (GO:0071174)	2/26	0.006554902385068607	0.11353585640552794	0	0	18.056972789115648	90.78219005713437	CDC20;TRIP13
Negative Regulation of Programmed Cell Death (GO:0043069)	6/358	0.0067754311928748204	0.11374446716668382	0	0	3.7911629593810443	18.93478244666466	GREM1;IL6;HMGA2;DSG2;SLC7A11;SMAD6
Cell-Cell Adhesion via Plasma-Membrane Adhesion Molecules (GO:0098742)	4/160	0.006814755658134651	0.11374446716668382	0	0	5.636485042735043	28.118536039081135	CDH5;ROBO4;CLDN18;DSG2
Positive Regulation of Leukocyte Migration (GO:0002687)	2/27	0.0070578235132217285	0.1156978925917419	0	0	17.333877551020407	85.86541754054596	IL6;LYVE1
Negative Regulation of Mitotic Metaphase/Anaphase Transition (GO:0045841)	2/28	0.007577688592268588	0.11993651944314765	0	0	16.66640502354788	81.37450686327469	CDC20;TRIP13
Cell-Substrate Junction Assembly (GO:0007044)	2/28	0.007577688592268588	0.11993651944314765	0	0	16.66640502354788	81.37450686327469	SORBS1;ARHGAP6
Regulation of Stress-Activated MAPK Cascade (GO:0032872)	2/29	0.008114331212347553	0.12414926754891757	0	0	16.04837490551776	77.25885869195861	GREM1;FOXM1
Leukocyte Cell-Cell Adhesion (GO:0007159)	2/29	0.008114331212347553	0.12414926754891757	0	0	16.04837490551776	77.25885869195861	OLR1;JAM2
Regulation of Epithelial to Mesenchymal Transition (GO:0010717)	3/89	0.008453401328172874	0.1259276366872725	0	0	7.614361064492927	36.344764636305015	GREM1;IL6;DSG2
Positive Regulation of Intracellular Signal Transduction (GO:1902533)	8/618	0.008504916639009688	0.1259276366872725	0	0	2.943549536707056	14.032226947465876	SOX2;CDH5;IL6;CAV2;PLA2G1B;ATOH8;ADTRP;ARHGAP6
DNA Repair (GO:0006281)	5/271	0.008973477419715355	0.13045894626592927	0	0	4.153739612188366	19.57857691894408	RMI2;RRAD;UBE2T;HMGA2;TRIP13
Extracellular Matrix Organization (GO:0030198)	4/174	0.009099788376885326	0.13045894626592927	0	0	5.168872549019608	24.291137845129644	GREM1;MMP11;POSTN;SLC39A8
Response to Estrogen (GO:0043627)	2/31	0.009237289223622443	0.13045894626592927	0	0	14.94018296973962	69.98738887093462	CLDN18;CD24
Negative Regulation of Osteoblast Differentiation (GO:0045668)	2/32	0.009823277561709046	0.13479587884853747	0	0	14.441496598639455	66.76304525080374	GREM1;SMAD6
Regulation of Protein Secretion (GO:0050708)	3/95	0.01009810835935986	0.13479587884853747	0	0	7.1157552666965485	32.69979272862834	IL6;PLA2G1B;ADTRP
Cellular Response to Transforming Growth Factor Beta Stimulus (GO:0071560)	3/96	0.010388999871517193	0.13479587884853747	0	0	7.038909211839043	32.14675283234621	GDF10;CDH5;SMAD9
Regulation of D-glucose Import (GO:0046324)	2/33	0.010425389322708237	0.13479587884853747	0	0	13.974983541803818	63.77499345013513	PLA2G1B;SORBS1
Regulation of Ras Protein Signal Transduction (GO:0046578)	2/33	0.010425389322708237	0.13479587884853747	0	0	13.974983541803818	63.77499345013513	FOXM1;FBP1
Regulation of Activated T Cell Proliferation (GO:0046006)	2/33	0.010425389322708237	0.13479587884853747	0	0	13.974983541803818	63.77499345013513	IGFBP2;CD24
Negative Regulation of Endothelial Cell Proliferation (GO:0001937)	2/35	0.01167734150027171	0.14683662518157234	0	0	13.12677798392084	58.41553953635116	CAV2;ATOH8
