GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	FDR	Symbol
GO:0000018	0.195902755930359	2.50894819466248	0.814431082331175	2	142	regulation of DNA recombination	0.358721663233492	RMI2, SPIDR
GO:0000041	0.106902580048154	3.70780798149219	0.556336725254394	2	97	transition metal ion transport	0.268081767183389	CP, SLC39A8
GO:0000070	0.0959185400298677	2.84046345811052	1.08973172987974	3	190	mitotic sister chromatid segregation	0.256655978582489	NEK2, TRIP13, CDC20
GO:0000075	0.0284725102816672	3.63314891918097	1.15282146160962	4	201	cell cycle checkpoint signaling	0.163556812640497	CDC45, TRIP13, CDC6, CDC20
GO:0000076	0.00578119265925332	19.6630036630037	0.114708603145236	2	20	DNA replication checkpoint signaling	0.0984204253323793	CDC45, CDC6
GO:0000079	0.053620774611631	5.60230245944532	0.372802960222017	2	65	regulation of cyclin-dependent protein serine/threonine kinase activity	0.202914152799482	CDKN3, CDC6
GO:0000082	0.143045116320029	2.35511111111111	1.30767807585569	3	228	G1/S transition of mitotic cell cycle	0.310328283652438	CDKN3, CCNB2, CDC6
GO:0000086	0.185535755604976	2.6026862026862	0.785753931544866	2	137	G2/M transition of mitotic cell cycle	0.34945367930667	FOXM1, CDC6
GO:0000122	0.150742303673454	1.58810486500587	5.21924144310823	8	910	negative regulation of transcription by RNA polymerase II	0.316232360730942	FBP1, FOXM1, FOSB, MAGEA3, SOX2, SCGB1A1, ZBTB16, HMGA2
GO:0000165	0.133543397040417	1.70398671096346	4.25568917668825	7	742	MAPK cascade	0.298389153496623	CD24, FOXM1, IL6, GADD45B, PLA2G1B, SOX2, CAV2
GO:0000212	0.00636601361153307	18.626951995373	0.120444033302498	2	21	meiotic spindle organization	0.102770874912623	ASPM, CCNB2
GO:0000226	0.175448677200776	1.63896392817416	3.768177613321	6	657	microtubule cytoskeleton organization	0.340209056039104	CDH5, WDR72, ASPM, NEK2, CCNB2, CDC20
GO:0000278	0.0117379085415597	2.35745195009554	5.04144310823312	11	879	mitotic cell cycle	0.126814558050928	CDKN3, FOXM1, MCM2, NEK2, TK1, CDC45, CAV2, CCNB2, TRIP13, CDC6, CDC20
GO:0000280	0.0393294854997343	2.51676022453889	2.50064754856614	6	436	nuclear division	0.178816556500539	ASPM, NEK2, CAV2, CCNB2, TRIP13, CDC20
GO:0000302	0.00484579310023351	4.86803519061584	1.095467160037	5	191	response to reactive oxygen species	0.0984204253323793	HBA1, HYAL1, IL6, AQP1, SCGB1A1
GO:0000724	0.0214415847088622	3.98052434456929	1.05531914893617	4	184	double-strand break repair via homologous recombination	0.151360118352304	RMI2, SPIDR, MCM2, CDC45
GO:0000725	0.0237850533353224	3.85067053280174	1.08973172987974	4	190	recombinational repair	0.154058717526386	RMI2, SPIDR, MCM2, CDC45
GO:0000727	0.00206898626690983	35.410989010989	0.0688251618871415	2	12	double-strand break repair via break-induced replication	0.0754776938149313	MCM2, CDC45
