"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
2.17381524262759e-05,43,1729,2.56937231204747,"GO:0007155 cell adhesion "," http://amigo.geneontology.org/amigo/term/GO:0007155"," HBB  DSG2  LIMCH1  CLDN18  PKP1  SORBS1  POSTN  DSG3  ROBO4  JAM2  OLR1  CDH5  LGALS7  RGCC  CAV1  IGFBP2  FLRT3  IL6  ANGPT1  CD24  ARHGAP6  COL1A1  ZBTB16  LYVE1  LMO7  TRIM29  CLCA2  SLC39A8  FBLN5  ADAM12  SCGB1A1  SLC7A11  DST  MFAP4  GREM1  LY6D  SOX2  ADTRP  HYAL1  NR4A3  TEK  SMAD6  CXCL13"
2.17381524262759e-05,18,355,5.03229750382068,"GO:0030198 extracellular matrix organization "," http://amigo.geneontology.org/amigo/term/GO:0030198"," COL11A1  MMP11  COL1A1  POSTN  ADAMTS8  FBLN5  COL1A2  MFAP4  MMP1  RGCC  CAV2  CAV1  SLC39A8  ADAMTSL4  WDR72  ADTRP  IL6  GREM1"
2.17381524262759e-05,18,356,5.01568926123382,"GO:0043062 extracellular structure organization "," http://amigo.geneontology.org/amigo/term/GO:0043062"," COL11A1  MMP11  COL1A1  POSTN  ADAMTS8  FBLN5  COL1A2  MFAP4  MMP1  RGCC  CAV2  CAV1  SLC39A8  ADAMTSL4  WDR72  ADTRP  IL6  GREM1"
2.17381524262759e-05,18,359,4.99919028340081,"GO:0045229 external encapsulating structure organization "," http://amigo.geneontology.org/amigo/term/GO:0045229"," COL11A1  MMP11  COL1A1  POSTN  ADAMTS8  FBLN5  COL1A2  MFAP4  MMP1  RGCC  CAV2  CAV1  SLC39A8  ADAMTSL4  WDR72  ADTRP  IL6  GREM1"
0.000646842674129592,41,1835,2.21475466312319,"GO:0042127 regulation of cell population proliferation "," http://amigo.geneontology.org/amigo/term/GO:0042127"," CAV2  CAV1  FOXM1  IL6  PLA2G1B  LGALS7  RGCC  HYAL1  IGFBP2  IRF6  NR4A3  HMGA2  ANGPT1  GREM1  SOX2  PRAME  AQP1  CD24  ASPM  CDC6  SLC7A5  SLC6A4  ZBTB16  CDC20  GJB6  SCGB1A1  SLC7A11  CTHRC1  CDH5  AGTR1  SMAD6  MNDA  ATOH8  UHRF1  SCGB3A1  KRT6A  CDKN3  NAMPT  VIPR1  TEK  ADAMTS8"
0.000883350668458189,13,238,5.08148148148148,"GO:0000819 sister chromatid segregation "," http://amigo.geneontology.org/amigo/term/GO:0000819"," NCAPG  TOP2A  NUSAP1  NUF2  BUB1B  MAD2L1  UBE2C  RMI2  CDC20  NEK2  TRIP13  KIF4A  CDC6"
0.000883350668458189,16,395,3.9967228038234,"GO:0007059 chromosome segregation "," http://amigo.geneontology.org/amigo/term/GO:0007059"," OIP5  NCAPG  NEK2  TOP2A  NUSAP1  NUF2  BUB1B  MAD2L1  UBE2C  RMI2  CDC20  CDC6  TRIP13  KIF4A  ECT2  HJURP"
0.000883350668458189,45,2143,2.04597986827389,"GO:0008283 cell population proliferation "," http://amigo.geneontology.org/amigo/term/GO:0008283"," CAV2  CAV1  FOXM1  TEK  IL6  PLA2G1B  LGALS7  RGCC  HYAL1  IGFBP2  IRF6  NR4A3  HMGA2  ANGPT1  GREM1  SOX2  PRAME  AQP1  CD24  MCM10  ASPM  CDC6  GINS1  SLC7A5  SLC6A4  ZBTB16  CDC20  GJB6  SCGB1A1  SLC7A11  UCHL1  HHIP  CTHRC1  ATOH8  CDH5  AGTR1  SMAD6  MNDA  UHRF1  SCGB3A1  KRT6A  CDKN3  NAMPT  VIPR1  ADAMTS8"
0.000883350668458189,39,1660,2.18500331785003,"GO:0009719 response to endogenous stimulus "," http://amigo.geneontology.org/amigo/term/GO:0009719"," CAV2  NR4A3  SMAD9  SMAD6  SESN3  TMEM100  GREM1  CAV1  HYAL1  IL6  NKX2-1  AGTR1  CXCL13  COL1A2  SPIDR  CDH5  AQP1  CDC6  SLC7A5  SLC1A1  SLC6A4  COL1A1  IGFBP2  FOSB  FLRT3  CDO1  ANXA3  SCGB1A1  FBXO32  HHIP  FBP1  AGTR2  GDF10  ADTRP  SLC34A2  CLEC3B  CD24  SORBS1  PLA2G1B"
0.000883350668458189,6,36,14.8995475113122,"GO:0035633 maintenance of blood-brain barrier "," http://amigo.geneontology.org/amigo/term/GO:0035633"," SLC1A1  ANGPT1  GJB6  JAM2  CDH5  IL6"
