geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId
GO:0007155	cell adhesion	http://amigo.geneontology.org/amigo/term/GO:0007155	1449	44	16.77275329135661	2.6233021636748344	1.7310997342203452e-9	2.196246232805352e-5	284;395;667;857;1003;1277;1829;1830;3043;3373;3485;3569;3963;4008;4091;4239;4973;5317;6532;6657;7010;7356;7704;8013;8038;8581;9635;10516;10563;10580;10631;10894;22998;23650;23657;23767;26585;28984;51208;54538;58494;64116;84830;100133941
GO:0007059	chromosome segregation	http://amigo.geneontology.org/amigo/term/GO:0007059	412	21	4.76906442790816	4.403379387602689	1.3054666769161954e-8	6.465833229569471e-5	701;990;991;1894;4085;4751;7153;9133;9319;11065;11339;22974;24137;29128;51203;55355;64151;79682;83540;116028;259266
GO:0098813	nuclear chromosome segregation	http://amigo.geneontology.org/amigo/term/GO:0098813	306	18	3.542072123640527	5.081771170006464	1.7252310458575036e-8	6.465833229569471e-5	701;990;991;1894;4085;4751;7153;9133;9319;11065;22974;24137;29128;51203;64151;83540;116028;259266
GO:0030198	extracellular matrix organization	http://amigo.geneontology.org/amigo/term/GO:0030198	317	18	3.6694015137060356	4.905432107324852	2.9707842190217507e-8	6.465833229569471e-5	857;858;1277;1278;1301;3569;4239;4312;4320;10516;10631;11095;26585;28984;54507;64116;84830;256764
GO:0043062	extracellular structure organization	http://amigo.geneontology.org/amigo/term/GO:0043062	318	18	3.6809769128029	4.890006220194899	3.117618931455324e-8	6.465833229569471e-5	857;858;1277;1278;1301;3569;4239;4312;4320;10516;10631;11095;26585;28984;54507;64116;84830;256764
GO:0045229	external encapsulating structure organization	http://amigo.geneontology.org/amigo/term/GO:0045229	318	18	3.6809769128029	4.890006220194899	3.117618931455324e-8	6.465833229569471e-5	857;858;1277;1278;1301;3569;4239;4312;4320;10516;10631;11095;26585;28984;54507;64116;84830;256764
GO:0009719	response to endogenous stimulus	http://amigo.geneontology.org/amigo/term/GO:0009719	1660	45	19.215162500795014	2.3419005693102077	3.5674968555991404e-8	6.465833229569471e-5	185;186;306;358;857;858;990;1003;1036;1277;1278;1829;2203;2354;2662;3373;3485;3569;4091;4093;5319;6505;6532;6657;7010;7080;7123;7356;8013;8140;10135;10563;10568;10580;10631;23514;23767;26585;51208;55273;64399;84830;114907;143686;100133941
GO:0000819	sister chromatid segregation	http://amigo.geneontology.org/amigo/term/GO:0000819	227	15	2.627615594988234	5.70859756983105	6.210500738692024e-8	9.849077858973214e-5	701;990;991;4085;4751;7153;9319;11065;22974;24137;29128;51203;64151;83540;116028
GO:0009725	response to hormone	http://amigo.geneontology.org/amigo/term/GO:0009725	859	28	9.943267824206576	2.815975642518134	6.425404662132793e-7	9.057678772053195e-4	185;186;306;358;857;858;990;1036;1277;1829;2203;2354;3485;3569;4091;5319;7010;7080;7356;8013;10135;10568;10580;51208;84830;114907;143686;100133941
GO:0007088	regulation of mitotic nuclear division	http://amigo.geneontology.org/amigo/term/GO:0007088	115	10	1.3311708961394135	7.512183468705208	8.797567477914407e-7	0.0011161473859230009	701;858;991;4085;4751;9319;11065;28984;51203;83540
