ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0098813	nuclear chromosome segregation	41/468	322/18805	0.127329192546584	5.11629373042417	11.9023294455739	7.17537929008398e-18	2.30793912081397e-14	1.8300654780389e-14	TOP2A/CDC20/TPX2/BIRC5/ASPM/CCNB1/CCNB2/DLGAP5/UBE2C/FAM83D/BUB1B/MAD2L1/CENPF/UHRF1/TTK/PRC1/CDK1/NEK2/KIF2C/BUB1/NUSAP1/TRIP13/ECT2/KIF11/KIF4A/AURKA/ZWINT/NDC80/NUF2/KIF23/RMI2/AURKB/KIF14/CDCA5/PTTG1/SPAG5/NCAPG/CDC6/CENPE/CDCA8/NCAPH	41
GO:0000819	sister chromatid segregation	35/468	234/18805	0.14957264957265	6.01007195558478	12.3202111865562	1.21655076949244e-17	2.30793912081397e-14	1.8300654780389e-14	TOP2A/CDC20/TPX2/BIRC5/CCNB1/DLGAP5/UBE2C/BUB1B/MAD2L1/CENPF/UHRF1/TTK/PRC1/CDK1/NEK2/KIF2C/BUB1/NUSAP1/TRIP13/KIF11/KIF4A/ZWINT/NDC80/NUF2/KIF23/RMI2/AURKB/KIF14/CDCA5/SPAG5/NCAPG/CDC6/CENPE/CDCA8/NCAPH	35
GO:0000070	mitotic sister chromatid segregation	32/468	193/18805	0.16580310880829	6.66223816482884	12.6314780162022	1.41422116247672e-17	2.30793912081397e-14	1.8300654780389e-14	CDC20/TPX2/BIRC5/CCNB1/DLGAP5/UBE2C/BUB1B/MAD2L1/CENPF/UHRF1/TTK/PRC1/CDK1/NEK2/KIF2C/BUB1/NUSAP1/TRIP13/KIF11/KIF4A/ZWINT/NDC80/NUF2/KIF23/AURKB/KIF14/CDCA5/SPAG5/NCAPG/CENPE/CDCA8/NCAPH	32
GO:0140014	mitotic nuclear division	38/468	282/18805	0.134751773049645	5.41454506880039	11.9327007939052	1.76414226700858e-17	2.30793912081397e-14	1.8300654780389e-14	ANLN/CDC20/TPX2/BIRC5/CCNB1/DLGAP5/UBE2C/BUB1B/MAD2L1/CENPF/UHRF1/TTK/PRC1/CDK1/NEK2/KIF2C/BUB1/NUSAP1/TRIP13/KIF11/KIF4A/AURKA/RGCC/ZWINT/NDC80/NUF2/MKI67/KIF23/CAV2/AURKB/KIF14/CDCA5/SPAG5/CHEK1/NCAPG/CENPE/CDCA8/NCAPH	38
GO:0007059	chromosome segregation	46/468	431/18805	0.106728538283063	4.28852598806195	11.0337200983374	7.19710916313016e-17	7.53249445013202e-14	5.97284301495981e-14	TOP2A/CDC20/TPX2/BIRC5/ASPM/CCNB1/CCNB2/DLGAP5/UBE2C/FAM83D/BUB1B/MAD2L1/CENPF/UHRF1/TTK/PRC1/CDK1/NEK2/KIF2C/BUB1/NUSAP1/TRIP13/ECT2/KIF11/KIF4A/AURKA/ZWINT/NDC80/NUF2/CENPU/MKI67/KIF23/RMI2/OIP5/AURKB/KIF14/HJURP/CDCA5/PTTG1/SPAG5/NCAPG/CENPN/CDC6/CENPE/CDCA8/NCAPH	46
GO:0030198	extracellular matrix organization	40/468	339/18805	0.117994100294985	4.74119456420341	11.1047205357044	2.68684859904598e-16	2.15620441882922e-13	1.70974842226454e-13	MMP12/MMP1/CPB2/SERPINB5/COL11A1/GREM1/ADAMTS8/COL4A3/WDR72/COL10A1/SULF1/COL1A1/FERMT1/ABI3BP/IL6/POSTN/MFAP4/MMP10/COL6A6/MMP11/RGCC/SLC39A8/ITGA8/NDNF/CAV1/CAV2/FOXF1/ADTRP/SPOCK2/NTN4/COL5A2/COL1A2/PLOD2/MMP28/COL3A1/FBLN5/COL12A1/TIE1/COL5A1/CFLAR	40
GO:0043062	extracellular structure organization	40/468	340/18805	0.117647058823529	4.7272498743087	11.0799351013392	2.97660524066891e-16	2.15620441882922e-13	1.70974842226454e-13	MMP12/MMP1/CPB2/SERPINB5/COL11A1/GREM1/ADAMTS8/COL4A3/WDR72/COL10A1/SULF1/COL1A1/FERMT1/ABI3BP/IL6/POSTN/MFAP4/MMP10/COL6A6/MMP11/RGCC/SLC39A8/ITGA8/NDNF/CAV1/CAV2/FOXF1/ADTRP/SPOCK2/NTN4/COL5A2/COL1A2/PLOD2/MMP28/COL3A1/FBLN5/COL12A1/TIE1/COL5A1/CFLAR	40
GO:0045229	external encapsulating structure organization	40/468	341/18805	0.117302052785924	4.71338697145149	11.0552459366542	3.29631862232635e-16	2.15620441882922e-13	1.70974842226454e-13	MMP12/MMP1/CPB2/SERPINB5/COL11A1/GREM1/ADAMTS8/COL4A3/WDR72/COL10A1/SULF1/COL1A1/FERMT1/ABI3BP/IL6/POSTN/MFAP4/MMP10/COL6A6/MMP11/RGCC/SLC39A8/ITGA8/NDNF/CAV1/CAV2/FOXF1/ADTRP/SPOCK2/NTN4/COL5A2/COL1A2/PLOD2/MMP28/COL3A1/FBLN5/COL12A1/TIE1/COL5A1/CFLAR	40
GO:0007088	regulation of mitotic nuclear division	23/468	121/18805	0.190082644628099	7.6378293423748	11.702206128468	2.61814888700451e-14	1.52230812507718e-11	1.20710443421892e-11	CDC20/BIRC5/CCNB1/DLGAP5/UBE2C/BUB1B/MAD2L1/CENPF/TTK/NEK2/BUB1/NUSAP1/TRIP13/AURKA/RGCC/ZWINT/NDC80/NUF2/MKI67/CAV2/AURKB/CHEK1/CDCA8	23
GO:0000280	nuclear division	43/468	448/18805	0.0959821428571429	3.85671836843712	9.77663689178634	3.418636643227e-14	1.78897255540069e-11	1.41855427869483e-11	TOP2A/ANLN/CDC20/TPX2/BIRC5/ASPM/CCNB1/CCNB2/DLGAP5/UBE2C/BUB1B/MAD2L1/CENPF/UHRF1/TTK/PRC1/CDK1/NEK2/KIF2C/BUB1/NUSAP1/TRIP13/KIF11/KIF4A/AURKA/RGCC/ZWINT/NDC80/NUF2/MKI67/KIF23/CAV2/AURKB/KIF14/CDCA5/PTTG1/SPAG5/CHEK1/NCAPG/CENPE/RAD51AP1/CDCA8/NCAPH	43
