Term	Ont	N	DE	P.DE	adj_pval	GOID
immune system process	BP	2548	100	5.75437064664434e-07	5.69245978388357e-05	GO:0002376
regulation of immune system process	BP	1567	56	0.00219710159287568	0.0610860403971547	GO:0002682
immune response-regulating signaling pathway	BP	559	14	0.48713067873716	1	GO:0002764
immune response	BP	1786	71	2.21076726678774e-05	0.00141584947585981	GO:0006955
cell communication	BP	6029	210	4.57047884716525e-10	8.58281701477414e-08	GO:0007154
signal transduction	BP	5525	192	6.0539192601404e-09	8.94325312569675e-07	GO:0007165
biological_process	BP	16078	468	2.6671701473245e-22	9.85030388242727e-19	GO:0008150
cellular process	BP	15660	452	2.55177289034925e-17	2.01764604624878e-14	GO:0009987
signaling	BP	6004	209	5.56052623862515e-10	1.00996476165324e-07	GO:0023052
regulation of response to stimulus	BP	3956	152	7.05345277921808e-10	1.25037968107755e-07	GO:0048583
regulation of immune response	BP	959	31	0.0632564809652808	0.576357056624037	GO:0050776
regulation of biological process	BP	10864	362	4.15090125937419e-20	9.17478245521622e-17	GO:0050789
regulation of cellular process	BP	10495	347	1.13426612245745e-17	1.00536812030138e-14	GO:0050794
response to stimulus	BP	8178	314	2.81929652440706e-26	2.08242638947787e-22	GO:0050896
cellular response to stimulus	BP	6844	254	1.27853061145172e-16	8.85342494348707e-14	GO:0051716
biological regulation	BP	11242	372	9.79987620712971e-21	2.56464200454367e-17	GO:0065007
xenobiotic metabolic process	BP	117	5	0.154695092233885	0.904093648897355	GO:0006805
metabolic process	BP	10405	285	0.00157909160365916	0.0465926642416557	GO:0008152
response to xenobiotic stimulus	BP	423	24	0.000111937238805926	0.00558652539346964	GO:0009410
response to chemical	BP	3506	157	8.67574682672647e-16	5.34016316481755e-13	GO:0042221
cellular response to chemical stimulus	BP	2141	108	7.41007956905169e-14	2.98545369401121e-11	GO:0070887
cellular response to xenobiotic stimulus	BP	187	8	0.0854388572376739	0.668354952598994	GO:0071466
response to hypoxia	BP	302	17	0.00118153865995721	0.0375096205816501	GO:0001666
in utero embryonic development	BP	396	16	0.032650641701746	0.387063913492865	GO:0001701
cell activation	BP	1112	41	0.00503071962322824	0.116606397626689	GO:0001775
leukocyte homeostasis	BP	113	5	0.139627944076947	0.849071243908089	GO:0001776
blastocyst development	BP	114	5	0.143332214399007	0.868023650961356	GO:0001824
liver development	BP	143	12	0.000192018381538816	0.00868354146228292	GO:0001889
placenta development	BP	150	3	0.707423422738177	1	GO:0001890
regulation of heart rate	BP	99	9	0.000669876976887673	0.0238646365447813	GO:0002027
adaptive immune response	BP	488	13	0.402505910583735	1	GO:0002250
immune effector process	BP	660	30	0.000775568779936461	0.0266446954955225	GO:0002252
activation of immune response	BP	562	16	0.288966204902625	1	GO:0002253
lymphocyte homeostasis	BP	81	2	0.587198301634666	1	GO:0002260
cell activation involved in immune response	BP	315	12	0.0827633493317622	0.654284878019286	GO:0002263
lymphocyte activation involved in immune response	BP	225	3	0.912229208121232	1	GO:0002285
B cell activation involved in immune response	BP	103	2	0.716010774955765	1	GO:0002312
mature B cell differentiation involved in immune response	BP	32	2	0.181115077354524	0.976795078484591	GO:0002313
mature B cell differentiation	BP	38	2	0.234478550077787	1	GO:0002335
leukocyte activation involved in immune response	BP	311	12	0.0769745045753575	0.616881752942259	GO:0002366
immune response-activating cell surface receptor signaling pathway	BP	313	6	0.772548249771642	1	GO:0002429
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	BP	323	10	0.258524166400378	1	GO:0002460
immune system development	BP	200	5	0.534110550676695	1	GO:0002520
leukocyte differentiation	BP	625	15	0.551168966884269	1	GO:0002521
negative regulation of immune system process	BP	525	24	0.00234728538456354	0.0646934040255517	GO:0002683
positive regulation of immune system process	BP	1083	38	0.0143322119916193	0.247535062760945	GO:0002684
regulation of leukocyte migration	BP	230	15	0.00051454549472158	0.019259820299891	GO:0002685
negative regulation of leukocyte migration	BP	52	5	0.00832169741229963	0.164790431598881	GO:0002686
regulation of leukocyte activation	BP	571	20	0.0644737004137174	0.579956415997127	GO:0002694
positive regulation of leukocyte activation	BP	361	10	0.377793502259313	1	GO:0002696
immune response-activating signaling pathway	BP	502	11	0.67427413211177	1	GO:0002757
immune response-regulating cell surface receptor signaling pathway	BP	345	9	0.457714697141752	1	GO:0002768
regulation of adaptive immune response	BP	212	6	0.407814957763125	1	GO:0002819
regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	BP	197	6	0.343070176500611	1	GO:0002822
system process	BP	1937	77	9.44480422629945e-06	0.000662301952058764	GO:0003008
muscle system process	BP	436	20	0.00504348720176964	0.11678018067295	GO:0003012
circulatory system process	BP	601	39	2.66404787300602e-08	3.534888432212e-06	GO:0003013
heart process	BP	249	15	0.00115755562888013	0.0369600506921538	GO:0003015
nucleobase-containing compound metabolic process	BP	5425	129	0.6130566524283	1	GO:0006139
purine nucleotide metabolic process	BP	432	10	0.602156387300358	1	GO:0006163
purine nucleotide biosynthetic process	BP	189	3	0.839495975818717	1	GO:0006164
purine nucleotide catabolic process	BP	136	2	0.844899353620784	1	GO:0006195
nucleoside phosphate metabolic process	BP	640	15	0.588434095710929	1	GO:0006753
phosphorus metabolic process	BP	2048	65	0.0142915427425902	0.247244753014537	GO:0006793
phosphate-containing compound metabolic process	BP	2045	65	0.013879008401602	0.242926498555371	GO:0006796
transport	BP	4257	125	0.00932512736201983	0.179526930682013	GO:0006810
apoptotic process	BP	1866	79	6.44819277187441e-07	6.21241320138978e-05	GO:0006915
muscle contraction	BP	345	15	0.0216145782586175	0.312711589757428	GO:0006936
regulation of muscle contraction	BP	164	9	0.0186685657881227	0.294304032895979	GO:0006937
smooth muscle contraction	BP	107	6	0.0457768498861594	0.473074477070111	GO:0006939
regulation of smooth muscle contraction	BP	60	4	0.0573229866540796	0.534829499481158	GO:0006940
response to stress	BP	3868	165	9.89973790335811e-15	5.10158819070959e-12	GO:0006950
defense response	BP	1784	82	1.10160216632363e-08	1.56476938484393e-06	GO:0006952
inflammatory response	BP	849	40	4.9770690371613e-05	0.00288709091084967	GO:0006954
cell adhesion	BP	1476	94	2.77800094183104e-18	3.23988015105442e-15	GO:0007155
leukocyte cell-cell adhesion	BP	414	19	0.00614931232370793	0.131909595141379	GO:0007159
cell surface receptor signaling pathway	BP	2712	100	9.16633023236181e-06	0.000646868508340463	GO:0007166
G protein-coupled receptor signaling pathway	BP	936	31	0.0489691769812056	0.479923924248799	GO:0007186
multicellular organism development	BP	4597	183	1.24516371154467e-13	4.84062854107341e-11	GO:0007275
body fluid secretion	BP	94	3	0.398672371473285	1	GO:0007589
behavior	BP	658	28	0.00297093828186979	0.0782979468391237	GO:0007610
mating behavior	BP	36	3	0.0559088744129231	0.524178022385721	GO:0007617
copulation	BP	19	3	0.0102458895590043	0.192883241609536	GO:0007620
blood circulation	BP	518	32	1.42207499829248e-06	0.000126553252558888	GO:0008015
regulation of heart contraction	BP	200	10	0.0242610947222495	0.312711589757428	GO:0008016
cell death	BP	1925	80	1.1275522685789e-06	0.000104105961331	GO:0008219
regulation of G protein-coupled receptor signaling pathway	BP	157	7	0.0877305497809065	0.680149468274647	GO:0008277
cell population proliferation	BP	1932	114	1.11819815465968e-19	2.02992276449443e-16	GO:0008283
positive regulation of cell population proliferation	BP	911	53	3.47093824292534e-09	5.41637468485793e-07	GO:0008284
catabolic process	BP	2585	66	0.340469968070904	1	GO:0009056
biosynthetic process	BP	7407	182	0.418197988632604	1	GO:0009058
nucleobase metabolic process	BP	33	2	0.189895071748793	1	GO:0009112
nucleoside metabolic process	BP	60	3	0.177526731845772	0.966550661995001	GO:0009116
nucleotide metabolic process	BP	492	12	0.531007686342588	1	GO:0009117
nucleoside monophosphate metabolic process	BP	76	4	0.112543592981913	0.763967869875955	GO:0009123
nucleoside monophosphate biosynthetic process	BP	42	3	0.0809879102243571	0.642079106497864	GO:0009124
purine nucleoside monophosphate metabolic process	BP	42	2	0.270550318822463	1	GO:0009126
nucleoside triphosphate metabolic process	BP	266	6	0.626298251285236	1	GO:0009141
purine nucleoside triphosphate metabolic process	BP	250	5	0.726994620826257	1	GO:0009144
purine ribonucleotide metabolic process	BP	336	7	0.70810325300367	1	GO:0009150
purine ribonucleotide biosynthetic process	BP	149	2	0.879102209697249	1	GO:0009152
purine ribonucleotide catabolic process	BP	127	2	0.816303133338924	1	GO:0009154
ribonucleoside monophosphate metabolic process	BP	59	2	0.420010029877047	1	GO:0009161
deoxyribonucleoside monophosphate metabolic process	BP	25	2	0.121948992812676	0.793983053533715	GO:0009162
nucleotide biosynthetic process	BP	225	5	0.638409066795862	1	GO:0009165
nucleotide catabolic process	BP	159	2	0.900523510416509	1	GO:0009166
purine ribonucleoside monophosphate metabolic process	BP	40	2	0.252498836229407	1	GO:0009167
ribonucleotide metabolic process	BP	357	7	0.764545816759069	1	GO:0009259
ribonucleotide biosynthetic process	BP	165	2	0.911621955550427	1	GO:0009260
ribonucleotide catabolic process	BP	133	2	0.83584807220436	1	GO:0009261
deoxyribonucleotide metabolic process	BP	43	2	0.279573798825113	1	GO:0009262
2'-deoxyribonucleotide metabolic process	BP	42	2	0.270550318822463	1	GO:0009394
response to external stimulus	BP	2311	108	9.60624685117644e-12	2.47517237180487e-09	GO:0009605
response to abiotic stimulus	BP	1130	53	3.2421273761739e-06	0.000268068285554618	GO:0009628
anatomical structure morphogenesis	BP	2654	132	1.34226206375718e-16	9.01308638508947e-14	GO:0009653
embryo development	BP	1107	58	2.64973804740625e-08	3.534888432212e-06	GO:0009790
embryo development ending in birth or egg hatching	BP	676	32	0.000259497064466512	0.0111654280611912	GO:0009792
tissue development	BP	1941	117	5.70683809817498e-21	1.80654036310656e-17	GO:0009888
regulation of signal transduction	BP	2997	107	1.69732561605631e-05	0.00111937614066047	GO:0009966
positive regulation of signal transduction	BP	1539	60	0.000172857469235121	0.00803008104985546	GO:0009967
negative regulation of signal transduction	BP	1324	51	0.000710768342547923	0.0249602467551813	GO:0009968
positive regulation of heart rate	BP	25	2	0.121948992812676	0.793983053533715	GO:0010460
regulation of cell communication	BP	3423	121	6.3335628909002e-06	0.000466263854151021	GO:0010646
positive regulation of cell communication	BP	1733	66	0.00015699624326703	0.00742630742094968	GO:0010647
negative regulation of cell communication	BP	1431	54	0.000796999205602558	0.0271285797188127	GO:0010648
positive regulation of cell development	BP	438	15	0.113787757412191	0.763967869875955	GO:0010720
programmed cell death	BP	1921	80	1.03915264713976e-06	9.63455376902507e-05	GO:0012501
response to purine-containing compound	BP	148	11	0.000976849209354216	0.0322113119495239	GO:0014074
cell migration	BP	1502	92	8.24987180826986e-17	6.09363031331506e-14	GO:0016477
reproductive behavior	BP	46	3	0.0999464717587054	0.711440368680101	GO:0019098
organophosphate metabolic process	BP	1048	23	0.717000388674702	1	GO:0019637
deoxyribose phosphate metabolic process	BP	43	2	0.279573798825113	1	GO:0019692
ribose phosphate metabolic process	BP	365	7	0.783838260588654	1	GO:0019693
calcium-mediated signaling	BP	229	9	0.105703858953477	0.745505853267217	GO:0019722
regulation of cell-cell adhesion	BP	489	21	0.00851305707868293	0.168279064947846	GO:0022407
positive regulation of cell-cell adhesion	BP	327	14	0.0289878815172059	0.355081518264104	GO:0022409
reproductive process	BP	1528	59	0.000252554859382185	0.0109090899201751	GO:0022414
regulation of anatomical structure morphogenesis	BP	829	42	5.73612230650444e-06	0.000427968801985966	GO:0022603
regulation of signaling	BP	3416	121	5.73024482073961e-06	0.000427968801985966	GO:0023051
positive regulation of signaling	BP	1734	66	0.000159596802023657	0.00747675589015266	GO:0023056
negative regulation of signaling	BP	1431	54	0.000796999205602558	0.0271285797188127	GO:0023057
