GO.ID	Term	Annotated	Significant	Expected	topgoFisher	FDR	Symbol
GO:0051256	mitotic spindle midzone assembly	10	6	0.29	1.1e-07	0.000841885	KIF4A, BIRC5, CDCA8, PRC1, AURKB, KIF23
GO:0051301	cell division	634	51	18.26	8.6e-08	0.000841885	KIF20A, NDC80, CENPA, SPAG5, CENPE, CENPF, KIF2C, UBE2C, ZWINT, CDCA5, OIP5, ECT2, TPX2, NCAPH, KIF4A, ASPM, HELLS, BIRC5, KIF11, MAD2L1, NEK2, NUSAP1, ANLN, PPBP, CDCA8, CEP55, SUSD2, NCAPG, SOX17, SPTBN1, AURKA, BUB1, BUB1B, TOP2A, ZBTB16, HMGA2, FAM83D, CDCA3, NUF2, TP63, CCNA2, CCNB1, PRC1, CCNB2, AURKB, PTTG1, KIF23, CDK1, CDC6, CDC20, KIF14
GO:0007094	mitotic spindle assembly checkpoint signaling	49	14	1.41	2.9e-07	0.00147967666666667	NDC80, CENPF, ZWINT, BIRC5, MAD2L1, CDCA8, BUB1, BUB1B, TTK, NUF2, CCNB1, AURKB, TRIP13, CDC20
GO:0031424	keratinization	56	10	1.61	3.9e-06	0.014924325	CDH3, IVL, KRT5, KRT6A, KRT6B, KRT16, SPRR1A, SPRR1B, SPRR2B, SPRR3
GO:0035633	maintenance of blood-brain barrier	38	8	1.09	1.4e-05	0.0357163333333333	CDH5, GJB6, TSPAN12, ANGPT1, IL6, JAM2, SLC1A1, CLDN1
GO:0090267	positive regulation of mitotic cell cycle spindle assembly checkpoint	12	5	0.35	1.3e-05	0.0357163333333333	NDC80, BIRC5, MAD2L1, CDCA8, AURKB
GO:0097421	liver regeneration	31	7	0.89	2.3e-05	0.0502944285714286	CPB2, EZH2, IL6, AURKA, TYMS, SLC7A5, CLDN1
GO:0030199	collagen fibril organization	70	10	2.02	3.0e-05	0.05740125	COL1A1, COL1A2, COL3A1, COL5A1, COL5A2, COL11A1, COL12A1, GREM1, MMP11, PLOD2
GO:0030198	extracellular matrix organization	323	40	9.3	6.3e-05	0.0876673636363636	FBLN5, POSTN, ADAMTS8, COL1A1, COL1A2, COL3A1, COL4A3, COL5A1, COL5A2, COL10A1, COL11A1, COL12A1, CPB2, FOXF1, SULF1, WDR72, ABI3BP, GREM1, RGCC, IL6, MFAP4, MMP1, MMP10, MMP11, MMP12, SERPINB5, PLOD2, ADAMTSL4, FERMT1, NTN4, SLC39A8, TIE1, MMP28, NDNF, ADTRP, ITGA8, CAV1, CAV2, CFLAR, SPOCK2
GO:0034394	protein localization to cell surface	65	7	1.87	6.2e-05	0.0876673636363636	FBLN5, EMP2, FCN1, NEDD4L, ANGPT1, ANK2, GPIHBP1
GO:0045766	positive regulation of angiogenesis	165	15	4.75	6.1e-05	0.0876673636363636	CDH5, CCBE1, CX3CR1, EMP2, GATA6, GREM1, ANXA3, HYAL1, AQP1, JUP, TEK, TIE1, ADAM12, HMGA2, CLIC3
GO:0007052	mitotic spindle organization	130	18	3.74	0.00011	0.0935427777777778	NDC80, CENPE, TPX2, KIF4A, UHRF1, BIRC5, KIF11, NEK2, CDCA8, AURKA, TTK, NUF2, CCNB1, PRC1, AURKB, KIF23, DLGAP5, CDC20
GO:0007057	spindle assembly involved in female meiosis I	4	3	0.12	9.3e-05	0.0935427777777778	NDC80, AURKA, CCNB2
GO:0030185	nitric oxide transport	4	3	0.12	9.3e-05	0.0935427777777778	HBA1, HBB, AQP1
