Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007616~long-term memory	39	39.0	8.314919369699587E-90	9486, 6198, 2890, 440275, 339977, 793, 10636, 894, 114, 1497, 4909, 6722, 55902, 6446, 4204, 139411, 814, 6869, 1813, 2648, 266743, 22849, 164312, 10919, 55450, 23237, 5590, 3949, 114781, 348, 107, 5621, 9867, 4776, 6616, 6517, 5923, 5649, 50944	100	39	19416	194.16	1.0401964131494184E-86	1.0401964131494184E-86	9.952958485530406E-87
GOTERM_BP_DIRECT	GO:0042178~xenobiotic catabolic process	22	22.0	1.8576209873309283E-47	2180, 9446, 55270, 7172, 2944, 1558, 1557, 1544, 1577, 1555, 1576, 1565, 1564, 4842, 8856, 2948, 2947, 1429, 2946, 1548, 1559, 2329	100	23	19416	185.71826086956523	2.3238838551509914E-44	1.1619419275754957E-44	1.1117861609175606E-44
GOTERM_BP_DIRECT	GO:1990166~protein localization to site of double-strand break	15	15.0	3.6590430963187506E-31	7158, 9656, 11073, 4683, 5884, 27336, 25900, 3014, 6117, 83695, 55719, 84250, 51548, 7518, 10039	100	16	19416	182.025	4.577462913494757E-28	1.525820971164919E-28	1.4599581954311815E-28
GOTERM_BP_DIRECT	GO:0019370~leukotriene biosynthetic process	11	11.0	8.149215395545055E-23	6850, 4056, 5321, 10394, 5322, 4048, 4258, 4259, 240, 5319, 241	100	11	19416	194.16	1.0194668459826865E-19	2.5486671149567162E-20	2.4386527071168578E-20
GOTERM_BP_DIRECT	GO:1901750~leukotriene D4 biosynthetic process	10	10.0	1.597410848154487E-20	728441, 2679, 2678, 124975, 2687, 91227, 2686, 2681, 728226, 92086	100	10	19416	194.16	1.9983609710412632E-17	3.996721942082526E-18	3.8242015704818415E-18
GOTERM_BP_DIRECT	GO:0006805~xenobiotic metabolic process	15	15.0	1.1456799911695714E-15	7172, 1558, 1557, 1544, 1577, 1555, 1543, 1576, 1565, 1564, 54658, 8856, 1548, 1559, 2329	100	119	19416	24.47394957983193	1.3888890038060708E-12	2.3887427815885566E-13	2.285631582383295E-13
GOTERM_BP_DIRECT	GO:0042759~long-chain fatty acid biosynthetic process	9	9.0	4.0973363717159585E-14	1558, 1544, 1543, 1576, 1565, 4056, 2948, 240, 1559	100	20	19416	87.37199999999999	5.1250004240444014E-11	6.495306110927561E-12	6.214933185276011E-12
GOTERM_BP_DIRECT	GO:0008202~steroid metabolic process	11	11.0	4.1536729726155464E-14	1558, 1557, 1555, 1577, 1543, 1576, 1565, 54658, 8856, 1559, 1548	100	48	19416	44.495000000000005	5.194444874234705E-11	6.495306110927561E-12	6.214933185276011E-12
GOTERM_BP_DIRECT	GO:0006751~glutathione catabolic process	8	8.0	2.407117433946997E-13	728441, 2679, 2678, 2687, 91227, 2686, 728226, 92086	100	14	19416	110.94857142857144	3.0111113602515616E-10	3.345893233186326E-11	3.201466187149506E-11
GOTERM_BP_DIRECT	GO:0008210~estrogen metabolic process	9	9.0	3.2567721809197016E-12	1558, 1544, 1577, 9486, 1543, 1576, 1565, 54658, 1559	100	32	19416	54.607499999999995	4.074167003764728E-9	4.0742219983305464E-10	3.8983563005608827E-10
