Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Neural Crest Cell Development (GO:0014032)	43/43	1.737625511929513E-70	5.869698979297895E-67	0	0	838586.0	1.3470075845050406E8	SEMA5A;NRP1;SEMA5B;SEMA7A;SEMA3C;PEF1;SEMA3D;PDCD6;SEMA3A;SEMA3B;HTR2B;SEMA3G;NOLC1;KLHL12;SEMA3E;SEMA3F;CORO1C;SHH;CDH2;TCOF1;ERBB4;NRTN;SOX8;TAPT1;PHACTR4;SEMA6B;TBX1;SEMA4A;SEMA6C;SEMA6A;SEMA4D;SEMA4B;SEMA6D;SEMA4C;NRG1;SEMA4F;SEMA4G;SOX10;CYP26C1;GDNF;SNAI2;RADIL;KBTBD8
Neural Crest Cell Migration (GO:0001755)	34/35	3.261269048620017E-54	5.508283423119209E-51	0	0	1428.9525862068965	175986.1975895299	SEMA5A;NRP1;SEMA5B;SEMA7A;SEMA3C;SEMA3D;SEMA3A;SEMA3B;HTR2B;SEMA3G;SEMA3E;SEMA3F;SHH;ERBB4;NRTN;SOX8;PITX2;PHACTR4;SEMA6B;TBX1;SEMA4A;SEMA6C;SEMA6A;SEMA4D;SEMA4B;SEMA6D;SEMA4C;FN1;SEMA4F;SEMA4G;SOX10;PHOX2B;GDNF;RADIL
Mesenchymal Cell Migration (GO:0090497)	31/31	7.506994044267228E-51	8.452875293844899E-48	0	0	604562.0	6.977613058354267E7	SEMA5A;NRP1;SEMA5B;SEMA7A;SEMA3C;SEMA3D;SEMA3A;SEMA3B;HTR2B;SEMA3G;SEMA3E;SEMA3F;SHH;ERBB4;NRTN;SOX8;PHACTR4;SEMA6B;TBX1;SEMA4A;SEMA6C;SEMA6A;SEMA4D;SEMA4B;SEMA6D;SEMA4C;SEMA4F;SEMA4G;SOX10;GDNF;RADIL
Regulation of Dendritic Spine Morphogenesis (GO:0061001)	30/31	9.71244800637231E-48	8.202162341381415E-45	0	0	1250.0641025641025	135320.28427253393	CAMK2B;NLGN1;LRRK2;LRP8;ARHGAP44;CUX2;RELN;SIPA1L1;DHX36;KIF1A;PDLIM5;LZTS3;PPFIA2;EPHA4;ARMCX5-GPRASP2;SRCIN1;TANC2;ZDHHC15;EFNA1;PTPRD;ARC;CDK5;ABI3;CAPRIN1;CAPRIN2;IL1RAPL1;SHANK3;DBN1;NGEF;CDK5R1
Cellular Response to Hydrogen Peroxide (GO:0070301)	30/35	9.287466098647078E-44	6.274612096245966E-41	0	0	249.96153846153845	24767.458618427212	OSER1;TNFAIP3;PARK7;HDAC6;RELA;TRPM2;MAPK7;RPS3;CYP1B1;SIRPA;FYN;RIPK1;ECT2;ANKZF1;MAP3K5;EDN1;PLEKHA1;RIPK3;TRPA1;ZNF580;PRKCD;SIRT1;MAPK13;RHOB;FABP1;SETX;IL6;PPIF;FXN;NFE2L2
Response to Hydrogen Peroxide (GO:0042542)	31/42	2.5027873659667894E-41	1.4090692870393026E-38	0	0	117.62137434300175	10996.255706712866	OSER1;TNFAIP3;PARK7;HDAC6;RELA;TRPM2;MAPK7;RPS3;CYP1B1;SIRPA;FYN;RIPK1;ECT2;ANKZF1;MAP3K5;EDN1;PLEKHA1;RIPK3;TRPA1;ZNF580;PRKCD;SIRT1;MAPK13;RHOB;SOD1;FABP1;SETX;IL6;PPIF;FXN;NFE2L2
Mitotic G2 DNA Damage Checkpoint Signaling (GO:0007095)	27/30	9.33525433985073E-41	4.504927022859395E-38	0	0	372.5923566878981	34342.653787644595	BRSK1;BLM;MRE11;BRCA1;BRCC3;BABAM1;BABAM2;FZR1;MRNIP;CHEK1;UIMC1;CLSPN;TOPBP1;CDK5RAP3;PLK1;DONSON;FOXN3;TICRR;RINT1;TAOK3;TRIM39;TAOK1;TAOK2;CDK1;ATM;DTL;NOP53
Cellular Response to Reactive Oxygen Species (GO:0034614)	34/71	8.603319918637259E-36	3.632751835644582E-33	0	0	38.54904473438956	3112.485151245256	OSER1;SRC;LRRK2;TNFAIP3;PARK7;HDAC6;RELA;CAMKK2;TRPM2;MAPK7;RPS3;CYP1B1;SIRPA;FYN;RIPK1;ECT2;ANKZF1;MAP3K5;EDN1;RIPK3;PLEKHA1;TRPA1;ZNF580;PRKCD;SIRT1;RHOB;MAPK13;FABP1;SETX;IL6;PPIF;ATM;FXN;NFE2L2
Long-Term Memory (GO:0007616)	21/21	1.3733677808832989E-34	5.154707070915315E-32	0	0	409542.0	3.1932246606483508E7	PRNP;RGS14;LRRN4;RASGRF1;EIF2AK4;SLC2A4;PJA2;NFATC4;NPAS4;NTF4;ARC;KAT2A;CALB1;RELN;CAMK2N1;CAMK4;APOE;CPEB3;SGK1;LDLR;SHANK1
Mitotic DNA Damage Checkpoint Signaling (GO:0044773)	31/59	2.193192040363962E-34	7.408602712349464E-32	0	0	46.16809421841542	3578.1443438858596	MDC1;BRSK1;BLM;MRE11;BRCA1;BRCC3;BABAM1;BABAM2;FZR1;MRNIP;CHEK1;UIMC1;TOPBP1;CLSPN;CDK5RAP3;PLK1;DONSON;FOXN3;TICRR;RINT1;GDNF;TAOK3;TRIM39;POLR1B;TAOK1;TAOK2;CDK1;RAD17;ATM;DTL;NOP53
