GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	FDR	Symbol
GO:0000122	9.08744915365071e-06	5.63506493506493	2.65502945668776	12	936	negative regulation of transcription by RNA polymerase II	0.000103055540402039	KLF2, PARP1, CTBP2, EZH2, SNW1, CNOT1, SNCA, NR2C1, CALR, PER3, NR1D1, ZNF536
GO:0000165	0.0681173727169094	2.41590087479648	2.20117826751036	5	776	MAPK cascade	0.123936940964989	ADORA1, ADRB1, DRD2, EZH2, GHRL
GO:0000280	0.365131878216559	1.59579418344519	1.27361989962906	2	449	nuclear division	0.414427791928079	CYP26B1, CALR
GO:0000302	0.109374200945971	3.67167512690355	0.564477416539385	2	199	response to reactive oxygen species	0.170957328751326	KLF2, EZH2
GO:0000902	0.00178546280563143	3.6632143865926	2.82806022256164	9	997	cell morphogenesis	0.009478602344637	KLF2, CHRNB2, ADORA2A, ASXL1, DRD2, NLGN1, VPS33A, STXBP1, ANKRD27
GO:0000910	0.102156418303002	3.82878306878307	0.541784857080515	2	191	cytokinesis	0.163343499900043	DRD2, SEPTIN8
GO:0001501	0.0654890242543448	2.77470293933709	1.52323805367663	4	537	skeletal system development	0.120450145598928	ASXL1, GHRL, CYP26B1, DHRS3
GO:0001504	0.00754184320033371	16.5781818181818	0.130482216888501	2	46	neurotransmitter uptake	0.0285903444223177	DRD2, SNCA
GO:0001508	0.00158466793524076	8.72206165703276	0.502072878027493	4	177	action potential	0.00876135234462029	CHRNB2, KCNA2, MTNR1B, NPS
GO:0001516	0.00348150214538665	25.1737931034483	0.0879336679031202	2	31	prostaglandin biosynthetic process	0.0157792571725432	PTGDS, AKR1C3
GO:0001523	3.9298572533445e-06	24.509830325882	0.238271874318132	5	84	retinoid metabolic process	5.15914757643502e-05	CYP26A1, CYP26C1, CYP26B1, AKR1C3, DHRS3
GO:0001525	0.542917814241415	1.11331230283912	1.80405847698014	2	636	angiogenesis	0.569412032645955	KLF2, GHRL
GO:0001568	0.683052483386765	0.852796092796093	2.32882391446651	2	821	blood vessel development	0.697446309665031	KLF2, GHRL
GO:0001654	0.110307536621664	2.6886125457554	1.16299367226707	3	410	eye development	0.171610966197744	DRD2, MTNR1B, TH
GO:0001659	0.000175462950169315	10.6973995271868	0.524765437486363	5	185	temperature homeostasis	0.0014042305171208	ADORA1, ADRB1, DRD2, GHRL, NR1D1
GO:0001666	0.0119935037296796	4.83064516129032	0.890682958760637	4	314	response to hypoxia	0.0382786675923307	CHRNB2, ADORA1, DRD2, TH
GO:0001676	0.0376707890987197	6.85811320754717	0.306349552694741	2	108	long-chain fatty acid metabolic process	0.0818196030546765	PTGDS, AKR1C3
GO:0001678	0.00114361701802919	9.55801687763713	0.459524329042112	4	162	intracellular glucose homeostasis	0.00669832824845669	CRH, GHRL, TH, NR1D1
GO:0001701	0.106157062033034	2.73673469387755	1.14313768274056	3	403	in utero embryonic development	0.1671048850077	KLF2, CSF2, CNOT1
GO:0001774	0.00852301498718227	15.5174468085106	0.138991926685577	2	49	microglial cell activation	0.0297301504461266	SNCA, NR1D1
GO:0001775	0.00118307503735003	3.62039851401554	3.22801658302422	10	1138	cell activation	0.00686905223210853	CHRNB2, ADORA2A, CSF2, EZH2, BLOC1S6, CYP26B1, PTGDS, SNCA, STXBP1, NR1D1
GO:0001816	0.0121463033078711	3.07575757575758	2.51603753000218	7	887	cytokine production	0.0386390452689499	KLF2, TRIM16, CSF2, DRD2, EZH2, GHRL, FXR1
GO:0001817	0.011663906415585	3.10166730304187	2.49618154047567	7	880	regulation of cytokine production	0.0374509766235348	KLF2, TRIM16, CSF2, DRD2, EZH2, GHRL, FXR1
GO:0001818	0.0236994115133381	3.9044502617801	1.09491599389046	4	386	negative regulation of cytokine production	0.0614984729143582	KLF2, EZH2, GHRL, FXR1
GO:0001819	0.17361722481119	2.15937803692906	1.43814095570587	3	507	positive regulation of cytokine production	0.237276873908626	TRIM16, CSF2, DRD2
GO:0001822	0.00214311399207131	6.0282569299953	0.913375518219507	5	322	kidney development	0.0110046219438729	CYP26A1, ASXL1, EZH2, BLOC1S6, CYP26B1
GO:0001890	0.00917868003371818	7.45007533214628	0.431158629718525	3	152	placenta development	0.0316444790295717	PARP1, CSF2, GHRL
GO:0001893	0.00442269445117618	22.1175757575758	0.0992799476325551	2	35	maternal placenta development	0.0191650092884301	PARP1, GHRL
GO:0001932	0.608941432056051	0.982657342657343	2.0338206415012	2	717	regulation of protein phosphorylation	0.629003455980378	EZH2, SNCA
GO:0001934	0.370258634517417	1.57769911504425	1.28780274929086	2	454	positive regulation of protein phosphorylation	0.41881972028392	EZH2, SNCA
GO:0001944	0.704728923620996	0.817209847596717	2.4252672921667	2	855	vasculature development	0.718753379812459	KLF2, GHRL
GO:0001956	1.71007489745765e-07	108.72619047619	0.0510582587824569	4	18	positive regulation of neurotransmitter secretion	3.1869577634438e-06	ADORA2A, NLGN1, SNCA, STXBP1
GO:0001963	2.17944913353871e-10	99.2173913043478	0.0850970979707615	6	30	synaptic transmission, dopaminergic	7.3521923302287e-09	CHRNB2, ADORA2A, CRH, DRD2, SNCA, TH
GO:0001964	0.00284554136370223	28.0830769230769	0.0794239581060441	2	28	startle response	0.013280854175598	ADORA2A, DRD2
GO:0001973	0.000511473602753053	73.08	0.0340388391883046	2	12	G protein-coupled adenosine receptor signaling pathway	0.00345958667852002	ADORA1, ADORA2A
GO:0001975	0.000143866957928078	33.8534322820037	0.102116517564914	3	36	response to amphetamine	0.00117970905501024	ADORA2A, DRD2, TH
GO:0002027	0.035788508859798	7.05902912621359	0.297839842897665	2	105	regulation of heart rate	0.0792853076022932	ADRB1, DRD2
GO:0002040	0.105748123797541	3.74860103626943	0.55313113680995	2	195	sprouting angiogenesis	0.166756656757662	KLF2, GHRL
GO:0002218	0.226826640669429	2.28126984126984	0.899192668557713	2	317	activation of innate immune response	0.289508140509593	PARP1, NR1D1
GO:0002221	0.186397486767052	2.60927536231884	0.788566441195723	2	278	pattern recognition receptor signaling pathway	0.250251537649467	PARP1, NR1D1
GO:0002237	0.0213977887188095	4.03378378378378	1.06087715470216	4	374	response to molecule of bacterial origin	0.0578935095793172	CSF2, SNCA, TH, NR1D1
GO:0002252	0.571513176321883	1.05461077844311	1.90050185468034	2	670	immune effector process	0.594721833228355	PTGDS, STXBP1
GO:0002253	0.483891575920058	1.24732394366197	1.61684486144447	2	570	activation of immune response	0.51727679495666	PARP1, NR1D1
GO:0002263	0.22787403781128	2.27392405063291	0.902029238490072	2	318	cell activation involved in immune response	0.29066580789863	PTGDS, STXBP1
GO:0002269	0.0095582768750447	14.584	0.147501636482653	2	52	leukocyte activation involved in inflammatory response	0.0325739231099669	SNCA, NR1D1
GO:0002274	0.000649308598398643	7.96283217091904	0.697796203360244	5	246	myeloid leukocyte activation	0.00422050588959118	CSF2, PTGDS, SNCA, STXBP1, NR1D1
GO:0002275	0.0309576234587484	7.65684210526316	0.275147283438796	2	97	myeloid cell activation involved in immune response	0.0716785981907597	PTGDS, STXBP1
GO:0002279	0.0106466765886133	13.7562264150943	0.156011346279729	2	55	mast cell activation involved in immune response	0.0358249912988062	PTGDS, STXBP1
GO:0002366	0.223686880362195	2.30358974358974	0.890682958760637	2	314	leukocyte activation involved in immune response	0.28682133824471	PTGDS, STXBP1
GO:0002376	0.00219097532926508	2.62022716794501	7.5651320096007	16	2667	immune system process	0.0112287485624835	KLF2, CHRNB2, ADORA1, ADORA2A, PARP1, CSF2, ASXL1, DRD2, EZH2, BLOC1S6, CYP26B1, PTGDS, SNCA, STXBP1, CALR, NR1D1
GO:0002443	0.325737324992017	1.74777506112469	1.16583024219943	2	411	leukocyte mediated immunity	0.380741215396371	PTGDS, STXBP1
GO:0002444	0.0408906338928736	6.54738738738739	0.320532402356535	2	113	myeloid leukocyte mediated immunity	0.0862815038198798	PTGDS, STXBP1
GO:0002448	0.0106466765886133	13.7562264150943	0.156011346279729	2	55	mast cell mediated immunity	0.0358249912988062	PTGDS, STXBP1
GO:0002521	0.101599867998388	2.36182450508293	1.77852934758892	4	627	leukocyte differentiation	0.163110631455243	PARP1, CSF2, EZH2, CYP26B1
GO:0002573	0.154163771297802	2.95672131147541	0.697796203360244	2	246	myeloid leukocyte differentiation	0.217724669055984	PARP1, CSF2
GO:0002682	0.00531375718701065	2.75910870219813	4.62644555967707	11	1631	regulation of immune system process	0.0224069033281383	CHRNB2, ADORA1, ADORA2A, PARP1, DRD2, BLOC1S6, CYP26B1, SNCA, STXBP1, CALR, NR1D1
GO:0002683	0.0193397711909794	3.46839799749687	1.55727689286494	5	549	negative regulation of immune system process	0.0538773599712042	ADORA1, ADORA2A, PARP1, DRD2, NR1D1
GO:0002684	0.0950358017774075	2.01569287363519	3.16844861444469	6	1117	positive regulation of immune system process	0.156050777410222	CHRNB2, PARP1, BLOC1S6, STXBP1, CALR, NR1D1
GO:0002685	0.144339844118504	3.08478632478632	0.669430504036657	2	236	regulation of leukocyte migration	0.207143610433933	ADORA1, CALR
GO:0002694	0.00613005704918114	3.97343410910724	1.66506655029457	6	587	regulation of leukocyte activation	0.0238490540672522	CHRNB2, ADORA2A, BLOC1S6, CYP26B1, SNCA, NR1D1
GO:0002695	0.106651467873618	3.72907216494845	0.555967706742309	2	196	negative regulation of leukocyte activation	0.167685051258521	ADORA2A, NR1D1
GO:0002696	0.282644854439891	1.94695652173913	1.04953087497273	2	370	positive regulation of leukocyte activation	0.341454459239487	CHRNB2, BLOC1S6
GO:0002757	0.41960856547376	1.41948103792415	1.42679467597643	2	503	immune response-activating signaling pathway	0.461708021051846	PARP1, NR1D1
GO:0002758	0.205976598633382	2.43864406779661	0.842461269910539	2	297	innate immune response-activating signaling pathway	0.269875926921319	PARP1, NR1D1
GO:0002764	0.476435296236518	1.26571428571429	1.5941523019856	2	562	immune response-regulating signaling pathway	0.510740170744296	PARP1, NR1D1
GO:0002790	7.66052500112325e-06	11.2186666666667	0.72899847261619	7	257	peptide secretion	9.07856914743592e-05	ADORA1, CRH, DRD2, GHRH, MTNR1B, GHRL, NR1D1
GO:0002791	1.83916144262819e-06	14.0622222222222	0.587169975998254	7	207	regulation of peptide secretion	2.66378545902399e-05	ADORA1, CRH, DRD2, GHRH, MTNR1B, GHRL, NR1D1
GO:0002792	1.02117287062287e-05	34.5378787878788	0.136155356753218	4	48	negative regulation of peptide secretion	0.000113131094099431	CRH, DRD2, MTNR1B, GHRL
GO:0002793	1.90678307713731e-05	17.4132643281579	0.329042112153611	5	116	positive regulation of peptide secretion	0.000195445265406574	ADORA1, CRH, DRD2, GHRH, GHRL
GO:0002831	0.214781738113818	1.93375532030994	1.59982544185032	3	564	regulation of response to biotic stimulus	0.278482922881898	PARP1, DRD2, NR1D1
GO:0002832	0.0504298056277658	5.8096	0.360244381409557	2	127	negative regulation of response to biotic stimulus	0.0997738916094995	PARP1, DRD2
GO:0002833	0.330958638787476	1.72618357487923	1.18001309186123	2	416	positive regulation of response to biotic stimulus	0.385612169627198	PARP1, NR1D1
GO:0003002	0.34552213139959	1.66841121495327	1.21972507091425	2	430	regionalization	0.397589153790979	CYP26C1, CYP26B1
GO:0003006	0.0261966454061307	2.60786092214664	2.93868644992363	7	1036	developmental process involved in reproduction	0.0653689700443242	PARP1, GHRL, CYP26B1, STXBP1, FXR1, CALR, AKR1C3
GO:0003007	0.0426807574829283	4.06860456359666	0.777220161466288	3	274	heart morphogenesis	0.0883107287981396	ASXL1, TH, DHRS3
GO:0003008	5.47883236491938e-07	4.66939662376734	6.62906393192232	21	2337	system process	9.12568015781883e-06	KLF2, PRRT2, CHRNB2, BTBD9, ADORA1, ADORA2A, CRH, PARP1, ADRB1, DRD2, EZH2, NLGN1, BLOC1S6, KCNA2, MTNR1B, GHRL, NPS, SNCA, TH, AKR1C3, DHRS3
GO:0003012	0.0019555728907078	5.0642227905655	1.3190050185468	6	465	muscle system process	0.0102188269681103	CHRNB2, ADORA1, PARP1, DRD2, EZH2, GHRL
GO:0003013	7.87617733625405e-06	6.90867151458284	1.75583678813005	10	619	circulatory system process	9.10463934740537e-05	KLF2, ADORA1, ADORA2A, CRH, ADRB1, DRD2, BLOC1S6, MTNR1B, GHRL, TH
GO:0003014	3.18253363779164e-05	15.576527110501	0.365917521274275	5	129	renal system process	0.000312968713827111	CHRNB2, ADORA1, ADORA2A, DRD2, AKR1C3
GO:0003015	0.00644853289072358	5.82105943152455	0.743181322277984	4	262	heart process	0.0249786920839801	ADORA1, ADRB1, DRD2, TH
GO:0003016	0.00754184320033371	16.5781818181818	0.130482216888501	2	46	respiratory system process	0.0285903444223177	ADORA1, BLOC1S6
GO:0003018	0.000125592030709718	8.70048309178744	0.782893301331006	6	276	vascular process in circulatory system	0.00104268773159314	KLF2, ADORA1, ADORA2A, ADRB1, BLOC1S6, MTNR1B
GO:0003073	0.000170756212543486	16.1223404255319	0.277983853371154	4	98	regulation of systemic arterial blood pressure	0.00137067863382045	ADORA1, CRH, ADRB1, DRD2
GO:0003085	4.73756369182296e-05	50.8107606679035	0.0709142483089679	3	25	negative regulation of systemic arterial blood pressure	0.000443003762761691	ADORA1, CRH, ADRB1
GO:0003300	0.0339443667545186	7.272	0.289330133100589	2	102	cardiac muscle hypertrophy	0.0757635991631424	PARP1, EZH2
GO:0005975	0.0829476269074772	2.54763960852044	1.65372027056513	4	583	carbohydrate metabolic process	0.14197522524626	PARP1, GHRL, SNCA, NR1D1
GO:0006066	0.0826614583045171	3.06498688861019	1.0240017455815	3	361	alcohol metabolic process	0.141576340862171	SNCA, AKR1C3, DHRS3
GO:0006082	0.00111727404813302	3.9359268311119	2.64368317695832	9	932	organic acid metabolic process	0.00655844788166189	CYP26A1, BLOC1S6, CYP26C1, CYP26B1, PTGDS, SNCA, TH, AKR1C3, NR1D1
GO:0006091	0.400679163795341	1.47701244813278	1.37289984726162	2	484	generation of precursor metabolites and energy	0.445291898046115	SNCA, NR1D1
GO:0006139	0.167354673008923	1.36770464292374	17.2349989090116	21	6076	nucleobase-containing compound metabolic process	0.231088188377606	KLF2, TRIM16, ADORA2A, PARP1, CSF2, CTBP2, ASXL1, DRD2, EZH2, SNW1, CNOT1, PRAME, BLOC1S6, SNCA, NR2C1, FXR1, CALR, PER3, TGFBRAP1, NR1D1, ZNF536
GO:0006163	0.353802378181325	1.63706422018349	1.24241763037312	2	438	purine nucleotide metabolic process	0.404150594879225	PARP1, BLOC1S6
GO:0006325	0.591205925444455	0.988666385878929	3.03229325769147	3	1069	chromatin organization	0.613059840976448	KLF2, ASXL1, EZH2
GO:0006338	0.743925936909317	0.754782608695652	2.61531747763474	2	922	chromatin remodeling	0.754686951603856	KLF2, EZH2
GO:0006351	0.00271671471307684	2.4159560356263	10.0329478507528	19	3537	DNA-templated transcription	0.013280854175598	KLF2, TRIM16, ADORA2A, PARP1, CSF2, CTBP2, ASXL1, DRD2, EZH2, SNW1, CNOT1, PRAME, SNCA, NR2C1, CALR, PER3, TGFBRAP1, NR1D1, ZNF536
GO:0006354	0.055472025052445	5.49939393939394	0.380100370936068	2	134	DNA-templated transcription elongation	0.106909258290739	PARP1, EZH2
GO:0006355	0.00172624613710617	2.53166742715016	9.66135718961379	19	3406	regulation of DNA-templated transcription	0.00933153337806887	KLF2, TRIM16, ADORA2A, PARP1, CSF2, CTBP2, ASXL1, DRD2, EZH2, SNW1, CNOT1, PRAME, SNCA, NR2C1, CALR, PER3, TGFBRAP1, NR1D1, ZNF536
GO:0006357	0.0112585052630301	2.24498090394788	7.34955269474144	14	2591	regulation of transcription by RNA polymerase II	0.0364785582207615	KLF2, PARP1, CTBP2, ASXL1, DRD2, EZH2, SNW1, CNOT1, SNCA, NR2C1, CALR, PER3, NR1D1, ZNF536
GO:0006366	0.0167770210448495	2.12223606353161	7.70979707615099	14	2718	transcription by RNA polymerase II	0.0483806901826712	KLF2, PARP1, CTBP2, ASXL1, DRD2, EZH2, SNW1, CNOT1, SNCA, NR2C1, CALR, PER3, NR1D1, ZNF536
GO:0006368	0.0442109044781116	6.26344827586207	0.334715252018329	2	118	transcription elongation by RNA polymerase II	0.0907734754873321	PARP1, EZH2
GO:0006401	0.321553504750456	1.76543209876543	1.15448396247	2	407	RNA catabolic process	0.376676962707677	CNOT1, FXR1
GO:0006402	0.265761340531223	2.03727272727273	1.00414575605499	2	354	mRNA catabolic process	0.324589354956787	CNOT1, FXR1
GO:0006412	0.364750538915319	1.42113799162049	2.15012000872791	3	758	translation	0.414347905460071	CNOT1, FXR1, CALR
GO:0006417	0.14169362951317	2.38775510204082	1.30482216888501	3	460	regulation of translation	0.204225809979772	CNOT1, FXR1, CALR
GO:0006468	0.850002697404818	0.590888697152718	3.29325769146847	2	1161	protein phosphorylation	0.853525692759548	EZH2, SNCA
GO:0006508	0.551372555297802	1.02096823928461	4.90726598298058	5	1730	proteolysis	0.576328878489679	PARP1, PRAME, SNCA, CALR, NR1D1
GO:0006520	0.197700831669407	2.50773519163763	0.819768710451669	2	289	amino acid metabolic process	0.261605122343083	BLOC1S6, TH
