"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
3.28021709084065e-45,19,23,363.494147157191,"GO:0042745 circadian sleep/wake cycle "," http://amigo.geneontology.org/amigo/term/GO:0042745"," GHRL  ADRB1  PER3  PTGDS  NR1D1  ADORA2A  MTNR1B  HCRTR2  DRD2  ADORA1  CSF2  KCNA2  TH  BTBD9  NPS  NLGN1  CHRNB2  GHRH  CRH"
1.39490883337329e-41,17,19,393.701417004049,"GO:0042749 regulation of circadian sleep/wake cycle "," http://amigo.geneontology.org/amigo/term/GO:0042749"," GHRL  ADRB1  PER3  PTGDS  NR1D1  ADORA2A  MTNR1B  DRD2  ADORA1  CSF2  KCNA2  NPS  NLGN1  HCRTR2  CHRNB2  GHRH  CRH"
6.19063110803368e-41,17,20,374.016346153846,"GO:0022410 circadian sleep/wake cycle process "," http://amigo.geneontology.org/amigo/term/GO:0022410"," GHRL  ADRB1  PER3  PTGDS  ADORA2A  MTNR1B  HCRTR2  DRD2  ADORA1  CSF2  KCNA2  BTBD9  NPS  NLGN1  CHRNB2  GHRH  CRH"
4.41011589492493e-40,16,17,414.135746606335,"GO:0048385 regulation of retinoic acid receptor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0048385"," DHRS3  SNW1  CNOT1  KLF2  CALR  PRAME  AKR1C3  TRIM16  CYP26B1  NR2C1  ASXL1  CTBP2  ZNF536  EZH2  CYP26C1  CYP26A1"
1.75276698870363e-37,19,45,185.785897435897,"GO:0048512 circadian behavior "," http://amigo.geneontology.org/amigo/term/GO:0048512"," BTBD9  GHRL  ADRB1  PER3  PTGDS  NR1D1  ADORA2A  MTNR1B  HCRTR2  DRD2  ADORA1  CSF2  KCNA2  TH  NPS  NLGN1  CHRNB2  GHRH  CRH"
4.16565919535527e-37,19,47,177.880114566285,"GO:0007622 rhythmic behavior "," http://amigo.geneontology.org/amigo/term/GO:0007622"," BTBD9  GHRL  ADRB1  PER3  PTGDS  NR1D1  ADORA2A  MTNR1B  HCRTR2  DRD2  ADORA1  CSF2  KCNA2  TH  NPS  NLGN1  CHRNB2  GHRH  CRH"
3.23731316254615e-33,13,13,440.019230769231,"GO:0035542 regulation of SNARE complex assembly "," http://amigo.geneontology.org/amigo/term/GO:0035542"," VPS41  VPS18  TGFBRAP1  VPS33A  VPS8  VPS39  VPS16  ANKRD27  SNCA  PRRT2  STXBP6  SEPTIN8  STXBP1"
3.26975863411744e-33,14,17,362.368778280543,"GO:0050802 circadian sleep/wake cycle sleep "," http://amigo.geneontology.org/amigo/term/GO:0050802"," GHRL  ADRB1  PER3  PTGDS  ADORA2A  MTNR1B  DRD2  ADORA1  CSF2  KCNA2  BTBD9  CHRNB2  GHRH  CRH"
2.63543866109937e-31,13,15,381.35,"GO:0045187 regulation of circadian sleep/wake cycle sleep "," http://amigo.geneontology.org/amigo/term/GO:0045187"," GHRL  ADRB1  PER3  PTGDS  ADORA2A  MTNR1B  DRD2  ADORA1  CSF2  KCNA2  CHRNB2  GHRH  CRH"
3.78754226377925e-31,16,39,180.520710059172,"GO:0048384 retinoic acid receptor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0048384"," DHRS3  SNW1  CNOT1  KLF2  CALR  PRAME  AKR1C3  TRIM16  CYP26B1  NR2C1  ASXL1  CTBP2  ZNF536  EZH2  CYP26C1  CYP26A1"
1.3791482118463e-28,14,28,220.009615384615,"GO:0030431 sleep "," http://amigo.geneontology.org/amigo/term/GO:0030431"," GHRL  ADRB1  PER3  PTGDS  ADORA2A  MTNR1B  DRD2  ADORA1  CSF2  KCNA2  BTBD9  CHRNB2  GHRH  CRH"
6.13178076025891e-28,17,77,97.1471028971029,"GO:0050795 regulation of behavior "," http://amigo.geneontology.org/amigo/term/GO:0050795"," GHRL  ADRB1  PER3  PTGDS  NR1D1  ADORA2A  MTNR1B  DRD2  ADORA1  CSF2  KCNA2  NPS  NLGN1  HCRTR2  CHRNB2  GHRH  CRH"
1.9629373070317e-27,13,23,248.70652173913,"GO:0035493 SNARE complex assembly "," http://amigo.geneontology.org/amigo/term/GO:0035493"," VPS41  VPS18  TGFBRAP1  VPS33A  VPS8  VPS39  VPS16  ANKRD27  SNCA  STXBP6  PRRT2  STXBP1  SEPTIN8"
2.31326237354105e-26,18,122,64.9208701134931,"GO:0042752 regulation of circadian rhythm "," http://amigo.geneontology.org/amigo/term/GO:0042752"," PER3  GHRL  ADRB1  EZH2  PTGDS  NR1D1  ADORA2A  MTNR1B  DRD2  ADORA1  CSF2  KCNA2  NPS  NLGN1  HCRTR2  CHRNB2  GHRH  CRH"
2.23517358590241e-25,20,216,40.7425213675214,"GO:0007623 circadian rhythm "," http://amigo.geneontology.org/amigo/term/GO:0007623"," PER3  BTBD9  GHRL  ADRB1  EZH2  PTGDS  NR1D1  ADORA2A  MTNR1B  HCRTR2  DRD2  ADORA1  CSF2  KCNA2  TH  NPS  NLGN1  CHRNB2  GHRH  CRH"
3.58812187653901e-22,20,311,28.2970566411081,"GO:0048511 rhythmic process "," http://amigo.geneontology.org/amigo/term/GO:0048511"," PER3  BTBD9  GHRL  ADRB1  EZH2  PTGDS  NR1D1  ADORA2A  MTNR1B  HCRTR2  DRD2  ADORA1  CSF2  NLGN1  KCNA2  TH  NPS  CHRNB2  GHRH  CRH"
1.22924772561315e-21,9,10,396.017307692308,"GO:0048387 negative regulation of retinoic acid receptor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0048387"," CNOT1  CALR  PRAME  CYP26B1  DHRS3  ZNF536  EZH2  CYP26C1  CYP26A1"
6.5940214748592e-21,19,298,28.0549173980382,"GO:0030522 intracellular receptor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0030522"," DHRS3  SNW1  CNOT1  KLF2  CALR  PRAME  AKR1C3  TRIM16  CYP26B1  NR2C1  NR1D1  PARP1  ASXL1  CTBP2  ZNF536  VPS18  EZH2  CYP26C1  CYP26A1"
5.68400158686136e-17,14,157,39.2373836354728,"GO:0048284 organelle fusion "," http://amigo.geneontology.org/amigo/term/GO:0048284"," VPS41  VPS18  TGFBRAP1  VPS8  VPS39  VPS16  VPS33A  ANKRD27  SNCA  STXBP6  STXBP1  PRRT2  CYP26C1  SEPTIN8"
1.16855888400361e-16,13,123,46.5060975609756,"GO:0006906 vesicle fusion "," http://amigo.geneontology.org/amigo/term/GO:0006906"," VPS41  TGFBRAP1  VPS8  VPS39  VPS18  VPS33A  VPS16  ANKRD27  SNCA  STXBP6  STXBP1  PRRT2  SEPTIN8"
1.38315361898993e-16,13,125,45.762,"GO:0090174 organelle membrane fusion "," http://amigo.geneontology.org/amigo/term/GO:0090174"," VPS41  TGFBRAP1  VPS8  VPS39  VPS18  VPS33A  VPS16  ANKRD27  SNCA  STXBP6  STXBP1  PRRT2  SEPTIN8"
6.95287667106383e-16,14,189,32.5940170940171,"GO:0061025 membrane fusion "," http://amigo.geneontology.org/amigo/term/GO:0061025"," VPS41  TGFBRAP1  VPS8  VPS39  VPS18  VPS33A  VPS16  ANKRD27  SNCA  STXBP6  BLOC1S6  STXBP1  PRRT2  SEPTIN8"
7.22846027658806e-16,20,659,13.3541496439827,"GO:0007610 behavior "," http://amigo.geneontology.org/amigo/term/GO:0007610"," BTBD9  GHRL  ADRB1  PER3  PTGDS  NR1D1  ADORA2A  MTNR1B  HCRTR2  SNCA  CRH  DRD2  ADORA1  CSF2  KCNA2  TH  NPS  CHRNB2  NLGN1  GHRH"
