geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId
GO:0007616	long-term memory	http://amigo.geneontology.org/amigo/term/GO:0007616	39	39	0.22288367662817002	174.97916666666666	4.195212641661266e-92	5.343022820419788e-88	107;114;348;793;814;894;1497;1813;2648;2890;3949;4204;4776;4909;5590;5621;5649;5923;6198;6446;6517;6616;6722;6869;9486;9867;10636;10919;22849;23237;50944;55450;55902;114781;139411;164312;266743;339977;440275
GO:0007613	memory	http://amigo.geneontology.org/amigo/term/GO:0007613	124	39	0.7086557923562329	55.03377016129032	8.285582641633227e-60	5.276259026192039e-56	107;114;348;793;814;894;1497;1813;2648;2890;3949;4204;4776;4909;5590;5621;5649;5923;6198;6446;6517;6616;6722;6869;9486;9867;10636;10919;22849;23237;50944;55450;55902;114781;139411;164312;266743;339977;440275
GO:0042178	xenobiotic catabolic process	http://amigo.geneontology.org/amigo/term/GO:0042178	25	25	0.14287415168472437	174.97916666666669	2.7734976239813567e-58	1.1774421913008853e-54	30;1429;1543;1544;1548;1555;1557;1558;1559;1564;1565;1576;1577;2180;2329;2944;2946;2947;2948;4842;7172;8856;9446;54658;55270
GO:0007611	learning or memory	http://amigo.geneontology.org/amigo/term/GO:0007611	275	39	1.571615668531968	24.815227272727274	7.50614802243555e-45	2.389957530343479e-41	107;114;348;793;814;894;1497;1813;2648;2890;3949;4204;4776;4909;5590;5621;5649;5923;6198;6446;6517;6616;6722;6869;9486;9867;10636;10919;22849;23237;50944;55450;55902;114781;139411;164312;266743;339977;440275
GO:0050890	cognition	http://amigo.geneontology.org/amigo/term/GO:0050890	319	39	1.823074175497083	21.392437304075237	3.175746327433415e-42	8.089261045238394e-39	107;114;348;793;814;894;1497;1813;2648;2890;3949;4204;4776;4909;5590;5621;5649;5923;6198;6446;6517;6616;6722;6869;9486;9867;10636;10919;22849;23237;50944;55450;55902;114781;139411;164312;266743;339977;440275
GO:0019370	leukotriene biosynthetic process	http://amigo.geneontology.org/amigo/term/GO:0019370	17	17	0.09715442314561257	174.97916666666669	1.655279721250402e-39	3.5136070883075196e-36	240;241;2678;2686;2687;4048;4056;4258;4259;5319;5321;5322;6850;10394;91227;92086;124975
GO:0006690	icosanoid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006690	119	27	0.680080962019288	39.70115546218487	1.3977940451385913e-36	2.5431864226978712e-33	240;241;1543;1544;1548;1555;1557;1558;1559;1564;1565;2678;2686;2687;2944;4048;4056;4258;4259;5319;5321;5322;6850;10394;91227;92086;124975
GO:0006805	xenobiotic metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006805	125	25	0.7143707584236219	34.99583333333334	2.396490426252098e-32	3.81521275859334e-29	30;1429;1543;1544;1548;1555;1557;1558;1559;1564;1565;1576;1577;2180;2329;2944;2946;2947;2948;4842;7172;8856;9446;54658;55270
GO:0006691	leukotriene metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006691	30	17	0.17144898202166925	99.1548611111111	1.870759386007157e-31	2.647332393354128e-28	240;241;2678;2686;2687;4048;4056;4258;4259;5319;5321;5322;6850;10394;91227;92086;124975
GO:0071466	cellular response to xenobiotic stimulus	http://amigo.geneontology.org/amigo/term/GO:0071466	193	27	1.1029884510060721	24.478950777202073	1.7649626281276622e-30	2.2478564031833905e-27	30;1429;1543;1544;1548;1555;1557;1558;1559;1564;1565;1576;1577;2180;2329;2944;2946;2947;2948;4842;5621;7172;8856;9446;10919;54658;55270
GO:0007610	behavior	http://amigo.geneontology.org/amigo/term/GO:0007610	652	39	3.7261578759376115	10.466545245398773	4.6281014424007736e-30	5.3584999973105684e-27	107;114;348;793;814;894;1497;1813;2648;2890;3949;4204;4776;4909;5590;5621;5649;5923;6198;6446;6517;6616;6722;6869;9486;9867;10636;10919;22849;23237;50944;55450;55902;114781;139411;164312;266743;339977;440275
GO:0046456	icosanoid biosynthetic process	http://amigo.geneontology.org/amigo/term/GO:0046456	54	19	0.3086081676390046	61.5667438271605	5.708340782506466e-30	6.058452350500195e-27	240;241;1558;1559;2678;2686;2687;4048;4056;4258;4259;5319;5321;5322;6850;10394;91227;92086;124975
GO:0019752	carboxylic acid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0019752	940	41	5.372068103345637	7.632070035460993	2.4095124177476764e-26	2.360580780956493e-23	30;240;241;1497;1543;1544;1548;1555;1557;1558;1559;1564;1565;1576;1577;2180;2329;2678;2686;2687;2944;2946;2948;4048;4056;4204;4258;4259;4842;5319;5321;5322;6850;9446;10394;51548;54658;55902;91227;92086;124975
GO:0009410	response to xenobiotic stimulus	http://amigo.geneontology.org/amigo/term/GO:0009410	429	31	2.45172044290987	12.644182206682208	4.5760160029344604e-26	4.162867129526663e-23	30;107;1429;1543;1544;1548;1555;1557;1558;1559;1564;1565;1576;1577;1813;2180;2329;2890;2944;2946;2947;2948;4842;5621;6198;7172;8856;9446;10919;54658;55270
GO:0043436	oxoacid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0043436	962	41	5.497797356828194	7.457532051282051	5.894754547591189e-26	5.005039594541426e-23	30;240;241;1497;1543;1544;1548;1555;1557;1558;1559;1564;1565;1576;1577;2180;2329;2678;2686;2687;2944;2946;2948;4048;4056;4204;4258;4259;4842;5319;5321;5322;6850;9446;10394;51548;54658;55902;91227;92086;124975
GO:0006082	organic acid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006082	968	41	5.532087153232528	7.411307679063361	7.494058935678962e-26	5.965270912800454e-23	30;240;241;1497;1543;1544;1548;1555;1557;1558;1559;1564;1565;1576;1577;2180;2329;2678;2686;2687;2944;2946;2948;4048;4056;4204;4258;4259;4842;5319;5321;5322;6850;9446;10394;51548;54658;55902;91227;92086;124975
GO:1990166	protein localization to site of double-strand break	http://amigo.geneontology.org/amigo/term/GO:1990166	11	11	0.06286462674127873	174.97916666666666	1.175321468615953e-25	8.80523189664281e-23	6117;7518;9656;10039;11073;25900;27336;51548;55719;83695;84250
GO:0046394	carboxylic acid biosynthetic process	http://amigo.geneontology.org/amigo/term/GO:0046394	318	27	1.817359209429694	14.856721698113208	1.656668685364981e-24	1.172185132044911e-21	240;241;1543;1544;1558;1559;1565;1576;2678;2686;2687;2944;2946;2948;4048;4056;4258;4259;5319;5321;5322;6850;10394;55902;91227;92086;124975
GO:0016053	organic acid biosynthetic process	http://amigo.geneontology.org/amigo/term/GO:0016053	321	27	1.834504107631861	14.717873831775702	2.1321807892260944e-24	1.4292344490307123e-21	240;241;1543;1544;1558;1559;1565;1576;2678;2686;2687;2944;2946;2948;4048;4056;4258;4259;5319;5321;5322;6850;10394;55902;91227;92086;124975
GO:0001676	long-chain fatty acid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0001676	109	19	0.6229313013453983	30.50095565749235	1.9514383191030942e-23	1.2426759216048503e-20	30;240;1543;1544;1548;1555;1557;1558;1559;1564;1565;1576;2180;2944;2946;2948;4056;4259;5321
GO:0050877	nervous system process	http://amigo.geneontology.org/amigo/term/GO:0050877	1446	43	8.263840933444458	5.203391539880129	3.709345215925736e-21	2.2496295557157225e-18	107;114;348;793;814;894;1429;1497;1813;2648;2890;2946;3949;4204;4683;4776;4909;5590;5621;5649;5923;6198;6446;6517;6616;6722;6869;9446;9486;9867;10636;10919;22849;23237;50944;55450;55902;114781;139411;164312;266743;339977;440275
GO:0006631	fatty acid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006631	388	26	2.217406834146922	11.725408075601376	5.788206148182882e-21	3.3508451592389626e-18	30;240;241;1543;1544;1548;1555;1557;1558;1559;1564;1565;1576;2180;2329;2678;2687;2944;2946;2948;4056;4259;5319;5321;5322;55902
GO:0044283	small molecule biosynthetic process	http://amigo.geneontology.org/amigo/term/GO:0044283	586	30	3.3489701154899394	8.957977815699659	7.308591096640613e-21	4.0470528785571675e-18	240;241;348;1543;1544;1558;1559;1565;1576;2648;2678;2686;2687;2944;2946;2948;4048;4056;4258;4259;5319;5321;5322;6850;10394;51548;55902;91227;92086;124975
GO:0044281	small molecule metabolic process	http://amigo.geneontology.org/amigo/term/GO:0044281	1834	47	10.48124776759138	4.484198927662668	1.0329224537985563e-20	5.481375154824339e-18	30;107;114;240;241;348;1497;1543;1544;1548;1555;1557;1558;1559;1564;1565;1576;1577;2180;2329;2648;2678;2686;2687;2944;2946;2948;3949;4048;4056;4204;4258;4259;4842;5319;5321;5322;6850;9446;10394;51548;54658;55270;55902;91227;92086;124975
GO:0048167	regulation of synaptic plasticity	http://amigo.geneontology.org/amigo/term/GO:0048167	197	20	1.125848315275628	17.764382402707277	9.05277735868615e-20	4.6118468976090724e-17	107;114;348;793;1813;2648;2890;4204;4776;5590;5621;5649;5923;6616;6722;10636;22849;23237;266743;440275
GO:0006629	lipid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006629	1367	40	7.812358614120729	5.120092660326749	2.934850815191708e-19	1.4376253839339075e-16	30;240;241;348;1543;1544;1548;1555;1557;1558;1559;1564;1565;1576;1577;2180;2329;2678;2686;2687;2944;2946;2948;3949;4048;4056;4204;4258;4259;5319;5321;5322;8856;9486;51548;54658;55902;91227;92086;124975
