ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0042745	circadian sleep/wake cycle	22/52	23/18805	0.956521739130435	345.911371237458	87.1549240655889	6.53695683201803e-58	1.41851963254791e-54	7.60351294671571e-55	CHRNB2/BTBD9/ADORA1/ADORA2A/CRH/PARP1/CSF2/ADRB1/DRD2/NLGN1/BLOC1S6/GHRH/HCRTR2/KCNA2/MTNR1B/GHRL/PTGDS/NPS/TH/FXR1/PER3/NR1D1	22
GO:0042749	regulation of circadian sleep/wake cycle	19/52	19/18805	1	361.634615384615	82.8168042258463	5.76394416168503e-51	6.25387941542825e-48	3.35218857824313e-48	CHRNB2/ADORA1/ADORA2A/CRH/PARP1/CSF2/ADRB1/DRD2/NLGN1/GHRH/HCRTR2/KCNA2/MTNR1B/GHRL/PTGDS/NPS/FXR1/PER3/NR1D1	19
GO:0022410	circadian sleep/wake cycle process	19/52	20/18805	0.95	343.552884615385	80.7102037056991	1.15086506304635e-49	8.32459062270194e-47	4.46212594619726e-47	CHRNB2/BTBD9/ADORA1/ADORA2A/CRH/PARP1/CSF2/ADRB1/DRD2/NLGN1/GHRH/HCRTR2/KCNA2/MTNR1B/GHRL/PTGDS/NPS/FXR1/PER3	19
GO:0048512	circadian behavior	22/52	46/18805	0.478260869565217	172.955685618729	61.4868197020476	2.16503241728173e-46	1.17453008637534e-43	6.29568637130608e-44	CHRNB2/BTBD9/ADORA1/ADORA2A/CRH/PARP1/CSF2/ADRB1/DRD2/NLGN1/BLOC1S6/GHRH/HCRTR2/KCNA2/MTNR1B/GHRL/PTGDS/NPS/TH/FXR1/PER3/NR1D1	22
GO:0007622	rhythmic behavior	22/52	48/18805	0.458333333333333	165.749198717949	60.1802041628887	7.49135841290974e-46	3.25124955120283e-43	1.74272653605585e-43	CHRNB2/BTBD9/ADORA1/ADORA2A/CRH/PARP1/CSF2/ADRB1/DRD2/NLGN1/BLOC1S6/GHRH/HCRTR2/KCNA2/MTNR1B/GHRL/PTGDS/NPS/TH/FXR1/PER3/NR1D1	22
GO:0048385	regulation of retinoic acid receptor signaling pathway	16/52	16/18805	1	361.634615384615	75.991844217814	8.92302184211615e-43	3.22715956623201e-40	1.72981388342778e-40	KLF2/TRIM16/CTBP2/CYP26A1/ASXL1/EZH2/SNW1/CNOT1/PRAME/CYP26C1/CYP26B1/NR2C1/CALR/AKR1C3/DHRS3/ZNF536	16
GO:0050802	circadian sleep/wake cycle, sleep	16/52	17/18805	0.941176470588235	340.361990950226	73.7121027474008	1.51417825061194e-41	4.69395257689703e-39	2.51604055176872e-39	CHRNB2/BTBD9/ADORA1/ADORA2A/CRH/PARP1/CSF2/ADRB1/DRD2/GHRH/KCNA2/MTNR1B/GHRL/PTGDS/FXR1/PER3	16
GO:0045187	regulation of circadian sleep/wake cycle, sleep	15/52	15/18805	1	361.634615384615	73.5768288256687	4.53144811928006e-40	1.22915530235472e-37	6.58848706816377e-38	CHRNB2/ADORA1/ADORA2A/CRH/PARP1/CSF2/ADRB1/DRD2/GHRH/KCNA2/MTNR1B/GHRL/PTGDS/FXR1/PER3	15
GO:0035542	regulation of SNARE complex assembly	14/52	14/18805	1	361.634615384615	71.0800783449779	2.240801094984e-37	5.40282041790587e-35	2.89600609351734e-35	PRRT2/SEPTIN8/VPS39/VPS8/VPS41/STXBP6/VPS11/VPS18/VPS16/VPS33A/SNCA/STXBP1/ANKRD27/TGFBRAP1	14
GO:0030431	sleep	16/52	24/18805	0.666666666666667	241.089743589744	61.9742512626044	6.46852935038044e-37	1.40367086903256e-34	7.52392098123199e-35	CHRNB2/BTBD9/ADORA1/ADORA2A/CRH/PARP1/CSF2/ADRB1/DRD2/GHRH/KCNA2/MTNR1B/GHRL/PTGDS/FXR1/PER3	16
