Term	Ont	N	DE	P.DE	adj_pval	GOID
immune system process	BP	2676	52	4.99124565643525e-12	2.46552041538946e-10	GO:0002376
regulation of immune system process	BP	1639	31	3.78179609193834e-07	9.85390097499441e-06	GO:0002682
immune response-regulating signaling pathway	BP	574	6	0.21139256177319	0.78871269321439	GO:0002764
immune response	BP	1877	23	0.00591423022559558	0.0521810776102251	GO:0006955
cell communication	BP	6627	140	1.04493310552384e-45	6.84677050731183e-43	GO:0007154
signal transduction	BP	6102	134	1.25978510576785e-44	7.38565594376213e-42	GO:0007165
biological_process	BP	18158	197	6.06879405107513e-39	2.70401187739703e-36	GO:0008150
cellular process	BP	17684	197	3.21807251941011e-41	1.55852651276997e-38	GO:0009987
signaling	BP	6602	139	5.30474934730741e-45	3.3765487416947e-42	GO:0023052
regulation of response to stimulus	BP	4187	96	1.31050599799389e-29	2.67848189204659e-27	GO:0048583
regulation of immune response	BP	999	9	0.26108477798487	0.943768730155271	GO:0050776
regulation of biological process	BP	12193	178	1.18303543466348e-44	7.12315227390079e-42	GO:0050789
regulation of cellular process	BP	11808	178	5.84659231164986e-47	4.20162527480437e-44	GO:0050794
response to stimulus	BP	8941	175	1.59300102000916e-63	2.21805479523526e-60	GO:0050896
cellular response to stimulus	BP	7487	169	9.37543621797491e-69	1.89878152785495e-65	GO:0051716
biological regulation	BP	12588	182	7.50621724989837e-47	5.06737902706775e-44	GO:0065007
immune effector process	BP	673	11	0.00774077996420943	0.0615230453238165	GO:0002252
activation of immune response	BP	581	6	0.219090800788838	0.813348585231418	GO:0002253
inflammatory response to antigenic stimulus	BP	77	2	0.100434565040031	0.431862814121176	GO:0002437
acute inflammatory response	BP	108	6	0.000111333661680465	0.00170466757038997	GO:0002526
negative regulation of immune system process	BP	564	12	0.000627082442991862	0.00760901016610714	GO:0002683
positive regulation of immune system process	BP	1123	19	0.000335915032463965	0.004404658677594	GO:0002684
regulation of immune effector process	BP	414	7	0.0262880354873448	0.162543673213174	GO:0002697
negative regulation of immune effector process	BP	134	4	0.0144545369852676	0.100693613182549	GO:0002698
regulation of response to biotic stimulus	BP	576	4	0.570327323682576	1	GO:0002831
regulation of humoral immune response	BP	47	2	0.0423974398697498	0.228037220043043	GO:0002920
developmental process involved in reproduction	BP	1041	20	4.2301045847763e-05	0.000721027313998825	GO:0003006
response to stress	BP	4076	83	2.23192243719723e-21	2.49863156059698e-19	GO:0006950
defense response	BP	1936	25	0.00208257441581567	0.0214676728741561	GO:0006952
acute-phase response	BP	48	3	0.0045516395370908	0.04171181637487	GO:0006953
inflammatory response	BP	921	17	0.0002589331241067	0.00353679468966835	GO:0006954
humoral immune response	BP	298	3	0.3430616817769	1	GO:0006959
multicellular organism development	BP	4845	138	6.68287444528914e-61	8.27117093845287e-58	GO:0007275
sex differentiation	BP	296	11	7.89721963840112e-06	0.000157506051122919	GO:0007548
response to nutrient	BP	169	13	2.1249215610765e-10	9.12119509396189e-09	GO:0007584
gonad development	BP	240	8	0.000291626211925036	0.00387640140170999	GO:0008406
female gonad development	BP	106	3	0.0379364873467095	0.212135809515561	GO:0008585
response to external stimulus	BP	2474	54	1.56001761112063e-14	1.00155828070736e-12	GO:0009605
response to biotic stimulus	BP	1668	20	0.0125613738682098	0.0936553838808497	GO:0009607
response to endogenous stimulus	BP	1607	66	2.43838317452876e-33	6.62467077587217e-31	GO:0009719
response to hormone	BP	961	45	1.28859606967543e-24	1.87629694380583e-22	GO:0009725
embryo development	BP	1130	65	1.37010361244042e-41	6.78292628398837e-39	GO:0009790
reproductive process	BP	1610	28	7.31132126353069e-06	0.000146740193791835	GO:0022414
cell differentiation	BP	4520	138	8.92724486242498e-65	1.50401894182449e-61	GO:0030154
regulation of defense response	BP	886	10	0.0913925998237934	0.40445854963736	GO:0031347
negative regulation of defense response	BP	308	4	0.167855937940498	0.655936605058482	GO:0031348
response to nutrient levels	BP	522	22	1.78806621082991e-11	8.35105640353642e-10	GO:0031667
response to corticosteroid	BP	157	6	0.000829962127303599	0.00965529831439665	GO:0031960
regulation of response to external stimulus	BP	1165	19	0.000525936453122981	0.00653839972247421	GO:0032101
negative regulation of response to external stimulus	BP	448	10	0.00123766900080562	0.0137588772454828	GO:0032102
multicellular organismal process	BP	7543	153	1.20600510539162e-50	9.59549347782658e-48	GO:0032501
developmental process	BP	6693	150	8.45302201600738e-55	8.18767062924401e-52	GO:0032502
response to lipid	BP	948	43	5.66472883814662e-23	7.21136166035602e-21	GO:0033993
response to prostaglandin	BP	37	3	0.00216239012905745	0.0221284920969876	GO:0034694
response to chemical	BP	4019	120	4.33048559578636e-52	3.71055992703571e-49	GO:0042221
response to external biotic stimulus	BP	1627	19	0.0190135033197495	0.127546771140433	GO:0043207
biological process involved in interspecies interaction between organisms	BP	1790	25	0.00070266930665107	0.00836598295581054	GO:0044419
innate immune response	BP	1024	8	0.419694924498944	1	GO:0045087
regulation of innate immune response	BP	482	3	0.654104768623044	1	GO:0045088
development of primary sexual characteristics	BP	245	8	0.000334782560074005	0.00439239450726071	GO:0045137
development of primary female sexual characteristics	BP	110	3	0.0416047319592667	0.224532514192961	GO:0046545
female sex differentiation	BP	125	3	0.0568715469776629	0.282367801107282	GO:0046660
rhythmic process	BP	302	3	0.350645034311331	1	GO:0048511
animal organ development	BP	3099	111	6.04634847026504e-55	6.41431196288402e-52	GO:0048513
positive regulation of biological process	BP	6372	139	6.66551712167702e-47	4.64044970114752e-44	GO:0048518
negative regulation of biological process	BP	5853	121	1.2200201390181e-35	4.60671333170258e-33	GO:0048519
response to steroid hormone	BP	338	16	2.21870994988687e-09	8.26562211765545e-08	GO:0048545
embryonic organ development	BP	457	33	7.04085132902269e-24	9.68247443876342e-22	GO:0048568
positive regulation of response to stimulus	BP	2386	66	1.79468557744693e-23	2.37988126752159e-21	GO:0048584
negative regulation of response to stimulus	BP	1829	54	3.27957477726703e-20	3.31097424264663e-18	GO:0048585
reproductive structure development	BP	314	12	2.27732451305544e-06	5.09891814088935e-05	GO:0048608
multicellular organismal reproductive process	BP	1004	16	0.00183486762557045	0.0192907885618021	GO:0048609
system development	BP	4175	132	1.43238651758503e-62	1.87710040227996e-59	GO:0048731
anatomical structure development	BP	6107	146	4.21000708257833e-56	4.689526889284e-53	GO:0048856
stem cell differentiation	BP	256	89	8.99659426478653e-133	5.01065317577286e-129	GO:0048863
cellular developmental process	BP	4522	138	9.45159582796612e-65	1.50401894182449e-61	GO:0048869
negative regulation of immune response	BP	214	3	0.187255778544034	0.7175239481259	GO:0050777
positive regulation of immune response	BP	783	8	0.180451593129413	0.695880317074098	GO:0050778
response to glucocorticoid	BP	136	4	0.015185180799451	0.10499548660775	GO:0051384
response to other organism	BP	1624	19	0.018690846847574	0.125609256733108	GO:0051707
reproductive system development	BP	318	12	2.5947216284187e-06	5.7574908802701e-05	GO:0061458
regulation of response to stress	BP	1477	30	1.32277812857804e-07	3.75399377687408e-06	GO:0080134
response to alcohol	BP	276	8	0.000733474810367417	0.00862742968604294	GO:0097305
defense response to other organism	BP	1302	12	0.197065283609572	0.746636120451367	GO:0098542
defense response to symbiont	BP	1127	8	0.526953516200849	1	GO:0140546
