GO.ID	Term	Annotated	Significant	Expected	topgoFisher	FDR	Symbol
GO:0019370	leukotriene biosynthetic process	19	19	0.1	3.8e-24	5.8558e-20	PRG3, GGT6, ALOX5, ALOX5AP, GGT1, GGTA1, GGT7, GGT5, LTA4H, LTC4S, MGST2, MGST3, PLA2G1B, PLA2G4A, PLA2G5, SYK, GGTLC3, GGTLC2, GGTLC1
GO:1901750	leukotriene D4 biosynthetic process	8	8	0.04	4.6e-19	3.5443e-15	GGT6, GGT1, GGTA1, GGT7, GGT5, GGTLC3, GGTLC2, GGTLC1
GO:0042759	long-chain fatty acid biosynthetic process	27	11	0.14	1.5e-14	7.705e-11	CYP1A1, CYP1A2, CYP2C8, CYP2C9, CYP2D6, CYP3A4, ALOX5, GSTM1, GSTM2, GSTM4, LTC4S
GO:0008210	estrogen metabolic process	40	9	0.21	5.3e-13	2.041825e-09	CYP1A1, CYP1A2, CYP2C8, CYP2C9, CYP2D6, CYP3A4, CYP3A5, UGT1A1, CHST10
GO:0006751	glutathione catabolic process	9	6	0.05	1.6e-12	4.9312e-09	GGT1, GGT7, GGT5, GGTLC3, GGTLC2, GGTLC1
GO:0019373	epoxygenase P450 pathway	18	7	0.1	2.8e-12	7.19133333333333e-09	CYP1A1, CYP1A2, CYP2A6, CYP2B6, CYP2C19, CYP2C8, CYP2C9
GO:0070989	oxidative demethylation	10	6	0.05	3.9e-12	8.58557142857143e-09	CYP1A2, CYP2C8, CYP2C9, CYP2D6, CYP3A4, CYP3A5
GO:0016098	monoterpenoid metabolic process	6	5	0.03	2.2e-11	4.23775e-08	CYP1A2, CYP2C19, CYP2C9, CYP2D6, CYP3A4
GO:0018916	nitrobenzene metabolic process	4	4	0.02	7.4e-10	1.26704444444444e-06	GSTM1, GSTM2, GSTM3, GSTM4
GO:0097267	omega-hydroxylase P450 pathway	11	5	0.06	1.7e-09	2.6197e-06	CYP1A1, CYP1A2, CYP2C19, CYP2C8, CYP2C9
GO:0006750	glutathione biosynthetic process	15	5	0.08	1.1e-08	1.541e-05	GGT6, GGT1, GGT7, GGT5, MGST2
GO:0006749	glutathione metabolic process	54	14	0.29	1.6e-08	2.05466666666667e-05	GGT6, CTNS, GGT1, GGT7, GGT5, GSTM1, GSTM2, GSTM3, GSTM4, MGST2, GGTLC3, GGTLC2, GGTLC1, GSTO1
GO:0002933	lipid hydroxylation	7	4	0.04	2.5e-08	2.96346153846154e-05	CYP1A1, CYP2C8, CYP3A4, CYP3A5
GO:1900273	positive regulation of long-term synaptic potentiation	22	5	0.12	9.2e-08	0.000101265714285714	ADCY1, ADCY8, DRD2, EIF2AK4, RELN
GO:0009822	alkaloid catabolic process	3	3	0.02	1.4e-07	0.000143826666666667	CYP2D6, CYP3A4, CYP3A5
GO:0007614	short-term memory	11	4	0.06	2.4e-07	0.000226617647058824	PTCHD1, NPAS4, SLC2A4, CALB1
GO:0060291	long-term synaptic potentiation	102	15	0.54	2.5e-07	0.000226617647058824	RGS14, ADCY1, ADCY8, DRD2, ARC, GRIA1, APOE, MECP2, EIF2AK4, NFATC4, PRKCZ, PRNP, RELN, SNAP25, CALB1
GO:0042572	retinol metabolic process	52	6	0.28	3.1e-07	0.000265394444444444	CYP1A1, CYP1A2, CYP2C8, CYP2D6, CYP3A4, CYP3A5
GO:0008306	associative learning	90	11	0.48	5.8e-07	0.000470410526315789	RGS14, CTNS, LRRN4, DRD2, GRIA1, MECP2, SHANK1, RELN, SNAP25, SRF, TACR1
GO:0098869	cellular oxidant detoxification	98	7	0.52	8.7e-07	0.000670335	ALOX5AP, GSTM2, APOE, LTC4S, MGST2, MGST3, GSTO1
GO:0070458	cellular detoxification of nitrogen compound	5	3	0.03	1.4e-06	0.00102733333333333	GSTM1, GSTM2, GSTM3
GO:0008202	steroid metabolic process	334	17	1.77	3.0e-06	0.00210136363636364	CYP1A1, CYP1A2, CYP2A6, CYP2B6, CYP2C19, CYP2C8, CYP2C9, CYP2D6, CYP3A4, CYP3A5, ACAA1, APOE, LDLR, MECP2, UGT1A1, NR1I2, CHST10
GO:0006325	chromatin organization	1069	18	5.66	4.5e-06	0.003015	EHMT2, TOPBP1, KAT2A, HTATSF1, H2AX, MECP2, EIF2AK4, NBN, SIRT6, SLF2, RAD17, RPA1, RPS6KB1, SGK1, TP53BP1, RHNO1, SLF1, MDC1
GO:0046222	aflatoxin metabolic process	7	3	0.04	4.9e-06	0.00302036	CYP1A2, CYP3A4, CYP3A5
GO:0060999	positive regulation of dendritic spine development	42	5	0.22	4.8e-06	0.00302036	CPEB3, APOE, MECP2, SHANK1, RELN
GO:0042573	retinoic acid metabolic process	33	5	0.17	6.9e-06	0.00408957692307692	CYP1A1, CYP2C8, CYP3A4, CYP3A5, UGT1A1
GO:0008542	visual learning	51	5	0.27	7.2e-06	0.00410933333333333	RGS14, CTNS, LRRN4, DRD2, MECP2
GO:0097681	double-strand break repair via alternative nonhomologous end joining	9	3	0.05	1.2e-05	0.00660428571428571	TOPBP1, NBN, RHNO1
GO:0000724	double-strand break repair via homologous recombination	188	9	0.99	1.8e-05	0.009246	TOPBP1, HTATSF1, H2AX, NBN, SIRT6, SLF2, RPA1, TP53BP1, SLF1
GO:0045471	response to ethanol	129	8	0.68	1.8e-05	0.009246	EHMT2, DRD2, ARC, GRIA1, UGT1A1, RPS6KB1, SLC2A4, TACR1
GO:0019369	arachidonate metabolic process	57	11	0.3	2.9e-05	0.0135970588235294	CYP1A1, CYP1A2, CYP2A6, CYP2B6, CYP2C19, CYP2C8, CYP2C9, CYP2D6, ALOX5, MGST3, PLA2G4A
GO:0043278	response to morphine	15	4	0.08	3.0e-05	0.0135970588235294	ADCY8, DRD2, ARC, GRIA1
GO:2000463	positive regulation of excitatory postsynaptic potential	34	4	0.18	3.0e-05	0.0135970588235294	GRIA1, SHANK1, PRKCZ, RELN
GO:2000969	positive regulation of AMPA receptor activity	2	2	0.01	2.8e-05	0.0135970588235294	ARC, RELN
GO:0032793	positive regulation of CREB transcription factor activity	13	3	0.07	4.0e-05	0.0176114285714286	ADCY1, ADCY8, RELN
GO:0000077	DNA damage checkpoint signaling	131	8	0.69	7.3e-05	0.0312480555555556	TOPBP1, H2AX, EIF2AK4, NBN, RAD17, TP53BP1, RHNO1, MDC1
GO:0002540	leukotriene production involved in inflammatory response	3	2	0.02	8.3e-05	0.0345683783783784	ALOX5, ALOX5AP
GO:0008344	adult locomotory behavior	84	6	0.44	0.00013	0.0527184210526316	BTBD9, CTNS, DRD2, MECP2, NTF4, CCND2
GO:0061771	response to caloric restriction	4	2	0.02	0.00017	0.0671717948717949	APOE, LDLR
GO:0035176	social behavior	55	4	0.29	0.00020	0.07705	PTCHD1, NPAS4, MECP2, SHANK1
GO:0050482	arachidonate secretion	30	4	0.16	0.00023	0.0864463414634146	DRD2, PLA2G1B, PLA2G4A, SYK
GO:0007612	learning	159	15	0.84	0.00025	0.0917261904761905	RGS14, CTNS, LRRN4, DRD2, ARC, NPAS4, GRIA1, MECP2, EIF2AK4, SHANK1, RELN, SNAP25, SRF, TACR1, CHST10
GO:0097114	NMDA glutamate receptor clustering	5	2	0.03	0.00027	0.0945613636363636	APOE, RELN
GO:1902951	negative regulation of dendritic spine maintenance	5	2	0.03	0.00027	0.0945613636363636	APOE, PRNP
GO:0008203	cholesterol metabolic process	148	6	0.78	0.00032	0.109582222222222	CYP1A2, CYP2C9, CYP2D6, CYP3A4, APOE, LDLR
GO:0009804	coumarin metabolic process	7	3	0.04	0.00040	0.134	CYP1A1, CYP2A6, CYP2D6
GO:0034184	positive regulation of maintenance of mitotic sister chromatid cohesion	6	2	0.03	0.00041	0.134427659574468	SLF2, SLF1
GO:0060992	response to fungicide	7	2	0.04	0.00057	0.18299375	EHMT2, GRIA1
GO:0046456	icosanoid biosynthetic process	58	21	0.31	0.00063	0.198128571428571	PRG3, GGT6, CYP2C8, CYP2C9, ALOX5, ALOX5AP, GGT1, GGTA1, GGT7, GGT5, LTA4H, LTC4S, MGST2, MGST3, PLA2G1B, PLA2G4A, PLA2G5, SYK, GGTLC3, GGTLC2, GGTLC1
GO:0048167	regulation of synaptic plasticity	212	20	1.12	0.00067	0.206494	RGS14, ADCY1, ADCY8, DRD2, CPEB3, ARC, KAT2A, NPAS4, GRIA1, APOE, MECP2, EIF2AK4, NFATC4, PRKCZ, PRNP, RELN, RASGRF1, SNAP25, SRF, CALB1
GO:0042220	response to cocaine	58	5	0.31	0.00072	0.217552941176471	EHMT2, DRD2, ARC, GRIA1, MECP2
GO:0051122	hepoxilin biosynthetic process	8	2	0.04	0.00076	0.22097358490566	GSTM1, GSTM2
GO:0060316	positive regulation of ryanodine-sensitive calcium-release channel activity	8	2	0.04	0.00076	0.22097358490566	GSTM2, GSTO1
GO:2000781	positive regulation of double-strand break repair	94	5	0.5	0.00079	0.225442592592593	PARP3, NBN, SIRT6, SLF2, SLF1
GO:0048168	regulation of neuronal synaptic plasticity	60	4	0.32	0.00081	0.226947272727273	DRD2, ARC, APOE, RASGRF1
GO:0032355	response to estradiol	120	5	0.63	0.00091	0.2504125	DRD2, GRIA1, MECP2, UGT1A1, TACR1
GO:0050665	hydrogen peroxide biosynthetic process	16	3	0.08	0.00095	0.253350847457627	CTNS, CYP1A1, CYP1A2
GO:0060315	negative regulation of ryanodine-sensitive calcium-release channel activity	9	2	0.05	0.00097	0.253350847457627	GSTM2, GSTO1
GO:0097680	double-strand break repair via classical nonhomologous end joining	9	2	0.05	0.00097	0.253350847457627	TOPBP1, TP53BP1
GO:0006631	fatty acid metabolic process	403	26	2.13	0.00101	0.259401666666667	CYP1A1, CYP1A2, CYP2A6, CYP2B6, CYP2C19, CYP2C8, CYP2C9, CYP2D6, CYP3A4, ACSL1, FMO4, ALOX5, ALOX5AP, GGT1, GGT5, GSTM1, GSTM2, GSTM4, ACAA1, LTC4S, MGST3, PLA2G1B, PLA2G4A, PLA2G5, UGT1A1, ACSS2
GO:0001976	nervous system process involved in regulation of systemic arterial blood pressure	13	3	0.07	0.00119	0.295969841269841	DRD2, MECP2, TACR1
GO:0006171	cAMP biosynthetic process	10	2	0.05	0.00121	0.295969841269841	ADCY1, ADCY8
GO:0099566	regulation of postsynaptic cytosolic calcium ion concentration	10	2	0.05	0.00121	0.295969841269841	GRIA1, CALB1
GO:0007626	locomotory behavior	213	12	1.13	0.00141	0.335394117647059	ADCY8, BTBD9, CTNS, DRD2, GRIA1, APOE, MECP2, NTF4, RELN, SNAP25, CALB1, CCND2
GO:0019372	lipoxygenase pathway	11	2	0.06	0.00148	0.335394117647059	ALOX5, ALOX5AP
GO:0031915	positive regulation of synaptic plasticity	11	2	0.06	0.00148	0.335394117647059	ADCY8, MECP2
GO:0033314	mitotic DNA replication checkpoint signaling	11	2	0.06	0.00148	0.335394117647059	TOPBP1, RAD17
GO:0071481	cellular response to X-ray	11	2	0.06	0.00148	0.335394117647059	TP53BP1, CCND2
GO:1900271	regulation of long-term synaptic potentiation	47	9	0.25	0.00153	0.3417	ADCY1, ADCY8, DRD2, ARC, APOE, EIF2AK4, PRNP, RELN, CALB1
GO:0150076	neuroinflammatory response	86	3	0.46	0.00174	0.383048571428571	ADCY1, ADCY8, LDLR
GO:0051090	regulation of DNA-binding transcription factor activity	362	11	1.92	0.00178	0.386335211267606	ADCY1, ADCY8, EIF2AK4, PLA2G1B, PRKCZ, PRNP, RELN, SGK1, SRF, SYK, TP53BP1
GO:0034638	phosphatidylcholine catabolic process	16	3	0.08	0.00204	0.436616666666667	LDLR, PLA2G4A, PLA2G5
GO:0021794	thalamus development	13	2	0.07	0.00208	0.439079452054794	PTCHD1, MECP2
GO:0046685	response to arsenic-containing substance	31	3	0.16	0.00237	0.472053164556962	CYP1A1, GRIA1, GSTO1
GO:0061000	negative regulation of dendritic spine development	14	2	0.07	0.00242	0.472053164556962	APOE, MECP2
GO:0071285	cellular response to lithium ion	14	2	0.07	0.00242	0.472053164556962	NFATC4, XRCC4
GO:1900272	negative regulation of long-term synaptic potentiation	14	2	0.07	0.00242	0.472053164556962	APOE, PRNP
GO:1904322	cellular response to forskolin	14	2	0.07	0.00242	0.472053164556962	ADCY1, ADCY8
GO:1905907	negative regulation of amyloid fibril formation	14	2	0.07	0.00242	0.472053164556962	APOE, LDLR
GO:0032204	regulation of telomere maintenance	112	5	0.59	0.00264	0.50853	PARP3, NBN, SIRT6, SLF2, SLF1
GO:0044027	negative regulation of gene expression via chromosomal CpG island methylation	15	2	0.08	0.00278	0.516142168674699	EHMT2, MECP2
GO:0071361	cellular response to ethanol	15	2	0.08	0.00278	0.516142168674699	DRD2, UGT1A1
GO:0140588	chromatin looping	15	2	0.08	0.00278	0.516142168674699	SLF2, SLF1
GO:1904263	positive regulation of TORC1 signaling	54	3	0.29	0.00293	0.537515476190476	CTNS, RPS6KB1, SYK
GO:0034374	low-density lipoprotein particle remodeling	16	2	0.08	0.00317	0.56801976744186	APOE, PLA2G5
GO:0048148	behavioral response to cocaine	16	2	0.08	0.00317	0.56801976744186	EHMT2, DRD2
GO:0060079	excitatory postsynaptic potential	109	7	0.58	0.00337	0.596916091954023	DRD2, NPAS4, GRIA1, MECP2, SHANK1, PRKCZ, RELN
GO:0006692	prostanoid metabolic process	50	3	0.26	0.00520	0.610692592592593	GSTM1, MGST3, PLA2G4A
GO:0006954	inflammatory response	918	17	4.86	0.00442	0.610692592592593	ADCY1, ADCY8, ALOX5, ALOX5AP, GGT1, GGT5, APOE, LDLR, MGST2, NFATC4, UGT1A1, CAMK2N1, PRKCZ, SYK, TACR1, CAMK4, PJA2
GO:0007416	synapse assembly	269	6	1.42	0.00448	0.610692592592593	DRD2, NPAS4, GRIA1, MECP2, RELN, SNAP25
GO:0007625	grooming behavior	19	2	0.1	0.00447	0.610692592592593	CTNS, DRD2
GO:0010996	response to auditory stimulus	33	3	0.17	0.00535	0.610692592592593	DRD2, TACR1, CALB1
GO:0031573	mitotic intra-S DNA damage checkpoint signaling	17	2	0.09	0.00358	0.610692592592593	RAD17, MDC1
