Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006096~glycolytic process	21	10.5	2.9036894540408986E-27	5230, 7167, 8870, 5211, 5224, 2023, 3099, 3098, 230, 2821, 2645, 3939, 2027, 2026, 26330, 226, 2597, 5313, 5236, 229, 5209	198	51	19416	40.37789661319073	5.676712882649957E-24	5.676712882649957E-24	5.456032484142849E-24
GOTERM_BP_DIRECT	GO:0006094~gluconeogenesis	15	7.5	1.9169441771330067E-17	5230, 7167, 5224, 2023, 230, 2821, 2027, 2203, 2026, 467, 2542, 10891, 5236, 229, 5105	198	47	19416	31.29593810444874	3.747625866295028E-14	1.873812933147514E-14	1.8009690544164598E-14
GOTERM_BP_DIRECT	GO:0061621~canonical glycolysis	11	5.5	2.913321542469494E-15	2645, 5230, 7167, 2027, 2026, 5211, 5224, 2023, 5214, 3099, 3098	198	21	19416	51.36507936507937	5.643263634169671E-12	1.8985145385092867E-12	1.8247103927667264E-12
GOTERM_BP_DIRECT	GO:0006006~glucose metabolic process	14	7.000000000000001	8.389863639165414E-14	5163, 8660, 3099, 3098, 680, 2548, 55276, 2645, 26330, 2597, 2542, 5236, 5105, 54206	198	65	19416	21.120745920745918	1.6408874259354889E-10	3.314069708151835E-11	3.1852363077326336E-11
GOTERM_BP_DIRECT	GO:0071456~cellular response to hypoxia	18	9.0	8.475881606526433E-14	5230, 6781, 10370, 7422, 2353, 6095, 30001, 596, 1027, 665, 26355, 205, 5105, 7428, 538, 8614, 10397, 2309	198	142	19416	12.43021766965429	1.6560808280274841E-10	3.314069708151835E-11	3.1852363077326336E-11
GOTERM_BP_DIRECT	GO:0030388~fructose 1,6-bisphosphate metabolic process	6	3.0	5.584021791864215E-9	2203, 5211, 226, 5214, 229, 230	198	8	19416	73.54545454545455	1.0916703062857636E-5	1.8194604338490898E-6	1.7487294911521434E-6
GOTERM_BP_DIRECT	GO:0001525~angiogenesis	16	8.0	8.594024291922249E-8	5054, 7045, 5155, 7422, 1490, 3162, 6095, 3516, 57007, 1942, 302, 1907, 5578, 857, 51129, 4627	198	264	19416	5.943067033976126	1.679990687079025E-4	2.400188212958285E-5	2.3068816635031296E-5
GOTERM_BP_DIRECT	GO:0006002~fructose 6-phosphate metabolic process	6	3.0	1.89967200778506E-7	2821, 2203, 5211, 5214, 3099, 3098	198	14	19416	42.02597402597403	3.713169575259023E-4	4.6423234690247406E-5	4.4618546282851595E-5
GOTERM_BP_DIRECT	GO:0001666~response to hypoxia	13	6.5	2.831861084779969E-7	7043, 10370, 7422, 7852, 3099, 54541, 133, 2355, 5313, 6513, 857, 5228, 51129	198	178	19416	7.161729656111679	5.534756962002341E-4	6.151431578605377E-5	5.9122966425572904E-5
GOTERM_BP_DIRECT	GO:0071276~cellular response to cadmium ion	7	3.5000000000000004	1.2843355056087123E-6	4493, 2353, 538, 4502, 3162, 1956, 3725	198	35	19416	19.612121212121213	0.0025077279095562233	2.4882467998149817E-4	2.391517000947494E-4
GOTERM_BP_DIRECT	GO:0006024~glycosaminoglycan biosynthetic process	6	3.0	1.4000365625557443E-6	2651, 3036, 9957, 2131, 126792, 3073	198	20	19416	29.418181818181818	0.0027333310256004717	2.4882467998149817E-4	2.391517000947494E-4
GOTERM_BP_DIRECT	GO:0006000~fructose metabolic process	5	2.5	2.0581623305922107E-6	2203, 226, 229, 5209, 230	198	10	19416	49.030303030303024	0.004015627216448325	3.3530894635898096E-4	3.2227391826523033E-4
GOTERM_BP_DIRECT	GO:1902895~positive regulation of miRNA transcription	8	4.0	3.052379579797598E-6	3569, 5155, 2113, 2353, 2908, 2309, 1956, 3725	198	62	19416	12.652981427174975	0.005949641551515228	4.590309291157157E-4	4.411862484953605E-4
GOTERM_BP_DIRECT	GO:0005975~carbohydrate metabolic process	11	5.5	4.223847680796189E-6	2548, 2821, 55276, 2203, 9469, 9435, 5236, 6515, 3073, 6518, 5260	198	155	19416	6.9591397849462355	0.008223639001967542	5.63726336203408E-4	5.418116551029173E-4
GOTERM_BP_DIRECT	GO:0043066~negative regulation of apoptotic process	19	9.5	4.325266006675764E-6	4282, 8870, 10370, 7422, 6478, 25824, 3491, 5292, 7052, 3569, 596, 1026, 665, 7428, 5329, 51316, 51129, 1956, 3309	198	506	19416	3.682117618876512	0.00842026265211937	5.63726336203408E-4	5.418116551029173E-4
GOTERM_BP_DIRECT	GO:0046835~carbohydrate phosphorylation	6	3.0	5.65322799489339E-6	2645, 55577, 2584, 3099, 3098, 5209	198	26	19416	22.62937062937063	0.010991241981020305	6.907537956260361E-4	6.639009626502925E-4
GOTERM_BP_DIRECT	GO:0045766~positive regulation of angiogenesis	11	5.5	6.983994182729876E-6	133, 694, 5054, 7422, 2113, 5578, 3099, 2152, 5228, 51129, 3162	198	164	19416	6.5772357723577235	0.01356096656515382	8.031593310139358E-4	7.71936768785261E-4
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription by RNA polymerase II	31	15.5	8.903857348350669E-6	7043, 10370, 7422, 2353, 23764, 6095, 23327, 3219, 1316, 3516, 1634, 10891, 2908, 5317, 2309, 8609, 1956, 23210, 23036, 3491, 3569, 467, 302, 2113, 2355, 5105, 55818, 1649, 51316, 3309, 3725	198	1246	19416	2.439710102631451	0.017256489991898327	9.670578397791977E-4	9.294637754194947E-4
GOTERM_BP_DIRECT	GO:0005977~glycogen metabolic process	6	3.0	1.9254150768711954E-5	2632, 2542, 7360, 5507, 5260, 5837	198	33	19416	17.829201101928376	0.03694256492360615	0.0019811507764648352	0.0019041341733899873
GOTERM_BP_DIRECT	GO:0035988~chondrocyte proliferation	5	2.5	2.8139386718345758E-5	6781, 2355, 2131, 54206, 1490	198	18	19416	27.23905723905724	0.053527416608192935	0.0027506250517182976	0.002643695382188584
GOTERM_BP_DIRECT	GO:0005978~glycogen biosynthetic process	5	2.5	4.3851109732161445E-5	2997, 55276, 2632, 7360, 5507	198	20	19416	24.515151515151512	0.08215871845966993	0.004082329501255982	0.003923630246987208
GOTERM_BP_DIRECT	GO:0070374~positive regulation of ERK1 and ERK2 cascade	11	5.5	4.800805635926817E-5	4282, 57007, 5155, 7422, 112464, 2651, 9590, 5578, 1490, 1956, 7162	198	205	19416	5.261788617886179	0.08958797131564267	0.004266170462834967	0.004100324449957495
GOTERM_BP_DIRECT	GO:0030199~collagen fibril organization	7	3.5000000000000004	6.0318134776531665E-5	30001, 5033, 1289, 302, 4015, 2131, 538	198	67	19416	10.245137946630484	0.11123774599288916	0.005127041456005192	0.00492772935848274
GOTERM_BP_DIRECT	GO:0042594~response to starvation	6	3.0	6.408813961542746E-5	133, 10891, 5105, 7538, 1649, 2309	198	42	19416	14.00865800865801	0.11776456721114326	0.005220513039506694	0.005017567264057841
