Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Glycosaminoglycan Biosynthetic Process (GO:0006024)	4/25	4.205009693617207E-7	3.368212764587383E-4	0	0	82.52173913043478	1211.5692417921941	EXT1;HEXA;B3GALT6;HS3ST1
Positive Regulation of Cellular Process (GO:0048522)	9/622	2.0584246806822607E-5	0.004101639635066536	0	0	6.92448175705248	74.72197526123892	TPD52;SLC6A6;CITED2;CAV1;BCL2;CCN2;VHL;TGM2;VEGFA
Negative Regulation of Apoptotic Process (GO:0043066)	8/475	2.133797917989967E-5	0.004101639635066536	0	0	7.946568777403895	85.46552212819539	PRDX5;CITED2;SIAH2;CAV1;BCL2;VHL;PPARGC1A;VEGFA
Aminoglycan Biosynthetic Process (GO:0006023)	3/24	2.867422295491E-5	0.004101639635066536	0	0	60.57446808510638	633.5793754459056	EXT1;HEXA;HS3ST1
Positive Regulation of Developmental Process (GO:0051094)	6/245	3.216854904741115E-5	0.004101639635066536	0	0	11.246291365538227	116.33750080613953	SLC6A6;VLDLR;CCN2;VHL;DCN;VEGFA
Cellular Response to Hypoxia (GO:0071456)	4/77	4.088424652163623E-5	0.004101639635066536	0	0	23.677188802858844	239.25244622831585	CITED2;AK4;VHL;VEGFA
Gluconeogenesis (GO:0006094)	3/27	4.122055222407173E-5	0.004101639635066536	0	0	52.994680851063826	535.0646948580581	PGAM2;SLC37A4;PPARGC1A
Cellular Response to Decreased Oxygen Levels (GO:0036294)	4/78	4.301512988997168E-5	0.004101639635066536	0	0	23.356051703877792	234.82077797050783	CITED2;AK4;VHL;VEGFA
Glycosaminoglycan Metabolic Process (GO:0030203)	3/28	4.6085838596253206E-5	0.004101639635066536	0	0	50.87234042553192	507.9605655722774	EXT1;HEXA;HS3ST1
Hexose Biosynthetic Process (GO:0019319)	3/30	5.691425903052129E-5	0.0045588321483447545	0	0	47.09929078014184	460.34680313226556	PGAM2;SLC37A4;PPARGC1A
Regulation of Positive Chemotaxis (GO:0050926)	2/7	1.2760097078443218E-4	0.008517364799860849	0	0	166.20833333333334	1490.3240703269437	F3;VEGFA
Heparan Sulfate Proteoglycan Biosynthetic Process, Chain Elongation (GO:0015014)	2/7	1.2760097078443218E-4	0.008517364799860849	0	0	166.20833333333334	1490.3240703269437	EXT1;NDST1
Regulation of Angiogenesis (GO:0045765)	5/211	1.7951030851933475E-4	0.011060596701845164	0	0	10.64940668824164	91.85409239696304	EFNA3;BTG1;F3;DCN;VEGFA
Positive Regulation of DNA-templated Transcription (GO:0045893)	11/1274	2.501586031335862E-4	0.014312645793571612	0	0	4.173153054388209	34.609691927682526	KLF6;ANXA2;NFIL3;CITED2;MAFF;FOS;VHL;PPARGC1A;DCN;JMJD6;VEGFA
Positive Regulation of Angiogenesis (GO:0045766)	4/126	2.7638550561094756E-4	0.014758985999624599	0	0	14.132573057733428	115.79826040976606	BTG1;F3;TGM2;VEGFA
Regulation of Mitochondrial Depolarization (GO:0051900)	2/11	3.32063883264561E-4	0.015646068852641963	0	0	92.31944444444444	739.4956618223716	BCL2;DCN
Polysaccharide Biosynthetic Process (GO:0000271)	2/11	3.32063883264561E-4	0.015646068852641963	0	0	92.31944444444444	739.4956618223716	EXT1;NDST1
Negative Regulation of Programmed Cell Death (GO:0043069)	6/382	3.6483860125810155E-4	0.01623531775598552	0	0	7.098887814313346	56.19518985900858	PRDX5;CITED2;SIAH2;BCL2;VHL;VEGFA
Glucose Metabolic Process (GO:0006006)	3/57	3.911590889551034E-4	0.016490443697528306	0	0	23.5177304964539	184.52943128485038	PGAM2;SLC37A4;PPARGC1A
Positive Regulation of RNA Biosynthetic Process (GO:1902680)	7/555	4.3302451002233226E-4	0.017342631626394406	0	0	5.763622474961807	44.63762050486133	KLF6;NFIL3;CITED2;FOS;VHL;PPARGC1A;JMJD6
Regulation of Protein Autophosphorylation (GO:0031952)	2/13	4.6942457388711873E-4	0.01790519446112296	0	0	75.52651515151516	578.8354329773197	ERRFI1;VEGFA
Canonical Glycolysis (GO:0061621)	2/15	6.299020654549659E-4	0.020324718763884857	0	0	63.90064102564103	470.9442866528224	PGAM2;PFKP
Glucose Catabolic Process to Pyruvate (GO:0061718)	2/15	6.299020654549659E-4	0.020324718763884857	0	0	63.90064102564103	470.9442866528224	PGAM2;PFKP
Positive Regulation of Transcription by RNA Polymerase II (GO:0045944)	9/983	6.554691899146049E-4	0.020324718763884857	0	0	4.276656483197275	31.348573114807824	KLF6;ANXA2;CITED2;MAFF;FOS;PPARGC1A;DCN;JMJD6;VEGFA
Glycolytic Process Through Glucose-6-Phosphate (GO:0061620)	2/16	7.187392304892979E-4	0.020324718763884857	0	0	59.333333333333336	429.45537567816734	PGAM2;PFKP
