GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	FDR	Symbol
GO:0000002	0.00813519142566742	5.60421582507472	0.80678594806895	4	30	mitochondrial genome maintenance	0.0423348981249438	POLG2, SLC25A4, RRM2B, TP53
GO:0000018	0.533263611052263	1.04922794226609	3.8187868208597	4	142	regulation of DNA recombination	0.603962642482502	ERCC2, RAD51, RPA2, TFRC
GO:0000041	0.13631830566299	1.89367742486339	2.7161793584988	5	101	transition metal ion transport	0.262317853269704	COX17, CP, FKBP4, ATP7A, TFRC
GO:0000070	0.766045061692753	0.763895651421214	5.19032293257691	4	193	mitotic sister chromatid segregation	0.794918514909511	ZWINT, DUSP1, HNRNPU, AAAS
GO:0000075	0.00345913620601428	2.51575657894737	5.45925158193323	13	203	cell cycle checkpoint signaling	0.0230667022380952	CDK2, CDKN1A, CDKN1B, ZWINT, DUSP1, H2AX, LYN, RAD51, RPA2, TP53, XPC, IER3, CDC5L
GO:0000077	0.000830097387401681	3.36979598893499	3.52296530656775	11	131	DNA damage checkpoint signaling	0.00740281742662655	CDK2, CDKN1A, CDKN1B, H2AX, LYN, RAD51, RPA2, TP53, XPC, IER3, CDC5L
GO:0000079	0.00218886518162689	3.75596087761036	2.31278638446432	8	86	regulation of cyclin-dependent protein serine/threonine kinase activity	0.0161010204879095	CDKN1A, CDKN1B, CDKN2B, EGFR, GTF2H1, PIM1, TNFAIP3, CCND3
GO:0000082	0.00160525486274609	2.459678546471	6.88457342352171	16	256	G1/S transition of mitotic cell cycle	0.0128633647515946	CDK2, CDKN1A, CDKN1B, CDKN2B, CCNO, CYP1A1, EGFR, BCL2, RPA2, BID, TAF10, TP53, CCND3, CCNE1, CCNG2, CDC34
GO:0000086	0.180090784583642	1.61569701117956	3.79189395592407	6	141	G2/M transition of mitotic cell cycle	0.304666587382067	CDK2, CDKN1A, HSPA2, RRM2B, ABCB1, IER3
GO:0000096	0.0625687588758232	3.51705069124424	0.914357407811477	3	34	sulfur amino acid metabolic process	0.165330033907243	CDO1, FMO1, TST
GO:0000098	0.00271507232953408	13.6461734693878	0.295821514291949	3	11	sulfur amino acid catabolic process	0.0190227084545497	CDO1, FMO1, TST
