"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
9.26250232046408e-29,99,1151,3.93608861859253,"GO:1901135 carbohydrate derivative metabolic process "," http://amigo.geneontology.org/amigo/term/GO:1901135"," RRM2B  PFKP  HYAL2  NDST1  ENO1  PGK1  GPI  HAS1  GAPDHS  GCK  ENO3  ALDOC  GAPDH  TPI1  ENO2  UMPS  CHST3  NT5C  DUT  DAD1  MGAT1  LARGE1  AMPD3  CMPK2  ALDOB  PFKL  PKLR  AK3  ALDOA  HK1  CDA  HK2  NPR2  AK4  RPN1  FBP1  HPRT1  NDST2  B4GALNT2  PGM2  UGP2  PFKFB3  CANT1  ADCY6  CHST2  B3GALT6  TYMS  IMPDH2  ADA  APRT  HEXA  HS3ST1  IDS  GPC1  SULT2B1  PDGFB  GMPR2  DGUOK  EXT1  SULT1A1  PNP  DCN  RORA  NME3  NME4  AK1  GALK1  PPARGC1A  GCNT2  NT5C3A  AMD1  NAGK  BMP2  ITPA  PPAT  COL2A1  MPC2  GUK1  PDK1  PGAM2  TK2  LDHC  DDIT4  NUDT9  BCL2  BGN  PDE4B  DGAT1  NME1  PDK3  TP53  PRKCD  AGO2  ATP7A  LDHA  PGM1  SLC25A1  TPST2  PPT1"
2.97895909955164e-27,98,1194,3.75601005025126,"GO:0009628 response to abiotic stimulus "," http://amigo.geneontology.org/amigo/term/GO:0009628"," ERCC1  POLD3  VEGFA  FAM162A  PGF  DDB2  POLR2D  DDIT4  POLH  RBX1  DDB1  ERCC8  RAD51  POLD1  HYAL2  PRKACA  ENO1  PGK1  TGFB3  PCNA  VHL  ERCC5  TMBIM6  TP53  RHOB  EGFR  XPC  PRKCD  CITED2  AQP3  RBPJ  ERCC4  ADA  FMO1  BAK1  HSPA5  POLB  TFRC  LXN  DNAJA1  HMOX1  NFKBIA  ERCC2  GPI  CAV1  CDKN1B  SOD2  STC2  IGFBP2  ERRFI1  SLC2A1  CCN2  FOXO3  CXCR4  NR4A1  PCK1  CDKN1A  FOSB  BMP2  AKAP12  BHLHE40  CYP1A1  ARRB2  PKLR  PLAC8  PAM  ADM  MMP14  STC1  BTG2  HK2  ERCC3  CASP3  ATP7A  TACR3  FOS  BCL2  JUN  POLR2A  EXT1  H2AX  ERO1A  LYN  GTF2H5  MAP3K1  NDRG1  IRF1  BNIP3L  PDK3  RORA  ABCB1  PDK1  AK4  HSPA2  ANGPTL4  FKBPL  DNAJB1  FEN1"
2.97895909955164e-27,73,660,5.06155454545455,"GO:0055086 nucleobase-containing small molecule metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0055086"," RRM2B  PFKP  ENO1  PGK1  GPI  GAPDHS  GCK  AK1  ENO3  ALDOC  GAPDH  TPI1  ENO2  UMPS  NT5C  ITPA  PPAT  DUT  AMPD3  CMPK2  ALDOB  PFKL  PKLR  AK3  ALDOA  HK1  CDA  HK2  NPR2  AK4  HPRT1  B4GALNT2  PGM2  UGP2  ADCY6  TYMS  IMPDH2  ADA  APRT  SULT2B1  GMPR2  DGUOK  GUK1  FBP1  SULT1A1  PNP  RORA  NME3  NME4  GALK1  PPARGC1A  NT5C3A  AMD1  MGAT1  MPC2  PDK1  PGAM2  TK2  LDHC  DDIT4  ADORA2B  NUDT9  CNP  PDE4B  DGAT1  NME1  PDK3  LDHA  PGM1  SLC25A1  TPST2  PPT1  GLRX"
3.38889266372173e-27,135,2160,2.860125,"GO:0033554 cellular response to stress "," http://amigo.geneontology.org/amigo/term/GO:0033554"," RAD52  MAPK8IP2  REV3L  ERCC1  RRAGD  BAK1  HSPA5  ERCC8  RFC2  RAD51  POLD1  POLB  POLD3  PPP1R15A  MPG  ERCC2  POLR2I  RPA3  PPIF  GTF2H1  GTF2H3  RFC5  FAM162A  RPA2  DUSP1  PRDX5  HSPA2  PARP2  PCNA  RFC3  DDB2  ERCC5  IER3  TMBIM6  POLR2D  CETN2  POLE3  XPC  HSPA13  ERCC3  ANKZF1  RFC4  POLL  DDB1  POLH  BCL2  DDIT3  POLD4  ERCC4  H2AX  LYN  GTF2H5  RRM2B  RBX1  TAF6  TAF12  SDCBP  CEBPG  MSX1  TAF10  FOS  JUNB  JUN  TAF9  ASNS  PRKACA  ENO1  DNAJA1  PGK1  LIG1  CHKA  VEGFA  STK25  CCN2  FOXO3  CDKN1A  BMP2  DNAJB1  VHL  IL6  TP53  RHOB  EGFR  PLIN2  BCL2L11  BTG2  ATF3  PRKCD  CITED2  AQP3  RBPJ  BCAP31  MIF  BID  TMED2  CDC5L  HMOX1  POLA1  SRPX  PPARGC1A  SOD2  STC2  ERRFI1  SLC2A1  TNFAIP3  CDK2  PCK1  ZFP36  SIGMAR1  ADM  SSRP1  STC1  CASP3  ATP7A  DDIT4  FEN1  GRINA  ERO1A  POLG2  NDRG1  CAV1  BNIP3L  SQSTM1  PDK3  RORA  BRF2  GCH1  ACKR3  CDKN2B  PDK1  HK2  AK4  RASGRP1  NFKBIA  CDKN1B"
3.38889266372173e-27,173,3300,2.39903818181818,"GO:0070887 cellular response to chemical stimulus "," http://amigo.geneontology.org/amigo/term/GO:0070887"," RRAGD  HSPA5  ACAA1  GPC1  CXCL2  PPIF  GCNT2  VEGFA  NR3C1  SMAD5  FAM162A  F3  PGF  TGFB3  CXCR4  NR4A1  PCK1  MT2A  BMP2  PRDX5  HSPA2  IL6ST  SDCBP  TMBIM6  NTRK3  PKLR  ACKR3  HSPA13  FGF18  MT1E  IRS2  IL6  SAP30  RAD52  DCN  RAD51  KCNH2  HYAL2  RORA  PRKACA  TFRC  ENO1  DNAJA1  ICAM1  PDGFB  NFKBIA  PGK1  CA2  HAS1  GSDME  CAV1  CDKN1B  GAPDH  KDM3A  TNFAIP3  IRF1  EDN2  ZFP36  VHL  CYP1A1  ARRB2  TP53  GUK1  RHOB  EGFR  HNRNPU  TIPARP  PRKCD  CASP3  CITED2  FBP1  AQP3  RBPJ  FOS  HOXB9  ADCY6  JUN  SULT1A1  TGM2  MIF  FKBP4  FMO1  PFKP  NDST1  SCARB1  TMED2  HMOX1  RAE1  RNMT  PPARGC1A  SOD2  CCND3  LOX  STC2  UMPS  IGFBP2  ERRFI1  SLC2A1  CCN2  FOXO3  FOSB  AKAP12  DLG4  PCNA  CMPK2  SLC37A4  COL2A1  SLC2A5  MPC2  TPBG  IGFBP1  GPC3  CDKN2B  SIGMAR1  HTR7  BCL2L11  STC1  HK2  ATF3  MSX1  NFIL3  ATP7A  GPX4  DDIT4  STIP1  ONECUT1  JUNB  BCL2  GLRX  DDIT3  IMPDH2  SELENOW  POLR2A  EXT1  PDE4B  ERO1A  APRT  RXRB  APOM  GPX3  LYN  NDRG1  NPR2  BNIP3L  STK25  CCN1  BAK1  PDK3  CDC34  BRF2  SERPINE1  KLF7  DUSP1  CDKN1C  GCH1  PIM1  CASP6  PDK1  PRKCA  AK4  ANKZF1  RET  BSG  HCLS1  CYB5B  GCK  GTF2H1  PPP1R15A  CDK2  TGFBRAP1  FURIN  EPHX1  NAT1"
6.47488189823122e-27,217,4821,2.05981207218419,"GO:0042221 response to chemical "," http://amigo.geneontology.org/amigo/term/GO:0042221"," RRAGD  HSPA5  ACAA1  GPC1  CXCL2  PPIF  GCNT2  VEGFA  NR3C1  SMAD5  FAM162A  SLC2A1  F3  PGF  TGFB3  CXCR4  NR4A1  PCK1  MT2A  BMP2  PRDX5  HSPA2  IL6ST  SDCBP  TMBIM6  NTRK3  EFNA3  PKLR  ACKR3  HSPA13  KIF5A  FGF18  ANKZF1  EFNA1  CHRNA5  MT1E  BSG  SELENOW  IRS2  RXRB  IL6  SAP30  RAD52  DCN  ALAS1  RAD51  KCNH2  HYAL2  RORA  PRKACA  TFRC  SCARB1  ENO1  ABCB1  DNAJA1  ICAM1  HMOX1  PDGFB  NFKBIA  PGK1  CA2  HAS1  GSDME  CAV1  CDKN1B  GAPDH  KDM3A  STK25  TNFAIP3  IRF1  EDN2  ZFP36  GCH1  VHL  ETS1  CYP1A1  ARRB2  TP53  PFKL  GUK1  RHOB  PAM  EGFR  HNRNPU  TIPARP  PRKCD  CASP3  CITED2  FBP1  AQP3  RBPJ  FOS  HOXB9  BCL2  ADCY6  DDIT3  JUN  BCAP31  SULT1A1  ADA  TGM2  MIF  FKBP4  FMO1  ERCC1  BAK1  RRM2B  PFKP  GAL  POLB  NDST1  TMED2  CDC34  RAE1  RNMT  GPI  LHX2  PPARGC1A  ENO2  SOD2  CCND3  LOX  STC2  UMPS  IGFBP2  ERRFI1  KLF7  CCN2  FOXO3  SRSF6  FOSB  DAD1  CDO1  AKAP12  DLG4  PCNA  CMPK2  SLC37A4  COL2A1  SLC2A5  CCN1  MPC2  EPHX1  TPBG  IGFBP1  GPC3  PLIN2  CDKN2B  SIGMAR1  HTR7  ADM  NOCT  DPYSL4  CCNO  BCL2L11  XPC  MMP14  CDA  STC1  BTG2  HK2  ATF3  MSX1  PGAM2  NFIL3  ATP7A  HPRT1  RET  DDX21  GPX4  DDIT4  STIP1  TACR3  ONECUT1  JUNB  GLRX  CNP  TYMS  IMPDH2  HCLS1  POLR2A  EXT1  PDE4B  ERO1A  APRT  APOM  GPX3  LYN  TAF9  NDRG1  RFC3  NPR2  BNIP3L  PDK3  BRF2  SERPINE1  GCK  DUSP1  CDKN1C  PIM1  CASP6  PDK1  PRKCA  AK4  STX3  PNP  CYB5B  GTF2H1  RALA  PLAUR  PPP1R15A  RBX1  CDK2  DNAJB1  TGFBRAP1  FURIN  NAT1"
1.84162129776487e-26,67,578,5.30459169550173,"GO:0009117 nucleotide metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0009117"," RRM2B  PFKP  ENO1  PGK1  GPI  GAPDHS  GCK  AK1  ENO3  ALDOC  GAPDH  TPI1  ENO2  UMPS  NT5C  PPAT  DUT  AMPD3  CMPK2  ALDOB  PFKL  PKLR  AK3  ALDOA  HK1  HK2  NPR2  AK4  HPRT1  ADCY6  TYMS  IMPDH2  APRT  SULT2B1  GMPR2  DGUOK  GUK1  CDA  FBP1  SULT1A1  PNP  RORA  NME3  NME4  GALK1  PPARGC1A  NT5C3A  ITPA  MPC2  PDK1  PGAM2  TK2  LDHC  DDIT4  ADORA2B  NUDT9  CNP  PDE4B  DGAT1  ADA  NME1  PDK3  LDHA  PGM1  SLC25A1  TPST2  PPT1"
4.50068114925047e-26,67,588,5.21437755102041,"GO:0006753 nucleoside phosphate metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006753"," RRM2B  PFKP  ENO1  PGK1  GPI  GAPDHS  GCK  AK1  ENO3  ALDOC  GAPDH  TPI1  ENO2  UMPS  NT5C  ITPA  PPAT  DUT  AMPD3  CMPK2  ALDOB  PFKL  PKLR  AK3  ALDOA  HK1  HK2  NPR2  AK4  HPRT1  ADCY6  TYMS  IMPDH2  APRT  SULT2B1  GMPR2  DGUOK  GUK1  CDA  FBP1  SULT1A1  PNP  RORA  NME3  NME4  GALK1  PPARGC1A  NT5C3A  MPC2  PDK1  PGAM2  TK2  LDHC  DDIT4  ADORA2B  NUDT9  CNP  PDE4B  DGAT1  ADA  NME1  PDK3  LDHA  PGM1  SLC25A1  TPST2  PPT1"
1.03717289431199e-25,60,472,5.81720338983051,"GO:0009259 ribonucleotide metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0009259"," PFKP  ENO1  PGK1  GPI  GAPDHS  GCK  ENO3  ALDOC  GAPDH  TPI1  ENO2  UMPS  AMPD3  ALDOB  PFKL  PKLR  AK3  ALDOA  HK1  HK2  NPR2  AK4  HPRT1  ADCY6  IMPDH2  APRT  SULT2B1  GMPR2  FBP1  SULT1A1  PNP  RORA  NME3  NME4  AK1  GALK1  PPARGC1A  DGUOK  NT5C3A  NT5C  ITPA  PPAT  MPC2  GUK1  PDK1  CDA  PGAM2  LDHC  DDIT4  NUDT9  PDE4B  DGAT1  ADA  NME1  PDK3  LDHA  PGM1  SLC25A1  TPST2  PPT1"
1.69847158984953e-25,168,3269,2.35179443254818,"GO:0010033 response to organic substance "," http://amigo.geneontology.org/amigo/term/GO:0010033"," RRAGD  HSPA5  GPC1  CXCL2  GCNT2  VEGFA  NR3C1  SMAD5  SLC2A1  F3  PGF  TGFB3  NR4A1  PCK1  BMP2  HSPA2  IL6ST  SDCBP  TMBIM6  NTRK3  PKLR  HSPA13  FGF18  ANKZF1  IRS2  RXRB  SAP30  DCN  ALAS1  RAD51  HYAL2  RORA  PRKACA  SCARB1  ICAM1  PDGFB  NFKBIA  CA2  HAS1  GSDME  CAV1  GAPDH  KDM3A  TNFAIP3  CXCR4  IRF1  EDN2  ZFP36  GCH1  IL6  CYP1A1  ARRB2  TP53  PFKL  EGFR  HNRNPU  TIPARP  PRKCD  CASP3  CITED2  AQP3  FOS  BCL2  ADCY6  DDIT3  JUN  BCAP31  ADA  TGM2  FKBP4  FMO1  ERCC1  BAK1  RRM2B  PFKP  GAL  POLB  NDST1  TFRC  DNAJA1  TMED2  CDC34  HMOX1  RAE1  RNMT  GPI  CDKN1B  ENO2  SOD2  CCND3  LOX  STC2  IGFBP2  ERRFI1  CCN2  FOXO3  SRSF6  FOSB  CDO1  AKAP12  PCNA  CMPK2  SLC37A4  COL2A1  SLC2A5  MPC2  EPHX1  PAM  IGFBP1  GPC3  PLIN2  CDKN2B  HTR7  ADM  NOCT  BCL2L11  MMP14  CDA  STC1  BTG2  HK2  ATF3  MSX1  NFIL3  FBP1  ATP7A  HPRT1  DDX21  GPX4  DDIT4  RBPJ  STIP1  TACR3  ONECUT1  BSG  CNP  TYMS  IMPDH2  HCLS1  POLR2A  EXT1  PDE4B  ERO1A  APRT  MIF  LYN  TAF9  MT2A  RFC3  NPR2  CCN1  PDK3  SERPINE1  GCK  KLF7  DUSP1  CDKN1C  PIM1  CASP6  ACKR3  PRKCA  RET  GTF2H1  PPP1R15A  DNAJB1  TGFBRAP1  FURIN  GPX3"
