geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId
GO:0071453	cellular response to oxygen levels	http://amigo.geneontology.org/amigo/term/GO:0071453	162	9	0.48220026193594473	18.664444444444445	1.0311806056933056e-9	1.3133116194109941e-5	205;596;857;1027;2353;7422;7428;8614;10370
GO:0005975	carbohydrate metabolic process	http://amigo.geneontology.org/amigo/term/GO:0005975	555	13	1.6519823788546255	7.8693333333333335	5.6213156508801e-9	2.7254141430864724e-5	226;2131;2542;2645;2997;3073;3340;5214;5224;5837;10891;54206;55577
GO:0071456	cellular response to hypoxia	http://amigo.geneontology.org/amigo/term/GO:0071456	139	8	0.41373973092034766	19.335827338129498	7.1896095711525805e-9	2.7254141430864724e-5	205;596;1027;2353;7422;7428;8614;10370
GO:0036294	cellular response to decreased oxygen levels	http://amigo.geneontology.org/amigo/term/GO:0036294	146	8	0.4345755447077033	18.40876712328767	1.0591748217094351e-8	2.7254141430864724e-5	205;596;1027;2353;7422;7428;8614;10370
GO:0072359	circulatory system development	http://amigo.geneontology.org/amigo/term/GO:0072359	1119	17	3.330753661150137	5.103949955317248	1.0699647232594506e-8	2.7254141430864724e-5	302;694;857;1027;1289;1490;1634;1942;1944;2131;2152;2997;3340;7422;10370;23210;54206
GO:0001944	vasculature development	http://amigo.geneontology.org/amigo/term/GO:0001944	743	14	2.211572806286463	6.330336473755047	2.0694744335431687e-8	4.392804397600966e-5	302;694;857;1289;1490;1634;1942;1944;2152;3340;7422;10370;23210;54206
GO:0001568	blood vessel development	http://amigo.geneontology.org/amigo/term/GO:0001568	714	13	2.1252530063102753	6.116918767507002	1.0975663906033594e-7	1.9969436501034835e-4	302;694;857;1289;1490;1634;1942;1944;2152;3340;7422;10370;23210
GO:0035239	tube morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0035239	865	14	2.5747112751518038	5.437502890173411	1.3730514517623084e-7	2.185897911205595e-4	302;596;694;857;1490;1634;1942;1944;2131;2152;7052;7422;10370;23210
GO:0001666	response to hypoxia	http://amigo.geneontology.org/amigo/term/GO:0001666	297	9	0.884033813549232	10.18060606060606	1.9848109399858608e-7	2.80872801462888e-4	205;596;857;1027;2353;7422;7428;8614;10370
GO:0036293	response to decreased oxygen levels	http://amigo.geneontology.org/amigo/term/GO:0036293	311	9	0.9257054411239434	9.722315112540192	2.928672210348777e-7	3.670879351411034e-4	205;596;857;1027;2353;7422;7428;8614;10370
