Term	Ont	N	DE	P.DE	adj_pval	GOID
immune system process	BP	2676	109	4.05690062717462e-17	4.12692384347928e-15	GO:0002376
regulation of immune system process	BP	1639	65	7.06945571200971e-10	3.53917605285736e-08	GO:0002682
immune response-regulating signaling pathway	BP	574	17	0.0261040345826597	0.173233745139259	GO:0002764
immune response	BP	1877	58	2.05478248188871e-05	0.000462855855728178	GO:0006955
cell communication	BP	6627	210	5.16011742173898e-21	7.18481849509381e-19	GO:0007154
signal transduction	BP	6102	200	1.66709142446703e-21	2.38073479194081e-19	GO:0007165
biological_process	BP	18158	493	2.38697609253225e-89	2.65885266947167e-85	GO:0008150
cellular process	BP	17684	488	9.00855383718159e-87	3.89358730093502e-83	GO:0009987
signaling	BP	6602	211	1.2910804942996e-21	1.86770722415627e-19	GO:0023052
regulation of response to stimulus	BP	4187	157	1.01778721337129e-21	1.50160685691957e-19	GO:0048583
regulation of immune response	BP	999	31	0.00170739292162043	0.0215143096763914	GO:0050776
regulation of biological process	BP	12193	346	1.46565960540582e-33	6.53039293784618e-31	GO:0050789
regulation of cellular process	BP	11808	334	5.142895071654e-31	1.847958329134e-28	GO:0050794
response to stimulus	BP	8941	319	2.96660110989865e-51	3.14713997744391e-48	GO:0050896
cellular response to stimulus	BP	7487	276	1.5397728278446e-43	1.37212236234888e-40	GO:0051716
biological regulation	BP	12588	357	1.04292373524563e-35	5.48735036414755e-33	GO:0065007
immune effector process	BP	673	28	2.67303714038561e-05	0.000584289759657193	GO:0002252
activation of immune response	BP	581	18	0.0150771763717762	0.122053265011265	GO:0002253
inflammatory response to antigenic stimulus	BP	77	6	0.00234518370650781	0.0272114596945735	GO:0002437
acute inflammatory response	BP	108	5	0.041838211117589	0.23846728842387	GO:0002526
negative regulation of immune system process	BP	564	22	0.000462982819842094	0.00705494614257331	GO:0002683
positive regulation of immune system process	BP	1123	46	1.06033177088828e-07	3.85981555422372e-06	GO:0002684
regulation of immune effector process	BP	414	17	0.00114743368544013	0.0153436540481603	GO:0002697
negative regulation of immune effector process	BP	134	5	0.0875681343955038	0.385237539111973	GO:0002698
regulation of response to biotic stimulus	BP	576	19	0.0068615682651605	0.0651308128722819	GO:0002831
negative regulation of response to biotic stimulus	BP	135	6	0.0321033430326812	0.204288952633898	GO:0002832
developmental process involved in reproduction	BP	1041	36	9.74895035942592e-05	0.00189022729423229	GO:0003006
response to stress	BP	4076	203	6.24837642231101e-48	6.32733317892022e-45	GO:0006950
defense response	BP	1936	71	2.95807376324674e-09	1.39117485381244e-07	GO:0006952
acute-phase response	BP	48	2	0.205852125231003	0.687449204901258	GO:0006953
inflammatory response	BP	921	44	2.38043021831305e-09	1.1337315133909e-07	GO:0006954
humoral immune response	BP	298	8	0.155405540985535	0.568727227938852	GO:0006959
multicellular organism development	BP	4845	182	6.1372788869063e-26	1.22077052716516e-23	GO:0007275
sex differentiation	BP	296	16	7.80150706621487e-05	0.00154079764557744	GO:0007548
response to nutrient	BP	169	14	1.87210833217018e-06	5.36767431455435e-05	GO:0007584
gonad development	BP	240	12	0.00117462183691305	0.0156789845912216	GO:0008406
female gonad development	BP	106	8	0.000569998064234827	0.00851671151913043	GO:0008585
response to external stimulus	BP	2474	106	3.58402293066523e-18	4.03256883077576e-16	GO:0009605
response to biotic stimulus	BP	1668	70	1.15970869360573e-11	7.07835350031467e-10	GO:0009607
response to endogenous stimulus	BP	1607	95	7.09981099535748e-26	1.39973087924402e-23	GO:0009719
response to hormone	BP	961	61	3.8753941889767e-18	4.33849405738808e-16	GO:0009725
embryo development	BP	1130	50	2.38166059909749e-09	1.1337315133909e-07	GO:0009790
reproductive process	BP	1610	68	1.79462063463584e-11	1.07764308621071e-09	GO:0022414
ovulation cycle process	BP	53	4	0.0139267278587957	0.113934572164495	GO:0022602
cell differentiation	BP	4520	175	2.84511605085678e-26	5.86884216490623e-24	GO:0030154
regulation of defense response	BP	886	29	0.00108108504464745	0.0145437274303477	GO:0031347
negative regulation of defense response	BP	308	13	0.00333399399620286	0.0363024038354874	GO:0031348
response to nutrient levels	BP	522	34	7.07190634598508e-11	3.98855517913559e-09	GO:0031667
response to corticosteroid	BP	157	21	6.11033124435716e-13	4.22751426899965e-11	GO:0031960
regulation of response to external stimulus	BP	1165	44	1.79024424700321e-06	5.1796183551607e-05	GO:0032101
negative regulation of response to external stimulus	BP	448	19	0.000407725440501907	0.00634309173428875	GO:0032102
multicellular organismal process	BP	7543	249	2.35767064865772e-29	7.0032248947729e-27	GO:0032501
developmental process	BP	6693	236	1.08355271345125e-31	4.02323122504449e-29	GO:0032502
response to lipid	BP	948	66	1.07665421424201e-21	1.57800674900549e-19	GO:0033993
response to chemical	BP	4019	188	9.77479051909273e-40	7.50906148911545e-37	GO:0042221
ovulation cycle	BP	75	8	5.11274097051971e-05	0.00106251532967573	GO:0042698
response to external biotic stimulus	BP	1627	67	7.65317204609015e-11	4.30548906168678e-09	GO:0043207
biological process involved in interspecies interaction between organisms	BP	1790	77	2.63967552960202e-13	1.87880803349757e-11	GO:0044419
innate immune response	BP	1024	27	0.0242657122733532	0.162771202553232	GO:0045087
regulation of innate immune response	BP	482	16	0.0118051260908665	0.100379617958903	GO:0045088
development of primary sexual characteristics	BP	245	12	0.00139959029235582	0.018159622908039	GO:0045137
negative regulation of innate immune response	BP	100	5	0.031586649852991	0.202382275637567	GO:0045824
development of primary female sexual characteristics	BP	110	8	0.000728766146936269	0.0106183467766162	GO:0046545
female sex differentiation	BP	125	10	7.40446690084329e-05	0.00147151394841201	GO:0046660
rhythmic process	BP	302	21	1.08025741217319e-07	3.92593387086368e-06	GO:0048511
animal organ development	BP	3099	138	1.07353110744269e-25	2.09790579049196e-23	GO:0048513
positive regulation of biological process	BP	6372	241	9.86086398066519e-38	6.10223132670164e-35	GO:0048518
negative regulation of biological process	BP	5853	213	1.39846944666553e-29	4.38804258208658e-27	GO:0048519
response to steroid hormone	BP	338	32	1.21250371145754e-14	9.75168147431448e-13	GO:0048545
embryonic organ development	BP	457	25	6.64602584010448e-07	2.07949668070011e-05	GO:0048568
positive regulation of response to stimulus	BP	2386	103	7.21226424136092e-18	7.91501589995264e-16	GO:0048584
negative regulation of response to stimulus	BP	1829	83	1.32346762893552e-15	1.14724559678699e-13	GO:0048585
reproductive structure development	BP	314	18	1.29795390359053e-05	0.000303100807800731	GO:0048608
multicellular organismal reproductive process	BP	1004	36	4.71663798614058e-05	0.000990133496623836	GO:0048609
system development	BP	4175	161	1.22310796262997e-23	2.04875181890756e-21	GO:0048731
anatomical structure development	BP	6107	219	9.88864460812357e-30	3.19274238521416e-27	GO:0048856
stem cell differentiation	BP	256	16	1.35496317922824e-05	0.000314764021969205	GO:0048863
cellular developmental process	BP	4522	175	2.99693500030767e-26	6.12529522356461e-24	GO:0048869
negative regulation of immune response	BP	214	8	0.0358570650994343	0.209116150859999	GO:0050777
positive regulation of immune response	BP	783	26	0.00157880267749654	0.0201793264769179	GO:0050778
response to glucocorticoid	BP	136	21	3.34884979395384e-14	2.59950089580849e-12	GO:0051384
response to other organism	BP	1624	66	1.87385555560949e-10	1.00109721985295e-08	GO:0051707
reproductive system development	BP	318	18	1.53857758253096e-05	0.000354461544815148	GO:0061458
regulation of response to stress	BP	1477	74	3.5730298804271e-16	3.43103274466185e-14	GO:0080134
response to alcohol	BP	276	14	0.000409702789483592	0.0063694059623974	GO:0097305
defense response to other organism	BP	1302	40	0.000466098883262797	0.0070975741089054	GO:0098542
defense response to symbiont	BP	1127	29	0.026563221241445	0.17622854163696	GO:0140546
response to ketone	BP	225	19	2.0508037823541e-08	8.52384452673222e-07	GO:1901654
response to oxygen-containing compound	BP	1742	104	9.11395825024462e-29	2.47610685242622e-26	GO:1901700
xenobiotic metabolic process	BP	125	11	1.33367498852512e-05	0.000310790914166973	GO:0006805
metabolic process	BP	11765	416	4.59519715909416e-85	1.46245431871857e-81	GO:0008152
response to xenobiotic stimulus	BP	452	42	1.48868662582482e-18	1.72734170052736e-16	GO:0009410
cellular response to chemical stimulus	BP	2248	130	4.56343169473063e-35	2.25920291767131e-32	GO:0070887
cellular response to xenobiotic stimulus	BP	197	20	3.50279249635753e-10	1.81477235427565e-08	GO:0071466
tissue homeostasis	BP	272	16	2.84911815020315e-05	0.000616239360681803	GO:0001894
system process	BP	2345	77	6.73950557215835e-08	2.56216220369529e-06	GO:0003008
lipid metabolic process	BP	1388	45	6.13189962137714e-05	0.0012397380816374	GO:0006629
digestion	BP	144	5	0.110085425410816	0.453240271170239	GO:0007586
regulation of lipid metabolic process	BP	343	20	3.36020802295799e-06	9.01912220909134e-05	GO:0019216
regulation of metabolic process	BP	6949	229	5.10873683177017e-26	1.03465853761978e-23	GO:0019222
digestive system process	BP	112	3	0.313725901840542	0.934383107112779	GO:0022600
homeostatic process	BP	1762	94	2.10068794101893e-22	3.24993930208471e-20	GO:0042592
primary metabolic process	BP	10156	381	3.09212211451845e-78	6.2623905879311e-75	GO:0044238
multicellular organismal-level homeostasis	BP	833	55	3.58720506545727e-17	3.69980344667857e-15	GO:0048871
anatomical structure homeostasis	BP	272	16	2.84911815020315e-05	0.000616239360681803	GO:0060249
regulation of primary metabolic process	BP	5513	195	7.164968277504e-25	1.3413543133297e-22	GO:0080090
neutral lipid metabolic process	BP	138	4	0.224310672163828	0.733263852452789	GO:0006638
acylglycerol metabolic process	BP	137	4	0.220599092867593	0.72155433723451	GO:0006639
triglyceride metabolic process	BP	110	4	0.128426489775755	0.504073683502721	GO:0006641
