GO.ID	Term	Annotated	Significant	Expected	topgoFisher	FDR	Symbol
GO:0061621	canonical glycolysis	18	11	0.48	1.3e-13	2.00369e-09	ENO1, ENO2, ENO3, GCK, HK1, HK2, PFKL, PFKP, PGAM2, PGK1, TPI1
GO:0006094	gluconeogenesis	89	19	2.39	1.6e-12	1.23304e-08	PPARGC1A, DDB1, ENO1, ENO2, ENO3, FBP1, ALDOB, ALDOC, SLC37A4, GCK, GPI, NR3C1, ATF3, PCK1, PGAM2, PGK1, PGM1, PRKACA, TPI1
GO:0006367	transcription initiation at RNA polymerase II promoter	167	21	4.49	3.6e-10	1.84956e-06	PPARGC1A, NKX2-5, ERCC1, ERCC2, ERCC3, GTF2A2, GTF2B, GTF2F1, GTF2H1, GTF2H5, NFKBIA, POLR2D, POLR2G, POLR2I, TAF6, TAF9, TAF10, TAF12, TAF13, ELOA, TP53
GO:0006096	glycolytic process	96	26	2.58	1.9e-09	5.39455e-06	ENO1, ENO2, ENO3, FBP1, ALDOA, ALDOB, ALDOC, GALK1, GAPDH, GAPDHS, GCK, GPI, HK1, HK2, LDHA, PFKFB3, PFKL, PFKP, PGAM2, PGK1, PGM1, PKLR, DDIT4, PRKACA, TPI1, IER3
GO:0006366	transcription by RNA polymerase II	2718	119	73.09	2.1e-09	5.39455e-06	CDK2, SNAPC5, CITED2, CEBPG, PPARGC1A, ADRM1, KLF6, NKX2-5, DCN, DDIT3, E2F5, EFNA1, EGFR, ENO1, ERCC1, ERCC2, ERCC3, ETS1, FBP1, NCBP2, ZNF292, FOXO3, JMJD6, FOS, FOSB, FOSL2, MAFF, NOCT, NELFB, AGO2, ZNF707, NR3C1, GTF2A2, GTF2B, GTF2F1, GTF2H1, GTF2H3, ANXA2, HCLS1, HMOX1, NR4A1, ONECUT1, HNRNPU, HOXB9, HSPA5, DNAJB1, CCN1, RBPJ, IL6, IRF1, JUN, JUNB, GTF2H5, EPCAM, ARRB2, SMAD5, MSX1, MXI1, ATF3, NFIL3, NFKBIA, NFX1, PCK1, GAL, PCNA, PLAC8, NELFCD, PKP1, POLE3, POLR2A, POLR2C, POLR2D, POLR2E, POLR2F, POLR2G, POLR2H, POLR2I, POLR2J, POLR2K, KDM3A, PSMC3, WIZ, RORA, RXRB, SDCBP, SHOX2, BMP2, SNAPC4, SOD2, SUPT4H1, SUPT5H, TAF6, TAF9, TAF10, TAF12, TAF13, ELOA, TGFB3, TP53, TSG101, VEGFA, VHL, ZFP36, BTG2, NELFE, ELL, BHLHE40, CAV1, KLF7, HYAL2, CREG1, SAP30, SQSTM1, CCND3, CCNE1, TAF1C, DDX21, LHX2, CDC5L
GO:0071897	DNA biosynthetic process	169	28	4.54	1.9e-09	5.39455e-06	CDKN1A, POLD3, POLG2, CCN2, GCH1, POLL, HNRNPU, LIG1, LOX, RRM2B, PCNA, PDGFB, POLE3, POLA1, POLB, POLD1, POLH, POLE4, POLD4, REV3L, RFC2, RFC3, RFC4, RFC5, TK2, TP53, TYMS, VEGFA
GO:0071456	cellular response to hypoxia	154	24	4.14	6.5e-09	1.43120714285714e-05	CDKN1B, CITED2, NDRG1, ENO1, AK4, FOXO3, FOS, FAM162A, ERO1A, AQP3, PCK1, PDK1, PDK3, PGK1, ATP7A, BCL2, RORA, BNIP3L, STC1, TMBIM6, TP53, VEGFA, VHL, STC2
GO:0001666	response to hypoxia	314	44	8.44	2.6e-08	4.46977e-05	ADA, CDKN1B, CITED2, NDRG1, ADM, CYP1A1, ENO1, AK4, ERCC2, ERCC3, FOXO3, FOS, FOSL2, FAM162A, ERO1A, HK2, AQP3, MMP14, PCK1, ANGPTL4, PDK1, PDK3, PGF, PGK1, PKLR, ATP7A, DDIT4, BCL2, RORA, BMP2, SLC2A1, SOD2, BNIP3L, STC1, TMBIM6, TFRC, TGFB3, TP53, VEGFA, VHL, CXCR4, CASP3, CAV1, STC2
GO:0030388	fructose 1,6-bisphosphate metabolic process	9	6	0.24	2.9e-08	4.46977e-05	FBP1, ALDOA, ALDOB, ALDOC, PFKL, PFKP
GO:1900264	positive regulation of DNA-directed DNA polymerase activity	9	6	0.24	2.9e-08	4.46977e-05	POLG2, PCNA, RFC2, RFC3, RFC4, RFC5
