Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	GOID
GOTERM_BP_DIRECT	GO:0050775~positive regulation of dendrite morphogenesis	2	4.0	0.0422014933408313	2043, 26259	43	20	19512	45.37674418604651	0.9999993932362132	1.0	1.0	GO:0050775
GOTERM_BP_DIRECT	GO:0008045~motor neuron axon guidance	2	4.0	0.0504306706093522	8543, 2043	43	24	19512	37.81395348837209	0.9999999654174254	1.0	1.0	GO:0008045
GOTERM_BP_DIRECT	GO:0050911~detection of chemical stimulus involved in sensory perception of smell	4	8.0	0.0670616192738182	121364, 26533, 26534, 26339	43	436	19512	4.163004053765735	0.9999999999020096	1.0	1.0	GO:0050911
GOTERM_BP_DIRECT	GO:0007608~sensory perception of smell	4	8.0	0.0788143857925259	121364, 26533, 26534, 26339	43	467	19512	3.886659030924755	0.9999999999985436	1.0	1.0	GO:0007608
GOTERM_BP_DIRECT	GO:0007268~chemical synaptic transmission	3	6.0	0.0955112876338569	2572, 2916, 2904	43	242	19512	5.625216221410724	0.9999999999999968	1.0	1.0	GO:0007268
GOTERM_BP_DIRECT	GO:0007611~learning or memory	2	4.0	0.1458040781339485	4125, 2904	43	73	19512	12.431984708505894	1.0	1.0	1.0	GO:0007611
GOTERM_BP_DIRECT	GO:0001558~regulation of cell growth	2	4.0	0.1604601660917072	55210, 5925	43	81	19512	11.204134366925064	1.0	1.0	1.0	GO:0001558
GOTERM_BP_DIRECT	GO:0007186~G protein-coupled receptor signaling pathway	5	10.0	0.1842794299735061	121364, 26533, 2916, 26534, 26339	43	1041	19512	2.179478587226057	1.0	1.0	1.0	GO:0007186
GOTERM_BP_DIRECT	GO:0046330~positive regulation of JNK cascade	2	4.0	0.2012424016744691	51562, 2043	43	104	19512	8.726296958855098	1.0	1.0	1.0	GO:0046330
GOTERM_BP_DIRECT	GO:0046777~protein autophosphorylation	2	4.0	0.2267907085486653	2043, 53904	43	119	19512	7.626343560680086	1.0	1.0	1.0	GO:0046777
