Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	GOID	Count
+ Reg of Insulin Secretion Inv in Cellular Resp to Glucose Stimulus (GO:0035774)	3/13	0.00026165809515097364	0.1343613592538049	0	0	30.13705583756345	248.5846578261998	ANO1;GCG;CFTR	GO:0035774	3
Cellular Response to Calcium Ion (GO:0071277)	5/59	0.00030724672721336934	0.1343613592538049	0	0	9.376068376068377	75.83232332652554	MEF2A;ITPKB;CPNE8;CHP2;PLCG2	GO:0071277	5
Positive Regulation of DNA-binding Transcription Factor Activity (GO:0051091)	8/174	0.00037378058930209566	0.1343613592538049	0	0	4.928212851405623	38.892675156538175	MAVS;CHUK;DHX9;CAMK2A;PLCG2;IL18;ESR2;MTDH	GO:0051091	8
Positive Regulation of Cell Population Proliferation (GO:0008284)	14/484	0.000383889597868014	0.1343613592538049	0	0	3.095630290551361	24.347613767493588	CNOT6L;EDN3;DHX9;BICRAL;IL18;HTR2B;PTEN;CCAR1;RPS4X;GDF9;CHP2;CTNNB1;INSM1;KIF20B	GO:0008284	14
Regulation of Primary Metabolic Process (GO:0080090)	6/113	0.000965639976795505	0.2276092429206012	0	0	5.692166875421524	39.51911789521261	NCOA2;ENY2;ESRP1;PLCG2;APOE;SGF29	GO:0080090	6
Hyaluronan Biosynthetic Process (GO:0030213)	2/5	0.0009754681839454336	0.2276092429206012	0	0	66.65656565656566	462.1028413784856	DDX18;HAS3	GO:0030213	2
Regulation of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0000079)	4/46	0.0011401784650819	0.2280356930163999	0	0	9.60058309037901	65.05902796595161	PSRC1;PTEN;NR2F2;CDC25A	GO:0000079	4
Polysaccharide Metabolic Process (GO:0005976)	2/7	0.0020216133697869	0.2746268780771893	0	0	39.98989898989899	248.09171029141777	DDX18;HAS3	GO:0005976	2
Positive Regulation of Dendritic Cell Cytokine Production (GO:0002732)	2/7	0.0020216133697869	0.2746268780771893	0	0	39.98989898989899	248.09171029141777	MAVS;PLCG2	GO:0002732	2
Positive Regulation of Receptor Catabolic Process (GO:2000646)	2/7	0.0020216133697869	0.2746268780771893	0	0	39.98989898989899	248.09171029141777	APOE;HAMP	GO:2000646	2
Response to Calcium Ion (GO:0051592)	5/95	0.0026623763793661	0.2746268780771893	0	0	5.615384615384615	33.29101085304574	MEF2A;ITPKB;CPNE8;CHP2;PLCG2	GO:0051592	5
Sympathetic Ganglion Development (GO:0061549)	2/8	0.0026777674677022	0.2746268780771893	0	0	33.323232323232325	197.36590289038227	CTNNB1;INSM1	GO:0061549	2
Regulation of Insulin Secretion Involved in Cellular Response to Glucose Stimulus (GO:0061178)	3/28	0.0026840467141937	0.2746268780771893	0	0	12.045685279187817	71.31563234569973	ANO1;GCG;CFTR	GO:0061178	3
Vasoconstriction (GO:0042310)	2/9	0.0034202318391573	0.2746268780771893	0	0	28.561327561327563	162.17255858986445	EDN3;HTR2B	GO:0042310	2
Glucan Biosynthetic Process (GO:0009250)	2/9	0.0034202318391573	0.2746268780771893	0	0	28.561327561327563	162.17255858986445	GYS1;GYG2	GO:0009250	2
Glycogen Biosynthetic Process (GO:0005978)	2/9	0.0034202318391573	0.2746268780771893	0	0	28.561327561327563	162.17255858986445	GYS1;GYG2	GO:0005978	2
Natural Killer Cell Mediated Immunity (GO:0002228)	3/31	0.00360273455	0.2746268780771893	0	0	10.753444525018129	60.49954695168429	RAET1G;NKG7;PVR	GO:0002228	3
Natural Killer Cell Mediated Cytotoxicity (GO:0042267)	3/32	0.0039464456405227	0.2746268780771893	0	0	10.382110974969368	57.46436072810552	RAET1G;NKG7;PVR	GO:0042267	3
Positive Regulation of Cellular Process (GO:0048522)	14/622	0.0040485476955352	0.2746268780771893	0	0	2.375919637804188	13.08988465749921	CNOT6L;EDN3;BICRAL;HTR2B;PTEN;CCAR1;RPS4X;GDF9;CHP2;CTNNB1;INSM1;KIF20B;PHPT1;MAGEA4	GO:0048522	14
Positive Regulation of NF-kappaB Transcription Factor Activity (GO:0051092)	5/105	0.0040960318506073	0.2746268780771893	0	0	5.051282051282051	27.770618287278307	CHUK;DHX9;CAMK2A;IL18;MTDH	GO:0051092	5
Response to Exogenous dsRNA (GO:0043330)	3/34	0.0046920695585813	0.2746268780771893	0	0	9.711314884558703	52.07091984713094	MAVS;DHX9;IFNA2	GO:0043330	3
Inflammatory Response (GO:0006954)	8/261	0.0048632878209139	0.2746268780771893	0	0	3.2192028985507246	17.145605219612293	IL36B;CHUK;DHX9;IFNA2;CASP4;IL18;F11R;KLRG1	GO:0006954	8
Regulation of Neuronal Synaptic Plasticity (GO:0048168)	3/35	0.0050945877067937	0.2746268780771893	0	0	9.407360406091373	49.666879272481374	GRIN2A;CAMK2A;APOE	GO:0048168	3
Phasic Smooth Muscle Contraction (GO:0014821)	2/11	0.0051570205394645	0.2746268780771893	0	0	22.21212121212121	117.00004466783103	EDN3;HTR2B	GO:0014821	2
Polysaccharide Biosynthetic Process (GO:0000271)	2/11	0.0051570205394645	0.2746268780771893	0	0	22.21212121212121	117.00004466783103	DDX18;HAS3	GO:0000271	2
Ganglion Development (GO:0061548)	2/11	0.0051570205394645	0.2746268780771893	0	0	22.21212121212121	117.00004466783103	CTNNB1;INSM1	GO:0061548	2
Cellular Response to Metal Ion (GO:0071248)	5/112	0.0053815720762053	0.2746268780771893	0	0	4.71914689671699	24.65647950040891	MEF2A;ITPKB;CPNE8;CHP2;PLCG2	GO:0071248	5
Positive Regulation of Inflammatory Response (GO:0050729)	5/115	0.006011244988525	0.2746268780771893	0	0	4.589743589743589	23.47251508797229	DHX9;CASP4;PLCG2;IL18;NKG7	GO:0050729	5
Positive Regulation of Neuroinflammatory Response (GO:0150078)	2/12	0.0061478754316609	0.2746268780771893	0	0	19.98989898989899	101.78154350719132	IL18;PLCG2	GO:0150078	2
Negative Regulation of Epithelial Cell Proliferation (GO:0050680)	4/73	0.0061707911267906	0.2746268780771893	0	0	5.835847382431234	29.692372629986004	ATP5F1A;IL26;APOE;NR2F2	GO:0050680	4
Negative Regulation of Endothelial Cell Proliferation (GO:0001937)	3/38	0.0064242870484076	0.2746268780771893	0	0	8.599709934735316	43.40849457481817	ATP5F1A;APOE;NR2F2	GO:0001937	3
Positive Regulation of Receptor Signaling Pathway via JAK-STAT (GO:0046427)	3/38	0.0064242870484076	0.2746268780771893	0	0	8.599709934735316	43.40849457481817	GH2;IL26;CAMK2A	GO:0046427	3
Calcium Ion Transmembrane Import Into Cytosol (GO:0097553)	4/74	0.0064733478403908	0.2746268780771893	0	0	5.752186588921282	28.99137625994184	GRIN2A;HTR2B;PLCG2;CACNA1F	GO:0097553	4
Negative Regulation of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0045736)	2/13	0.0072181010363148	0.2887240414525946	0	0	18.171717171717173	89.6077061786221	PTEN;NR2F2	GO:0045736	2
Hyaluronan Metabolic Process (GO:0030212)	2/13	0.0072181010363148	0.2887240414525946	0	0	18.171717171717173	89.6077061786221	DDX18;HAS3	GO:0030212	2
Positive Regulation of Insulin Secretion (GO:0032024)	3/41	0.0079423435743089	0.2971932345160541	0	0	7.919583222014427	38.29551599382337	ANO1;GCG;CFTR	GO:0032024	3
Negative Regulation of Lyase Activity (GO:0051350)	2/14	0.0083660270881822	0.2971932345160541	0	0	16.656565656565657	79.67795051677446	LTB4R2;PHPT1	GO:0051350	2
Cellular Response to Exogenous dsRNA (GO:0071360)	2/14	0.0083660270881822	0.2971932345160541	0	0	16.656565656565657	79.67795051677446	MAVS;DHX9	GO:0071360	2
Positive Regulation of Response to Cytokine Stimulus (GO:0060760)	2/14	0.0083660270881822	0.2971932345160541	0	0	16.656565656565657	79.67795051677446	MAVS;DHX9	GO:0060760	2
Positive Regulation of Receptor Signaling Pathway via STAT (GO:1904894)	3/42	0.0084912352718872	0.2971932345160541	0	0	7.716126513080828	36.79605293636041	GH2;IL26;CAMK2A	GO:1904894	3
Positive Regulation of DNA-templated Transcription (GO:0045893)	22/1274	0.0087806865373256	0.2998283207867301	0	0	1.83102990271745	8.67029404241595	MEF2A;NCOA2;ENY2;CHUK;DHX9;IL26;BICRAL;IL18;PTEN;NR2F2;SGF29;ESR2;ACVR2A;FSTL3;HOXA10;MAVS;PSRC1;HLTF;HAS3;CHP2;CTNNB1;APOE	GO:0045893	22
Negative Regulation of Cyclin-Dependent Protein Kinase Activity (GO:1904030)	2/15	0.0095900084936835	0.3003609528955938	0	0	15.374514374514376	71.44588341233826	PTEN;NR2F2	GO:1904030	2
Regulation of Interleukin-13 Production (GO:0032656)	2/15	0.0095900084936835	0.3003609528955938	0	0	15.374514374514376	71.44588341233826	IFNA2;IL18	GO:0032656	2
Sympathetic Nervous System Development (GO:0048485)	2/15	0.0095900084936835	0.3003609528955938	0	0	15.374514374514376	71.44588341233826	CTNNB1;INSM1	GO:0048485	2
Positive Regulation of Cell Division (GO:0051781)	3/44	0.0096544592002155	0.3003609528955938	0	0	7.338987247740498	34.05536215760635	HTR2B;KIF20B;OR2A4	GO:0051781	3
Regulation of Response to Cytokine Stimulus (GO:0060759)	2/16	0.0108884250018907	0.3053688494795557	0	0	14.275613275613276	64.52655688502057	MAVS;DHX9	GO:0060759	2
