GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	FDR	Symbol
GO:0000003	0.329221613282404	1.25291295407814	6.53816155988858	8	1467	reproduction	0.588366839764296	LHFPL2, MAGED2, FREY1, HFM1, KDM1B, MAFF, NSUN2, E2F8
GO:0000122	0.0178972432166581	2.44158765868552	4.00222841225627	9	898	negative regulation of transcription by RNA polymerase II	0.311528436803781	MAGED2, SDR16C5, KDM1B, MAFF, BIN1, HIPK2, IRF8, KLF5, E2F8
GO:0000165	0.107382793044127	1.92299023290759	3.26239554317549	6	732	MAPK cascade	0.431344390070311	GPNMB, DRD2, HIPK2, PDGFRB, SLA, FAM83D
GO:0000278	0.339283274257795	1.32586774412651	3.84178272980501	5	862	mitotic cell cycle	0.595525280424968	GPNMB, BTG3, RHOB, PDGFRB, E2F8
GO:0000280	0.576232229171189	1.04255744255744	1.92089136490251	2	431	nuclear division	0.726996583768719	HFM1, PDGFRB
GO:0000902	0.245943933383491	1.46285383054777	4.22061281337047	6	947	cell morphogenesis	0.546230250388022	MYL12A, DRD2, FAT1, ATL1, S100B, FMNL1
GO:0000910	0.00819208913162236	5.37829614604463	0.793314763231198	4	178	cytokinesis	0.303197318028875	DRD2, RHOB, E2F8, CCP110
GO:0001523	0.0451817735369338	6.18108108108108	0.338718662952646	2	76	retinoid metabolic process	0.359606606477975	SDR16C5, NAPEPLD
GO:0001525	0.00261492430948563	3.67533081285444	2.3933147632312	8	537	angiogenesis	0.303197318028875	GPNMB, HIPK2, RHOB, PDGFRB, BCAS3, KLF5, CCR2, E2F8
GO:0001568	0.0141837044779341	2.7105077574048	3.19554317548747	8	717	blood vessel development	0.310797835596159	GPNMB, HIPK2, RHOB, PDGFRB, BCAS3, KLF5, CCR2, E2F8
GO:0001654	0.0934484699864678	2.41777024946104	1.72033426183844	4	386	eye development	0.410044336301922	DRD2, FAT1, HIPK2, PDGFRB
GO:0001659	0.0476631262538336	3.86300704396405	0.811142061281337	3	182	temperature homeostasis	0.361569541394706	DRD2, NAPEPLD, CCR2
GO:0001666	0.384428767014015	1.5238416988417	1.32813370473538	2	298	response to hypoxia	0.62187753259626	DRD2, HIPK2
GO:0001667	0.576232229171189	1.04255744255744	1.92089136490251	2	431	ameboidal-type cell migration	0.726996583768719	RHOB, BCAS3
GO:0001701	0.256639901540839	1.74491270988547	1.75598885793872	3	394	in utero embryonic development	0.552791763154139	MAFF, NSUN2, E2F8
GO:0001775	0.527398830084389	1.04707769563398	4.79108635097493	5	1075	cell activation	0.694440894963517	GPNMB, MYL12A, IRF8, KLF5, CCR2
GO:0001816	0.259656367497495	1.49224504111297	3.43621169916435	5	771	cytokine production	0.554621263371877	GPNMB, DRD2, IRF8, CCR2, CCN4
GO:0001817	0.248667954243221	1.51929595052625	3.37827298050139	5	758	regulation of cytokine production	0.547479810425274	GPNMB, DRD2, IRF8, CCR2, CCN4
GO:0001819	0.360357430728007	1.4255571793935	2.13481894150418	3	479	positive regulation of cytokine production	0.606471374309115	DRD2, IRF8, CCR2
GO:0001822	0.411180975431424	1.43952533089913	1.40389972144847	2	315	kidney development	0.628650069975863	PDGFRB, MTSS1
GO:0001932	0.361661126546831	1.28617118489187	3.95320334261838	5	887	regulation of protein phosphorylation	0.606471374309115	GPNMB, DRD2, HIPK2, EHD4, PDGFRB
GO:0001934	0.240293634959588	1.63966627943817	2.50027855153203	4	561	positive regulation of protein phosphorylation	0.544685917885834	GPNMB, HIPK2, EHD4, PDGFRB
GO:0001944	0.0176143519201436	2.59908536585366	3.32479108635098	8	746	vasculature development	0.310797835596159	GPNMB, HIPK2, RHOB, PDGFRB, BCAS3, KLF5, CCR2, E2F8
GO:0002009	0.3713515086181	1.3982967279247	2.17493036211699	3	488	morphogenesis of an epithelium	0.615771646334614	FAT1, RHOB, MTSS1
GO:0002027	0.0708286994555996	4.75803571428571	0.436768802228412	2	98	regulation of heart rate	0.384847827719982	DRD2, BIN1
GO:0002064	0.0680507411572947	3.31835284280936	0.940389972144847	3	211	epithelial cell development	0.377853329061495	GPAT4, FAT1, KLF5
GO:0002065	0.0972806340133319	3.93275862068965	0.525905292479109	2	118	columnar/cuboidal epithelial cell differentiation	0.415848687671132	GPAT4, KLF5
GO:0002066	0.0193611054008669	9.96086956521739	0.213927576601671	2	48	columnar/cuboidal epithelial cell development	0.323330004106314	GPAT4, KLF5
GO:0002088	0.0598486394103157	5.25320197044335	0.396657381615599	2	89	lens development in camera-type eye	0.367812387474766	FAT1, HIPK2
GO:0002181	0.150299527087987	2.99454887218045	0.686350974930362	2	154	cytoplasmic translation	0.471834732397919	PARP16, RPL18A
GO:0002252	0.773916399630458	0.70782967032967	2.7899721448468	2	626	immune effector process	0.838964562839904	IRF8, CCR2
GO:0002262	0.178599622748117	2.67445378151261	0.766573816155989	2	172	myeloid cell homeostasis	0.491621193184894	HIPK2, CCR2
GO:0002263	0.384428767014015	1.5238416988417	1.32813370473538	2	298	cell activation involved in immune response	0.62187753259626	IRF8, CCR2
GO:0002366	0.378060327327102	1.54510763209393	1.31030640668524	2	294	leukocyte activation involved in immune response	0.617059169682228	IRF8, CCR2
GO:0002376	0.931024280651717	0.60713038509159	10.8300835654596	7	2430	immune system process	0.944682405632651	GPNMB, DRD2, HIPK2, IRF8, IL1RN, PSMB4, CCR2
GO:0002437	0.0473393044692032	6.01766917293233	0.347632311977716	2	78	inflammatory response to antigenic stimulus	0.361569541394706	IL1RN, PSMB4
GO:0002521	0.519121710865831	1.10097488080837	2.73649025069638	3	614	leukocyte differentiation	0.688624276929209	IRF8, CCR2, CCN4
GO:0002682	0.905187025599645	0.583443153228705	6.58272980501393	4	1477	regulation of immune system process	0.925672220504538	GPNMB, DRD2, PSMB4, CCR2
GO:0002683	0.172864454174117	1.89584346135148	2.17493036211699	4	488	negative regulation of immune system process	0.487744385541267	GPNMB, DRD2, PSMB4, CCR2
GO:0002694	0.710430035699272	0.806909090909091	2.46016713091922	2	552	regulation of leukocyte activation	0.805630670779735	GPNMB, CCR2
GO:0002790	0.295025186527333	1.87812685240071	1.08300835654596	2	243	peptide secretion	0.567009806422818	DRD2, IL1RN
GO:0003006	0.626587824963369	0.930777750430716	4.27855153203343	4	960	developmental process involved in reproduction	0.756214505775971	LHFPL2, KDM1B, NSUN2, E2F8
GO:0003008	0.480522481327408	1.06830333609459	8.49470752089137	9	1906	system process	0.666442805434463	MAGED2, C2CD4A, DRD2, BIN1, HIPK2, LPA, LMOD2, S100B, CCR2
GO:0003012	0.297882630017379	1.60184143222506	1.9075208913649	3	428	muscle system process	0.56751235232743	DRD2, BIN1, LMOD2
GO:0003013	0.267695470391363	1.55837104072398	2.62506963788301	4	589	circulatory system process	0.555386498846676	C2CD4A, DRD2, BIN1, LPA
GO:0003014	0.107113166043751	3.70731707317073	0.557103064066852	2	125	renal system process	0.431070091164794	MAGED2, DRD2
GO:0003015	0.301625659542956	1.8469970845481	1.1008356545961	2	247	heart process	0.568969636195127	DRD2, BIN1
GO:0005975	0.697880819056081	0.827134876296887	2.40222841225627	2	539	carbohydrate metabolic process	0.798590504328739	GALM, PHKG2
GO:0005996	0.301625659542956	1.8469970845481	1.1008356545961	2	247	monosaccharide metabolic process	0.568969636195127	GALM, PHKG2
GO:0006006	0.204392995716507	2.44193548387097	0.837883008356546	2	188	glucose metabolic process	0.519721382219765	GALM, PHKG2
GO:0006066	0.471805668745195	1.27316875758802	1.58217270194986	2	355	alcohol metabolic process	0.662646991602102	SDR16C5, NAPEPLD
GO:0006082	0.764516245146654	0.746647015475313	3.95766016713092	3	888	organic acid metabolic process	0.832992000437143	GPAT4, ALDH6A1, LDHAL6B
GO:0006091	0.375009840552358	1.38943335709195	2.1883008356546	3	491	generation of precursor metabolites and energy	0.615771646334614	COX6B1, NDUFV2, PHKG2
GO:0006119	0.123070208102362	3.40063965884861	0.606128133704735	2	136	oxidative phosphorylation	0.449647296155557	COX6B1, NDUFV2
GO:0006139	0.629713772559918	0.94616882942939	23.8707520891365	23	5356	nucleobase-containing compound metabolic process	0.757638844524698	MAGED2, POP1, DUS4L, GPAT4, HFM1, DRD2, SDR16C5, KDM1B, MAFF, BIN1, GNAI3, HIPK2, HNRNPK, IRF8, ALDH6A1, NDUFV2, PDGFRB, BCAS3, NSUN2, PARP16, RAD52, KLF5, E2F8
GO:0006163	0.197909910200124	1.78894761029412	2.29972144846797	4	516	purine nucleotide metabolic process	0.512984404041726	GPAT4, GNAI3, NDUFV2, PARP16
GO:0006164	0.299976345862929	1.85468384074941	1.09637883008357	2	246	purine nucleotide biosynthetic process	0.568969636195127	NDUFV2, PARP16
GO:0006259	0.669761989249323	0.877868375072801	4.51922005571031	4	1014	DNA metabolic process	0.778480140598698	HFM1, PDGFRB, RAD52, E2F8
GO:0006310	0.431263221184177	1.38098159509202	1.46183844011142	2	328	DNA recombination	0.637345847760505	HFM1, RAD52
GO:0006325	0.662200511800082	0.883923422903933	3.37381615598886	3	757	chromatin organization	0.774738412985779	SDR16C5, KDM1B, HIPK2
GO:0006338	0.521330895860031	1.09724093907369	2.74540389972145	3	616	chromatin remodeling	0.689309542594449	SDR16C5, KDM1B, HIPK2
GO:0006351	0.828538775446844	0.775614194722475	14.7476323119777	12	3309	DNA-templated transcription	0.874704890646791	MAGED2, DRD2, SDR16C5, KDM1B, MAFF, BIN1, HIPK2, HNRNPK, IRF8, BCAS3, KLF5, E2F8
GO:0006355	0.788009447638653	0.811191449229802	14.2306406685237	12	3193	regulation of DNA-templated transcription	0.847802101191444	MAGED2, DRD2, SDR16C5, KDM1B, MAFF, BIN1, HIPK2, HNRNPK, IRF8, BCAS3, KLF5, E2F8
GO:0006357	0.393190069100626	1.13524283935243	10.7899721448468	12	2421	regulation of transcription by RNA polymerase II	0.623327711382527	MAGED2, DRD2, SDR16C5, KDM1B, MAFF, BIN1, HIPK2, HNRNPK, IRF8, BCAS3, KLF5, E2F8
GO:0006366	0.453966954093238	1.07947494033413	11.257938718663	12	2526	transcription by RNA polymerase II	0.651797489096613	MAGED2, DRD2, SDR16C5, KDM1B, MAFF, BIN1, HIPK2, HNRNPK, IRF8, BCAS3, KLF5, E2F8
GO:0006396	0.626587824963369	0.930777750430716	4.27855153203343	4	960	RNA processing	0.756214505775971	POP1, DUS4L, HNRNPK, NSUN2
GO:0006399	0.0570698670805317	3.57963505293985	0.873537604456824	3	196	tRNA metabolic process	0.367812387474766	POP1, DUS4L, NSUN2
GO:0006400	0.0574965553439787	5.37747899159664	0.387743732590529	2	87	tRNA modification	0.367812387474766	DUS4L, NSUN2
GO:0006401	0.389187425662337	1.50826564739608	1.34150417827298	2	301	RNA catabolic process	0.62187753259626	POP1, NSUN2
GO:0006412	0.78596453094987	0.689419642857143	2.86128133704735	2	642	translation	0.846028185401544	PARP16, RPL18A
GO:0006468	0.480165552588674	1.09297018770703	5.53091922005571	6	1241	protein phosphorylation	0.666442805434463	GPNMB, DRD2, HIPK2, EHD4, PDGFRB, PHKG2
GO:0006470	0.227290902017044	2.269	0.900278551532033	2	202	protein dephosphorylation	0.534871043813183	PTPN21, PDGFRB
GO:0006486	0.253677919931901	2.09880952380952	0.97158774373259	2	218	protein glycosylation	0.550935832369426	GALNT9, RPN1
GO:0006508	0.241862250121645	1.36374707259953	6.83676880222841	9	1534	proteolysis	0.544685917885834	PIGK, BIN1, HIPK2, RNF148, LPA, CPVL, PSMB4, PSMD12, LMLN
GO:0006511	0.259800611020004	1.58079314914874	2.58941504178273	4	581	ubiquitin-dependent protein catabolic process	0.554621263371877	HIPK2, RNF148, PSMB4, PSMD12
