Ontology	Ref	Count	expected	Fold Enrichment	over_under	raw P-value	FDR	GOID
methionine metabolic process (GO:0006555)	16	2	0.04	+	49.47	0.000735	1.0	GO:0006555
maintenance of synapse structure (GO:0099558)	30	2	0.08	+	26.38	0.0026	1.0	GO:0099558
sulfur amino acid metabolic process (GO:0000096)	34	2	0.09	+	23.28	0.00334	1.0	GO:0000096
epithelial cell migration (GO:0010631)	35	2	0.09	+	22.62	0.00353	1.0	GO:0010631
negative regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001240)	36	2	0.09	+	21.99	0.00373	1.0	GO:2001240
negative regulation of signal transduction in absence of ligand (GO:1901099)	36	2	0.09	+	21.99	0.00373	1.0	GO:1901099
epithelium migration (GO:0090132)	38	2	0.1	+	20.83	0.00415	1.0	GO:0090132
tissue migration (GO:0090130)	44	2	0.11	+	17.99	0.00554	1.0	GO:0090130
positive regulation of organ growth (GO:0046622)	45	2	0.11	+	17.59	0.00578	1.0	GO:0046622
regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001239)	47	2	0.12	+	16.84	0.00629	1.0	GO:2001239
aspartate family amino acid metabolic process (GO:0009066)	47	2	0.12	+	16.84	0.00629	1.0	GO:0009066
cell junction maintenance (GO:0034331)	51	2	0.13	+	15.52	0.00738	1.0	GO:0034331
retrograde transport, endosome to Golgi (GO:0042147)	100	3	0.25	+	11.87	0.00207	1.0	GO:0042147
cellular component maintenance (GO:0043954)	67	2	0.17	+	11.81	0.0125	1.0	GO:0043954
retina morphogenesis in camera-type eye (GO:0060042)	72	2	0.18	+	10.99	0.0143	1.0	GO:0060042
regulation of organ growth (GO:0046620)	89	2	0.22	+	8.89	0.0213	1.0	GO:0046620
cytosolic transport (GO:0016482)	137	3	0.35	+	8.67	0.00503	1.0	GO:0016482
negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	98	2	0.25	+	8.08	0.0255	1.0	GO:2001237
sulfur compound biosynthetic process (GO:0044272)	108	2	0.27	+	7.33	0.0305	1.0	GO:0044272
gland morphogenesis (GO:0022612)	108	2	0.27	+	7.33	0.0305	1.0	GO:0022612
positive regulation of developmental growth (GO:0048639)	165	3	0.42	+	7.20	0.00839	1.0	GO:0048639
organ growth (GO:0035265)	111	2	0.28	+	7.13	0.0321	1.0	GO:0035265
