ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:1905097	regulation of guanyl-nucleotide exchange factor activity	2/42	7/18888	0.285714285714286	128.489795918367	15.9260652884895	0.000100655169826418	0.077859481114722	0.0638452273171027	CCPG1/EPHA4	2
GO:1904424	regulation of GTP binding	2/42	9/18888	0.222222222222222	99.9365079365079	14.0147346982445	0.000172065151634745	0.077859481114722	0.0638452273171027	CCPG1/EPHA4	2
GO:0097061	dendritic spine organization	3/42	81/18888	0.037037037037037	16.6560846560847	6.66595611404322	0.000773167372012098	0.178899133503573	0.146698329886617	GRIN2B/DIP2A/EPHA4	3
GO:0106027	neuron projection organization	3/42	92/18888	0.0326086956521739	14.6645962732919	6.2023253263989	0.0011188635664171	0.178899133503573	0.146698329886617	GRIN2B/DIP2A/EPHA4	3
GO:0008045	motor neuron axon guidance	2/42	26/18888	0.0769230769230769	34.5934065934066	8.09176743225095	0.00151657297839665	0.178899133503573	0.146698329886617	EPHA4/LMO4	2
GO:0060674	placenta blood vessel development	2/42	32/18888	0.0625	28.1071428571429	7.24486823019547	0.00229505564361799	0.178899133503573	0.146698329886617	FOSL1/FBXW8	2
GO:0050775	positive regulation of dendrite morphogenesis	2/42	34/18888	0.0588235294117647	26.453781512605	7.01272100244225	0.00258852453190849	0.178899133503573	0.146698329886617	FBXW8/EPHA4	2
GO:0010770	positive regulation of cell morphogenesis	2/42	36/18888	0.0555555555555556	24.984126984127	6.79975072004846	0.00289873288318294	0.178899133503573	0.146698329886617	FBXW8/EPHA4	2
GO:0007611	learning or memory	4/42	278/18888	0.0143884892086331	6.47070914696814	4.33799831779115	0.00331189892502414	0.178899133503573	0.146698329886617	GRIN2B/FOSL1/MAN2B1/B3GAT1	4
GO:0071459	protein localization to chromosome, centromeric region	2/42	40/18888	0.05	22.4857142857143	6.42160661465445	0.00356877960063255	0.178899133503573	0.146698329886617	RB1/H4C12	2
GO:0048813	dendrite morphogenesis	3/42	140/18888	0.0214285714285714	9.63673469387755	4.84208787005879	0.00370380569398495	0.178899133503573	0.146698329886617	DIP2A/FBXW8/EPHA4	3
GO:0007215	glutamate receptor signaling pathway	2/42	50/18888	0.04	17.9885714285714	5.67833497016262	0.00552663690924583	0.178899133503573	0.146698329886617	GRIN2B/GRM6	2
GO:0090102	cochlea development	2/42	50/18888	0.04	17.9885714285714	5.67833497016262	0.00552663690924583	0.178899133503573	0.146698329886617	MYO3A/EPHA4	2
