Term	Ont	N	DE	P.DE	adj_pval	GOID
biological_process	BP	18249	88	8.46901419908377e-08	0.000477525365615338	GO:0008150
reproduction	BP	1539	5	0.638644555413886	1	GO:0000003
immune effector process	BP	637	4	0.188278470122836	1	GO:0002252
immune system process	BP	2545	12	0.185657420524258	1	GO:0002376
inflammatory response to antigenic stimulus	BP	82	2	0.0341254569034552	1	GO:0002437
acute inflammatory response	BP	107	2	0.0550836346460587	1	GO:0002526
regulation of immune system process	BP	1544	6	0.464817923488537	1	GO:0002682
negative regulation of immune system process	BP	526	2	0.556598493557288	1	GO:0002683
positive regulation of immune system process	BP	1075	2	0.897133722603491	1	GO:0002684
regulation of immune effector process	BP	385	2	0.395013321696446	1	GO:0002697
regulation of response to biotic stimulus	BP	524	3	0.282250686381869	1	GO:0002831
developmental process involved in reproduction	BP	1011	4	0.480543591381381	1	GO:0003006
response to stress	BP	3939	23	0.00939640187781868	1	GO:0006950
defense response	BP	1843	12	0.0289673497748837	1	GO:0006952
inflammatory response	BP	887	7	0.0376848757222547	1	GO:0006954
immune response	BP	1750	8	0.276741132899089	1	GO:0006955
multicellular organism development	BP	4758	19	0.315684111019051	1	GO:0007275
response to external stimulus	BP	2747	16	0.0310655692220032	1	GO:0009605
response to biotic stimulus	BP	1575	6	0.484159370066661	1	GO:0009607
response to endogenous stimulus	BP	1755	13	0.00876402808189576	1	GO:0009719
response to hormone	BP	883	6	0.0925482740533103	1	GO:0009725
embryo development	BP	1126	4	0.565800885771021	1	GO:0009790
cellular process	BP	17161	81	9.50876313538331e-06	0.0254269750167869	GO:0009987
response to extracellular stimulus	BP	519	2	0.54931223262306	1	GO:0009991
response to organic substance	BP	2720	14	0.0968450993528195	1	GO:0010033
response to organic cyclic compound	BP	896	2	0.829014576929364	1	GO:0014070
reproductive process	BP	1529	5	0.632870807609023	1	GO:0022414
cell differentiation	BP	4440	22	0.0587656320978293	1	GO:0030154
regulation of defense response	BP	828	6	0.0730345798870384	1	GO:0031347
negative regulation of defense response	BP	291	3	0.0840949256843141	1	GO:0031348
response to nutrient levels	BP	490	2	0.518257281160608	1	GO:0031667
regulation of response to external stimulus	BP	1142	10	0.00710543810937231	1	GO:0032101
negative regulation of response to external stimulus	BP	456	5	0.0229101021528344	1	GO:0032102
multicellular organismal process	BP	7869	32	0.201101312896037	1	GO:0032501
developmental process	BP	6582	28	0.155747209652756	1	GO:0032502
multicellular organism reproduction	BP	972	3	0.671457271215699	1	GO:0032504
response to lipid	BP	928	2	0.843578505751171	1	GO:0033993
response to chemical	BP	4061	22	0.0248710313320596	1	GO:0042221
response to external biotic stimulus	BP	1538	6	0.461054262107389	1	GO:0043207
biological process involved in interspecies interaction between organisms	BP	1708	6	0.564408168745247	1	GO:0044419
innate immune response	BP	975	4	0.452572758986676	1	GO:0045087
regulation of innate immune response	BP	440	2	0.461550309870548	1	GO:0045088
rhythmic process	BP	296	4	0.0209519944094364	1	GO:0048511
animal organ development	BP	3050	9	0.761950314000156	1	GO:0048513
positive regulation of biological process	BP	6363	36	0.0014307498814242	1	GO:0048518
negative regulation of biological process	BP	5768	27	0.0668006865522717	1	GO:0048519
regulation of response to stimulus	BP	4085	18	0.187567716186253	1	GO:0048583
positive regulation of response to stimulus	BP	2339	7	0.728518650453795	1	GO:0048584
negative regulation of response to stimulus	BP	1763	8	0.283418448204885	1	GO:0048585
multicellular organismal reproductive process	BP	924	2	0.841820813912012	1	GO:0048609
system development	BP	4067	16	0.360685466299068	1	GO:0048731
anatomical structure development	BP	6007	25	0.20726893256061	1	GO:0048856
cellular developmental process	BP	4442	22	0.0590053423437678	1	GO:0048869
regulation of immune response	BP	903	3	0.621961819246989	1	GO:0050776
negative regulation of immune response	BP	194	2	0.149968479817195	1	GO:0050777
regulation of biological process	BP	12069	64	1.28149459169937e-05	0.0254269750167869	GO:0050789
