GO.ID	Term	Annotated	Significant	Expected	topgoFisher	FDR
GO:0042147	retrograde transport, endosome to Golgi	96	3	0.24	0.0017	1
GO:0042744	hydrogen peroxide catabolic process	31	2	0.08	0.0026	1
GO:2001240	negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	35	2	0.09	0.0034	1
GO:0043124	negative regulation of canonical NF-kappaB signal transduction	64	2	0.16	0.0109	1
GO:0098869	cellular oxidant detoxification	98	2	0.24	0.0243	1
GO:0046622	positive regulation of organ growth	53	2	0.13	0.0286	1
GO:0042327	positive regulation of phosphorylation	624	2	1.54	0.0368	1
GO:0043433	negative regulation of DNA-binding transcription factor activity	156	2	0.38	0.0566	1
GO:0010631	epithelial cell migration	373	2	0.92	0.0597	1
GO:0000724	double-strand break repair via homologous recombination	176	2	0.43	0.0699	1
GO:0043547	positive regulation of GTPase activity	229	2	0.56	0.1093	1
GO:0015031	protein transport	1412	5	3.48	0.1114	1
GO:0019439	aromatic compound catabolic process	676	3	1.67	0.1386	1
GO:0030155	regulation of cell adhesion	806	4	1.99	0.1448	1
GO:0009653	anatomical structure morphogenesis	2751	9	6.78	0.1717	1
GO:0009636	response to toxic substance	258	4	0.64	0.1817	1
GO:0000122	negative regulation of transcription by RNA polymerase II	921	4	2.27	0.1907	1
GO:0051091	positive regulation of DNA-binding transcription factor activity	229	2	0.56	0.1931	1
GO:0006805	xenobiotic metabolic process	125	2	0.31	0.2595	1
GO:0042127	regulation of cell population proliferation	1767	4	4.36	0.2611	1
GO:0006959	humoral immune response	248	2	0.61	0.2646	1
GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway	157	2	0.39	0.2758	1
GO:0008544	epidermis development	387	2	0.95	0.2928	1
GO:0030334	regulation of cell migration	1050	3	2.59	0.2929	1
GO:0048167	regulation of synaptic plasticity	208	2	0.51	0.3056	1
GO:0006355	regulation of DNA-templated transcription	3406	8	8.4	0.3646	1
GO:0045944	positive regulation of transcription by RNA polymerase II	1239	4	3.06	0.3655	1
GO:0007411	axon guidance	234	2	0.58	0.3792	1
GO:0006468	protein phosphorylation	1288	6	3.18	0.3848	1
GO:0002064	epithelial cell development	216	2	0.53	0.3878	1
GO:0060271	cilium assembly	385	3	0.95	0.3896	1
GO:0098609	cell-cell adhesion	966	3	2.38	0.3906	1
GO:0014070	response to organic cyclic compound	896	4	2.21	0.3926	1
GO:0030100	regulation of endocytosis	289	2	0.71	0.4065	1
GO:0005975	carbohydrate metabolic process	560	2	1.38	0.4270	1
GO:0007417	central nervous system development	1032	3	2.54	0.4310	1
GO:0007420	brain development	732	2	1.81	0.4454	1
GO:0009410	response to xenobiotic stimulus	443	3	1.09	0.4513	1
GO:0007267	cell-cell signaling	1709	4	4.21	0.4544	1
GO:0043410	positive regulation of MAPK cascade	474	2	1.17	0.4726	1
GO:0007517	muscle organ development	359	2	0.89	0.4930	1
GO:0007155	cell adhesion	1530	5	3.77	0.5146	1
GO:0035556	intracellular signal transduction	2719	10	6.7	0.5460	1
GO:0009887	animal organ morphogenesis	1024	4	2.53	0.5839	1
GO:0006979	response to oxidative stress	397	2	0.98	0.5900	1
GO:0006897	endocytosis	712	3	1.76	0.6416	1
GO:0006091	generation of precursor metabolites and energy	509	2	1.26	0.6424	1
GO:0007165	signal transduction	5991	17	14.77	0.6676	1
GO:0006954	inflammatory response	887	2	2.19	0.6871	1
GO:0006886	intracellular protein transport	673	2	1.66	0.7094	1
GO:0030154	cell differentiation	4440	11	10.95	0.7474	1
GO:0006357	regulation of transcription by RNA polymerase II	2565	6	6.33	0.8568	1
GO:0007186	G protein-coupled receptor signaling pathway	1284	4	3.17	0.8821	1
GO:0010629	negative regulation of gene expression	1603	3	3.95	0.9408	1
GO:0006725	cellular aromatic compound metabolic process	6288	15	15.51	1.0000	1
GO:0045765	regulation of angiogenesis	353	2	0.87	1.0000	1
GO:0051090	regulation of DNA-binding transcription factor activity	380	3	0.94	1.0000	1
GO:0051093	negative regulation of developmental process	1015	3	2.5	1.0000	1
GO:0051094	positive regulation of developmental process	1380	5	3.4	1.0000	1
GO:0044419	biological process involved in interspecies interaction between organisms	1708	3	4.21	1.0000	1
GO:0000902	cell morphogenesis	971	3	2.39	1.0000	1
GO:1902105	regulation of leukocyte differentiation	328	2	0.81	1.0000	1
GO:1902107	positive regulation of leukocyte differentiation	190	2	0.47	1.0000	1
GO:2001233	regulation of apoptotic signaling pathway	396	2	0.98	1.0000	1
GO:2001234	negative regulation of apoptotic signaling pathway	244	2	0.6	1.0000	1
GO:2001236	regulation of extrinsic apoptotic signaling pathway	157	2	0.39	1.0000	1
GO:2001237	negative regulation of extrinsic apoptotic signaling pathway	100	2	0.25	1.0000	1
GO:2001239	regulation of extrinsic apoptotic signaling pathway in absence of ligand	46	2	0.11	1.0000	1
GO:0046620	regulation of organ growth	102	2	0.25	1.0000	1
GO:0001763	morphogenesis of a branching structure	206	2	0.51	1.0000	1
GO:0042325	regulation of phosphorylation	1000	4	2.47	1.0000	1
GO:0010628	positive regulation of gene expression	1197	2	2.95	1.0000	1
GO:0050790	regulation of catalytic activity	1404	4	3.46	1.0000	1
GO:0009790	embryo development	1126	2	2.78	1.0000	1
GO:0044092	negative regulation of molecular function	751	2	1.85	1.0000	1
GO:0050793	regulation of developmental process	2552	8	6.29	1.0000	1
GO:0072593	reactive oxygen species metabolic process	237	3	0.58	1.0000	1
GO:0044093	positive regulation of molecular function	1210	5	2.98	1.0000	1
GO:0050794	regulation of cellular process	11512	28	28.39	1.0000	1
GO:0051056	regulation of small GTPase mediated signal transduction	304	2	0.75	1.0000	1
GO:1901700	response to oxygen-containing compound	1687	4	4.16	1.0000	1
GO:0007600	sensory perception	957	2	2.36	1.0000	1
GO:1901701	cellular response to oxygen-containing compound	1204	3	2.97	1.0000	1
GO:0002682	regulation of immune system process	1544	3	3.81	1.0000	1
GO:0016482	cytosolic transport	136	3	0.34	1.0000	1
GO:0098542	defense response to other organism	1218	3	3	1.0000	1
GO:0002684	positive regulation of immune system process	1075	3	2.65	1.0000	1
GO:0010646	regulation of cell communication	3544	12	8.74	1.0000	1
GO:0007606	sensory perception of chemical stimulus	505	2	1.25	1.0000	1
GO:0010647	positive regulation of cell communication	1807	5	4.46	1.0000	1
GO:0010648	negative regulation of cell communication	1483	5	3.66	1.0000	1
GO:0002009	morphogenesis of an epithelium	501	2	1.24	1.0000	1
GO:0042330	taxis	468	2	1.15	1.0000	1
GO:0018130	heterocycle biosynthetic process	4052	10	9.99	1.0000	1
GO:0001775	cell activation	1107	2	2.73	1.0000	1
GO:0016477	cell migration	1612	6	3.98	1.0000	1
GO:0097237	cellular response to toxic substance	128	2	0.32	1.0000	1
GO:0010638	positive regulation of organelle organization	506	2	1.25	1.0000	1
GO:0061138	morphogenesis of a branching epithelium	189	2	0.47	1.0000	1
GO:1901360	organic cyclic compound metabolic process	6540	15	16.13	1.0000	1
GO:1901361	organic cyclic compound catabolic process	704	2	1.74	1.0000	1
GO:1901362	organic cyclic compound biosynthetic process	4220	10	10.41	1.0000	1
GO:0007264	small GTPase-mediated signal transduction	499	2	1.23	1.0000	1
GO:0006366	transcription by RNA polymerase II	2685	6	6.62	1.0000	1
GO:0050767	regulation of neurogenesis	393	2	0.97	1.0000	1
GO:0007268	chemical synaptic transmission	748	2	1.84	1.0000	1
GO:0006351	DNA-templated transcription	3528	8	8.7	1.0000	1
GO:0000096	sulfur amino acid metabolic process	34	2	0.08	1.0000	1
GO:0042981	regulation of apoptotic process	1504	3	3.71	1.0000	1
GO:0010604	positive regulation of macromolecule metabolic process	3488	6	8.6	1.0000	1
GO:0044085	cellular component biogenesis	3349	11	8.26	1.0000	1
GO:0010605	negative regulation of macromolecule metabolic process	3172	8	7.82	1.0000	1
GO:0051046	regulation of secretion	619	2	1.53	1.0000	1
GO:0043207	response to external biotic stimulus	1538	3	3.79	1.0000	1
GO:0070887	cellular response to chemical stimulus	2731	9	6.73	1.0000	1
GO:0044087	regulation of cellular component biogenesis	987	2	2.43	1.0000	1
GO:0010608	post-transcriptional regulation of gene expression	1078	3	2.66	1.0000	1
GO:0050789	regulation of biological process	12069	28	29.76	1.0000	1
GO:0051049	regulation of transport	1641	5	4.05	1.0000	1
