GO.ID	Term	Annotated	Significant	Expected	topgoFisher	FDR	Symbol
GO:0000122	negative regulation of transcription by RNA polymerase II	936	6	2.4	0.0314	1	NCOA2, MAGEE2, NR2F6, MAGEA4, PHF21A, MTDH
GO:0000165	MAPK cascade	776	3	1.99	1.0000	1	APOE, PLCG2, IL26
GO:0000902	cell morphogenesis	997	2	2.56	1.0000	1	APOE, ANO1
GO:0001558	regulation of cell growth	406	3	1.04	0.3609	1	GDF9, APOE, PAPPA2
GO:0001568	blood vessel development	821	2	2.1	1.0000	1	APOE, MTDH
GO:0001775	cell activation	1138	3	2.92	1.0000	1	APOE, NKG7, PLCG2
GO:0001816	cytokine production	887	4	2.27	1.0000	1	RAET1G, PLCG2, IL26, MAVS
GO:0001817	regulation of cytokine production	880	4	2.26	1.0000	1	RAET1G, PLCG2, IL26, MAVS
GO:0001819	positive regulation of cytokine production	507	4	1.3	0.3336	1	RAET1G, PLCG2, IL26, MAVS
GO:0001906	cell killing	259	2	0.66	1.0000	1	RAET1G, NKG7
GO:0001909	leukocyte mediated cytotoxicity	146	2	0.37	1.0000	1	RAET1G, NKG7
GO:0001932	regulation of protein phosphorylation	717	3	1.84	1.0000	1	APOE, PLCG2, MAVS
GO:0001934	positive regulation of protein phosphorylation	454	2	1.16	0.5715	1	PLCG2, MAVS
GO:0001944	vasculature development	855	2	2.19	1.0000	1	APOE, MTDH
GO:0002218	activation of innate immune response	317	2	0.81	1.0000	1	PLCG2, MAVS
GO:0002221	pattern recognition receptor signaling pathway	278	2	0.71	1.0000	1	PLCG2, MAVS
GO:0002228	natural killer cell mediated immunity	84	2	0.22	1.0000	1	RAET1G, NKG7
GO:0002237	response to molecule of bacterial origin	374	2	0.96	1.0000	1	PLCG2, MTDH
GO:0002252	immune effector process	670	4	1.72	1.0000	1	RAET1G, NKG7, PLCG2, MAVS
GO:0002253	activation of immune response	570	2	1.46	1.0000	1	PLCG2, MAVS
GO:0002263	cell activation involved in immune response	318	2	0.82	1.0000	1	NKG7, PLCG2
GO:0002285	lymphocyte activation involved in immune response	227	2	0.58	1.0000	1	NKG7, PLCG2
GO:0002366	leukocyte activation involved in immune response	314	2	0.81	1.0000	1	NKG7, PLCG2
GO:0002367	cytokine production involved in immune response	127	3	0.33	1.0000	1	RAET1G, PLCG2, MAVS
GO:0002371	dendritic cell cytokine production	16	2	0.04	1.0000	1	PLCG2, MAVS
